,ten_san_pham,thanh_phan_hoat_chat,dang_bao_che,dang_dong_goi,khoi_luong_the_tich,cong_dung,han_dung,so_dang_ky
29,ECO-ADE FISH,"Vitamin A, Vitamin C, Vitamin D3, Vitamin E",Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Tăng cường sức đề kháng, phòng chống stress cho tôm, cá khi thời tiết và môi trường thay đổi, nuôi mật độ cao",24 tháng,BN.TS2-24
30,ECO OXY FISH S,Oxytetracycline,Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Trị bệnh đốm đỏ, xuất huyết thân, hậu môn sưng đỏ trên tôm, cá",24 tháng,BN.TS2-25
31,ECO-BRONO FISH,Bronopol,Dung dịch,"Chai, Lọ","10, 20, 50,
100, 500ml; 1,
5, 10 L","Trị nấm thuỷ mi (Saprolegnia), trùng quả dưa, (Ichthyophthyrius spp) trên cá nuôi",24 tháng,BN.TS2-26
32,ECO-ERY FISH,Erythromycin thiocyanate,Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg",Trị bệnh gan thận mủ do E.Ictaluri gây ra trên cá,24 tháng,BN.TS2-27
33,ECO-C MAX,"Acid Citric, Vitamin C",Dung dịch,"Chai, Lọ","10, 20, 50,
100, 500ml; 1,
5, 10 L","Nâng cao sức đề kháng, tăng khả năng chịu đựng stress (chống bị sốc khi thời tiết nắng nóng hoặc thay đổi đột ngột, độ mặn quá cao hay quá thấp, pH không ổn định) trên tôm, cá",24 tháng,BN.TS2-28
34,ECO-SULPHA S,"Ometoprim, Sulfadimethoxin",Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Trị nhiễm khuẩn do Aeromonas, Pseudomonas, Streptococcus, Flexibacter (đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên cá, tôm",24 tháng,BN.TS2-29
35,ECO-TRIMESUL FISH,"Sulfadimidin, Trimethoprim",Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Trị nhiễm khuẩn do Aeromonas, Pseudomonas (đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên cá, tôm",24 tháng,BN.TS2-3
36,ECO-METHIL FISH,"Cyanocobalamin, Lysine, Methionine, Sorbitol",Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg",Phòng các bệnh về gan trên cá,24 tháng,BN.TS2-30
37,ECO-AZADIN FISH,Azadirachtin,Dung dịch,"Chai, Lọ","10, 20, 50,
100, 500ml; 1,
5, 10 L","Phòng trị bệnh trùng bánh xe, trùng mỏ neo, trùng quả dưa, rận cá, sán lá đơn, chủ trên cá",24 tháng,BN.TS2-31
38,ECO-BETACAN FISH,"Beta Glucan (1,3-
1,6)",Thuốc bột,"Gói, Bao","10, 20, 50,
100, 500g; 1,
5, 10kg","Kích thích hệ miễn dịch, tăng cường sức đề kháng cho cá",24 tháng,BN.TS2-32
39,ECO VIT C PLUS,"Sorbitol, Vitamin C",Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Tăng cường sức đề kháng, phòng chống stress cho tôm, cá khi thời tiết và môi trường thay đổi, nuôi mật độ cao",24 tháng,BN.TS2-33
40,ECO- ANTISTRESS FOR FISH/SHIRMP,"Acid Citric, Vitamin C",Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Tăng cường sức đề kháng, giảm stress cho cá, tôm",24 tháng,BN.TS2-34
41,ECO SHRIMP C,Vitamin C,Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Tăng cường sức đề kháng, nâng cao khả năng chống đỡ với điều kiện thời tiết và môi trường sống bất lợi cho tôm, cá",24 tháng,BN.TS2-35
42,ECO OTC FOR FISH/SHRIMP,Oxytetracycline,Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Trị bệnh đốm đỏ, xuất huyết trên thân, hậu môn sưng đỏ, các vây bị rách trên cá do vi khuẩn Aeromonas, Pseudomonas
và Edwardsiella gây ra. Trị các bệnh do vi khuẩn Vibrio gây ra trêm tôm.",24 tháng,BN.TS2-36
43,ECO OXYVITA C PLUS,"Oxytetracycline, Vitamin C",Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Trị nhiễm khuẩn với biểu hiện đốm đỏ trên thân, mắt, hậu môn sưng đỏ, các vây bị rách, hoại tử do vi khuẩn Aeromonas sp, Pseudomonas fluorescens, Edwardsiella tarda gây ra trên cá tra, cá basa. Trị bệnh phát sáng do Vibrio gây
ra trên ấu trùng tôm.",24 tháng,BN.TS2-37
44,ECO-TERRA AQUA,Oxytetracycline,Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg",Trị xuất huyết đường ruột ở cá da trơn do vi khuẩn Aeromonas liquefaciens và Pseudomonas sp gây ra,24 tháng,BN.TS2-38
45,ECO GLUMIN C,"Beta Glucan, Inositol, Lysine, Methionine, Sorbitol, Vitamin C",Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Tăng sức đề kháng, chống stress cho tôm",24 tháng,BN.TS2-39
46,ECO-TRIMIX FISH,"Sulfadimidin, Trimethoprim",Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Trị nhiễm khuẩn do Aeromonas, Pseudomonas (đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên cá, tôm",24 tháng,BN.TS2-4
47,ECO FLOFISH 50%,Florfenicol,Dung dịch,"Chai, Lọ","5, 10, 20, 30,
50, 100,
500ml; 1, 5,
10 L",Trị xuất huyết đường ruột ở cá gây ra do vi khuẩn Edwardsiella ictaluri.,24 tháng,BN.TS2-40
48,ECO TRIMESUN 240,"Sulfadimidin, Trimethoprim",Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Trị bệnh phát sáng do vi khuẩn Vibrio trên tôm, Trị nhiễm khuẩn do Aeromonas, Pseudomonas, Enterobacteria, Aeromonas, Flexibacter trên cá",24 tháng,BN.TS2-41
49,ECO VITAMIN C TAT,"Acid Citric, Vitamin C, Vitamin E",Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Tăng sức đề kháng, chống sốc, chống stress cho tôm, cá khi điều kiện môi trường thay đổi đột ngột.",24 tháng,BN.TS2-42
50,ECO BACTRIM,"Sulfamethoxazol, Trimethoprim",Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Trị các bệnh phát sáng do vi khuẩn Vibrio trên tôm. Trị các bệnh nhiễm khuẩn do Aeromonas, Pseudomonas (đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên cá",24 tháng,BN.TS2-43
51,ECO FLOSHRIM 10%,Florfenicol,Dung dịch,"Chai, Lọ","5, 10, 20, 30,
50, 100,
500ml; 1, 5,
10 L","Trị nhiễm khuẩn đường ruột trên cá tra, cá basa do vi khuẩn Edwardsiella ictaluri gây ra.",24 tháng,BN.TS2-44
52,ECO DOXY AQUACULTURE,Doxycycline,Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Trị bệnh nhiễm khuẩn, bệnh đỏ thân trên tôm do vi khuẩn Vibrio alginolyticus gây ra.",24 tháng,BN.TS2-45
53,ECO-POVIDONE FISH 10%,PVP Iodine,Dung dịch dùng ngoài,"Chai, Lọ","10, 20, 50,
100, 500ml; 1,
5, 10 L","Diệt vi khuẩn, động vật nguyên sinh tron môi trường nuôi tôm, cá",24 tháng,BN.TS2-46
54,ECO-POVIDONE FISH 30%,PVP Iodine,Dung dịch dùng ngoài,"Chai, Lọ","10, 20, 50,
100, 500ml; 1,
5, 10 L","Diệt vi khuẩn, động vật nguyên sinh tron môi trường nuôi tôm, cá",24 tháng,BN.TS2-47
55,ECO-AMONIUM FISH 80%,Benzalkonium chloride,Dung dịch dùng ngoài,"Chai, Lọ","10, 20, 50,
100, 500ml; 1,
5, 10 L","Tiêu diệt các vi khuẩn, tảo, nguyên sinh động vật, nấm trong môi trường nuôi tôm, cá",24 tháng,BN.TS2-48
56,ECO-IODINE FISH 60%,PVP Iodine,Dung dịch dùng ngoài,"Chai, Lọ","10, 20, 50,
100, 500ml; 1,
5, 10 L","Xử lý nước nuôi tôm, cá. Diệt vi khuản nấm trong môi trường nuôi tôm, cá",24 tháng,BN.TS2-49
57,ECO-DOXY PLUS 20%,Doxycyclin,Dung dịch,"Chai, Lọ","10, 20, 50,
100, 500ml; 1,
5, 10 L",Trị bệnh đỏ thân trên tôm do vi khuẩn Vibrio alginolyticus,24 tháng,BN.TS2-5
58,ECO-AMONIUM FISH 50%,Benzalkonium chloride,Dung dịch dùng ngoài,"Chai, Lọ","10, 20, 50,
100, 500ml; 1,
5, 10 L","Sát trùng, diệt khuẩn, nấm, động vật nguyên sinh và các loại tảo, rêu giúp cải thiện môi trường nước nuôi. Sát trùng ao, hồ, bể ương, dụng cụ",24 tháng,BN.TS2-50
59,ECO-OMICD FISH,"Benzalkonium chloride, Glutaraldehyde",Dung dịch dùng ngoài,"Chai, Lọ","10, 20, 50,
100, 500ml; 1,
5, 10 L","Sát trùng, diệt vi khuẩn, nguyên sinh động vật, nấm trong môi trường nuôi tôm, cá",24 tháng,BN.TS2-51
60,ECO-PRAZIL FISH 10%,Praziquantel,Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Trị nội, ngoại kí sinh trùng trên cá như sán lá đơn chủ, rận cá, sán lá gan và sản dây",24 tháng,BN.TS2-6
61,ECO-PRAZIL FISH 25%,Praziquantel,Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Trị nội, ngoại kí sinh trùng trên cá như sán lá đơn chủ, rận cá, sán lá gan và sản dây",24 tháng,BN.TS2-7
62,ECO-HEPA FISH,"Acid Citric, Inositol, Methionine, Sorbitol, Vitamin C",Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Phòng trị bệnh do thiếu Vitamin C và các acid amin thiết yếu, tăng cường sức đề kháng, kích thích tiêu hoá, giải độc gan trên cá tôm",24 tháng,BN.TS2-8
63,ECO-OXY FISH,Oxytetracycline,Thuốc bột,"Gói, Bao","5, 10, 20, 30,
50, 100, 500g;
1, 5, 10kg","Trị nhiễm khuẩn do Aeromonas, Pseudomonas (đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên cá, tôm",24 tháng,BN.TS2-9
64,MD FLORFENICOL 300,Florfenicol,Dung dịch,"Chai, Can","100, 250, 500;
1, 5, 10l",Điều trị xuất huyết đường ruột do vi khuẩn Edwrdsiella ictaluri gây ra trên cá,24 tháng,BD.TS5-1
65,MD OXYTETRACYC LINE 200,Oxytetracycline,Dung dịch,"Chai, Can","100, 250, 500;
1, 5, 10l","Trị bệnh phát sáng do vi khuẩn Vibrio trên tôm. Trị các bệnh nhiễm khuẩn do Aeromonas, Pseudomonas, Edwardsiella (đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên cá nuôi nước ngọt",24 tháng,BD.TS5-10
66,MD SULPHARIME 120,"Sulphamethoxazole
, Trimethoprim",Thuốc bột,"Bao, Gói, Hộp","10, 20, 50,
100, 500g; 1,
5, 10, 25kg","Trị bệnh phát sáng do vi khuẩn Vibrio trên tôm. Trị các bệnh nhiễm khuẩn do Aeromonas, Pseudomonas (đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên cá nuôi nước ngọt.",24 tháng,BD.TS5-11
67,MD VITA C,Vitamin C,Thuốc bột,"Bao, Gói, Hộp","10, 20, 50,
100, 500g; 1,
5, 10, 25kg","Tăng cường sức đề kháng, giảm stress cho cá nuôi",24 tháng,BD.TS5-12
68,MD BKC 80,Benzalkonium chloride,Dung dịch dùng ngoài,"Chai, Can","100, 500ml; 1,
5, 10l","Diệt khuẩn, vi sinh động vật, nấm trong nước ao nuôi; sát trùng dụng cụ nuôi, bể ương",24 tháng,BD.TS5-13
69,MD POMIDINE,1-vinyl-2-,Dung dịch,"Chai, Can","100, 120, 200,","Diệt khuẩn, vi sinh động vật trong nước",24 tháng,BD.TS5-15
70,MD SUPER AQUADINE,"1-vinyl-2- pyrrolidinone polymers, Iodine complex",Dung dịch,Chai,"100, 500ml; 1,
5, 10l","Diệt khuẩn, vi sinh động vật trong nước ao nuôi, sát trùng dụng cụ nuôi tôm cá.",24 tháng,BD.TS5-16
71,MD OXIDE A.D.C,"Glutaraldehyde, N- Akyldimethyl benzyl ammonium chloride",Dung dịch,Chai,"100, 250ml; 5,
10l","Diệt khuẩn, nấm, vi sinh động vật trong nước ao nuôi. Sát trùng dụng cụ dùng trong nuôi trồng thủy sản",24 tháng,BD.TS5-17
72,MD PROTECT,"1,5 Pentanedial",Dung dịch,Chai,"100, 250ml; 5,
1l","Diệt khuẩn, nấm, vi sinh động vật trong nước ao nuôi tôm cá",24 tháng,BD.TS5-19
73,MD C SOL 207,"Acid citric, Vitamin C",Thuốc bột,"Gói, Hộp, Bao","10, 20, 50,
100, 500g; 1,
5, 10, 25kg","Tăng sức đề kháng, chống stress, kích thích tiêu hóa tốt cho cá",24 tháng,BD.TS5-2
74,MD VITA CALCIUM,"Biotin, Calcium, Phosphorus, Vitamin A, Vitamin D3, Vitamin E, Zn",Thuốc bột,"Bao, Gói, Hộp","10, 20, 50,
100, 500g; 1,
5, 10, 25kg","Giúp tôm, cá mau lớn, đẩy nhanh quá trình lột vỏ, vỏ mau cứng, dày, bóng sau khi lột xác",24 tháng,BD.TS5-3
75,MD SELENE.WS,"Sodium Selenite, Vitamin E",Thuốc bột,"Bao, Gói, Hộp","10, 20, 50,
100, 500g; 1,
5, 10, 25kg",Giúp tăng sản lượng đẻ trứng ở cá,24 tháng,BD.TS5-4
76,MD BIO CALCIUM,"Biotin, Calcium Gluconate, Calcium Pantothenate, Inositol, Vitamin A, Vitamin D3",Thuốc bột,"Bao, Gói, Hộp","10, 20, 50,
100, 500g; 1,
5, 10, 25kg",Thúc đẩy quá trình lột vỏ ở tôm và giúp mau cứng vỏ sau khi lột,24 tháng,BD.TS5-5
77,MD SORBITOL+B12,"Sorbitol, Vitamin B12",Thuốc bột,"Bao, Gói, Hộp","10, 20, 50,
100, 500g; 1,
5, 10, 25kg",Tăng sức đề kháng cho cá,24 tháng,BD.TS5-6
78,ASI-OTETRAMIX,Oxytetracyclin HCl,Thuốc bột uống,"Gói, Hộp","10, 50, 100,
500g, 1, 2, 5,
10, 15, 20,
25kg","Trị bệnh phát sáng do vi khuẩn Vibrio gây ra trên tôm. Trị các bệnh nhiễm khuẩn do Aeromonas, Pseudomonas, Edwardsiella (đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên cá nước ngọt",24 tháng,DN.TS6-1
79,SUPER DOX,Doxycycline hyclate,Thuốc bột,"Bao, Gói, Hũ","5, 10, 20, 30,
50, 100, 200,
250, 500g; 1,
2, 5, 10, 15,
20, 25, 30kg",Trị bệnh đỏ thân gây ra bỏi vi khuẩn Vibrio alginolyticus trên tôm,24 tháng,DN.TS6-19
80,ASIFISH- COTRIMFORT,"Sulfadiazine, Trimethoprim",Thuốc bột uống,"Gói, Hộp","10, 50, 100,
500g, 1, 2, 5,
10, 15, 20,
25kg","Trị bệnh phát sáng do vi khuẩn Vibrio trên tôm. Trị các bệnh nhiễm khuẩn do Aeromonas, Pseudomonas gây ra các bệnh như đốm đỏ, hậu môn sưng đỏ, xuất huyết, hoại tử trên cá tra, bassa và trên cá nuôi nước ngọt",24 tháng,DN.TS6-2
81,FENICOL MAX,Florfenicol,Thuốc bột,"Bao, Gói, Hũ","5, 10, 20, 30,
50, 100, 200,
250, 500g; 1,
2, 5, 10, 15,
20, 25, 30kg","Trị nhiễm trùng huyết đường ruột do vi khuẩn Edwardsiella ictaluri gây ra trên cá tra, cá ba sa",24 tháng,DN.TS6-20
82,OX MAX,Oxytetracycline,Thuốc bột,"Bao, Gói, Hũ","5, 10, 20, 30,
50, 100, 200,
250, 500g; 1,
2, 5, 10, 15,
20, 25, 30kg","Trị bệnh đốm đỏ, thối mang, xuất huyết mang trên cá do vi khuẩn Aeromonas, Pseudomonas, Edwardsiella gây ra, trị bệnh phát sáng do vi khuẩn Vibrio trên tôm",24 tháng,DN.TS6-21
83,ASI-BRONOPOL,Bronopol,Dung dịch,"Chai, Can, Lọ","10, 20, 50,
100, 200, 250,
500ml; 1, 2, 4,
5, 10, 20, 25,
30l","Trị nấm thủy mi (Saprolegnia spp.), trùng quả dưa (Ichthyophthyrius spp.) trên cá nuôi",24 tháng,DN.TS6-22
84,ASIFISH- FLORDEC,Florfenicol,Dung dịch uống,"Chai, Can","50, 100, 250,
500ml; 1, 2, 5,
10, 20, 25l","Trị bệnh nhiễm khuẩn đường tiêu hóa gây ra, bởi vi khuẩn Edwardsiella ictaluri trên cá da trơn (cá tra, basa, trê)",24 tháng,DN.TS6-3
85,ASI-DAZOL,Fenbendazole,Bột,"Bao, Gói, Hũ","5, 10, 20, 30,
50, 100, 200,
250, 500g; 1,
2, 5, 10, 15,
20, 25, 30kg","Trị nội ký sinh trùng như giun tròn đường ruột, trong ống mật, giun đầu gai, sán lá, sán dây trên cá",36 tháng,DN.TS6-10
86,ASI-DANOKIT,"Sulfadimidine, Trimethoprim",Bột,"Bao, Gói, Hũ","5, 10, 20, 30,
50, 100, 200,
250, 500g; 1,
2, 5, 10, 15,
20, 25, 30kg","Trị bệnh phát sáng do vi khuẩn Vibrio gây ra trên tôm; Trị các bệnh nhiễm khuẩn do vi khuẩn Aeromonas sp., Pseudomonas fluoresescens, Edwardsiella tarda gây ra trên cá nước ngọt",36 tháng,DN.TS6-11
87,ASI-BICO SHIELD,Erythromycin thiocyanate,Bột,"Bao, Gói, Hũ","5, 10, 20, 30,
50, 100, 200,
250, 500g; 1,
2, 5, 10, 15,
20, 25, 30kg","Trị bệnh xuất huyết, gan, thận, mủ trên cá tra",36 tháng,DN.TS6-12
88,ASI-MISOL,Levamisole,Bột,"Bao, Gói, Hũ","5, 10, 20, 30,
50, 100, 200,
250, 500g; 1,
2, 5, 10, 15,
20, 25, 30kg","Trị nội ký sinh trùng như sán lá gan, sán ruột, các loại giun tròn, giun kim trên cá nuôi",36 tháng,DN.TS6-13
