,Application_Number,Trade_Name,Sponsor_Name,Expiration,Patent,Action,Date,Date_Withdrawn,Description,Ingredients,Number,Petitioner,Sponsor_When_Withdrawn,Address,City,CountryProvince,License_No.,Site_Name,State,Zip_Code
10,006-691,Vermiplex,"Intervet, Inc.",02/15/2016,6201012,Denied,03/21/1991,01/23/1989,Request permission to change the dosage form for Sulfaquinoxaline sodium solution. The pioneer NADA is 006-677.,Pyrilamine Maleate,91P-0048/CP1,"Sanofi Animal Health, Inc.","Norden Laboratories, Inc.",1800 W Western Avenue,Bluffton,United States,500-097,ADM Animal Nutrition/div of Archer Daniels Midland,IN,46714
11,006-707,Sulquin® 6-50 Concentrate,Zoetis Inc.,02/15/2016,5994395,Acknowledged,03/21/1991,12/31/2015,Request permission to change the dosage form for Sulfaquinoxaline sodium solution. The pioneer NADA is 006-677.,Nitarsone,91P-0048/CP1,"Sanofi Animal Health, Inc.",Zoetis Inc.,1000 N Washington,Abilene,United States,500-147,ADM Animal Nutrition/div of Archer Daniels Midland,KS,67410
12,006-891,Sul-Q-Nox®,Huvepharma EOOD,07/07/2015,5776982 ,Approved,09/03/1991,12/02/2013,Request permission to file an ANADA for a different dosage form of neomycin soluble powder. The pioneer product is NADA 011-315. *The petition was approved but the applicant may not file an ANADA until the pioneer product has been DESI finalized and approved.,Roxarsone,91P-0277/CP1,The Upjohn Co.,Zoetis Inc.,401 E Grand River Avenue,Portland,United States,500-162,ADM Animal Nutrition/div of Archer Daniels Midland,MI,48875
13,006-983,A-H Injection,"Intervet, Inc.",02/28/2003,4264500,Approved,09/03/1992,12/06/2013,Request permission to file an ANADA for a different dosage form of neomycin soluble powder. The pioneer product is NADA 011-315. *The petition was approved but the applicant may not file an ANADA until the pioneer product has been DESI finalized and approved.,Arsanilic Acid,91P-0277/CP1,The Upjohn Co.,Fleming Laboratories,1101 Elliott Avenue S,Glencoe,United States,500-137,ADM Animal Nutrition/div of Archer Daniels Midland,MN,55336
14,007-087,25 % S.Q.® Soluble,Huvepharma EOOD,08/29/2020,6110905,Approved,09/11/1991,06/20/2016,Request permission to file an ANADA for a different strength of sulfamethazine oblets. The pioneer is NADA 122-271.,Sulfaquinoxaline,91P-0316/CP1,"Vet-A-Mix, Inc.",Cross Vetpharm Group Ltd.,1300 West Locust,Springfield,United States,500-164,ADM Animal Nutrition/div of Archer Daniels Midland,MO,65803
15,007-829,Happy Jack Tapeworm Tablets,"Happy Jack, Inc.",10/30/2021,6310053,Filed,09/11/1991,01/06/2014,Request permission to file an ANADA for a different strength of sulfamethazine oblets. The pioneer is NADA 122-271.,Roxarsone,91P-0316/CP1,"Vet-A-Mix, Inc.",Zoetis Inc.,2174 E. 59th Ave.,Columbus,United States,500-092,ADM Animal Nutrition/div of Archer Daniels Midland,NE,68601
16,007-879,Terramycin® Vet Capsules,Zoetis Inc.,01/12/2014,5981500,Approved,12/02/1991,05/03/2023,Request permission to change strength of oxytetracycline in a generic product referencing NADA 113-232. *Note: The original approval of this petition was revised to require labeling changes of the generic product to be consistent with that of the pioneer product. See 91P-0285/CP1 for details.,Selenium Disulfide,91P-0071/CP1,Fermenta Animal Health Co.,Boehringer lngelheim Animal Health USA Inc.,554 Pleasant Valley Road NW,Sugarcreek,United States,501-208,ADM Animal Nutrition/div of Archer Daniels Midland,OH,44681
17,007-981,Soxisol Tablets,Zoetis Inc.,11/18/2019,6797701,Acknowledged,06/01/1992,05/12/1998,Request permission to change strength of oxytetracycline in a generic product referencing NADA 113-232. *Note: The original approval of this petition was revised to require labeling changes of the generic product to be consistent with that of the pioneer product. See 91P-0285/CP1 for details.,Oxytetracycline (Monoalkyl Trimethyl Ammonium Salt),91P-0071/CP1,Fermenta Animal Health Co.,"Pfizer, Inc.",2000 Hummel Avenue,Camp Hill,United States,500-149,ADM Animal Nutrition/div of Archer Daniels Midland,PA,17011
18,008-097,Stiglyn 1:500,"Intervet, Inc.",12/15/2015,5849768,See note*,12/02/1991,12/31/1991,"Request that FDA require bioequivalence testing of generic oxytetracycline animal drug products referencing Pfizer's Liquamycin LA-200. The petition also requested that FDA deny Fermenta Animal Health Company's ANADA for an oxytetracycline product. Pfizer pointed out that the Fermenta ANADA does not contain tissue residue studies for calculation of a withdrawal period. *Note: Six points raised in the petition were addressed. The Agency agreed that demonstration of in vivo bioequivalence between the Fermenta and Pfizer formulations is essential to the approval of Fermenta's ANADA. The Agency did not agree that tissue residue studies necessarily would be required. The pharmacokinetic profiles of both formulations will be evaluated to determine bioequivalence and could be used in lieu of a tissue residue study in assigning a withdrawal period. The Agency agreed that bioequivalence studies would be required in more than one species but it does not intend to require demonstration of bioequivalence in all classes of animals within a species. Bioequivalence studies in the Fermenta ANADA will be required in swine and in one class of adult ruminating nonlacting cattle. The Agency agreed that the Fermenta product, although a different strength, must be labeled to deliver the same dose of oxytetracycline base to the animal. The Agency retracted a statement made in approving the Fermenta suitability petition requesting that the generic product be labeled at 9.3 milligrams per pound of body weight. Fermenta will be instructed to label their generic product at 9 milligrams per pound of body weight. The Agency pointed out that although different salts of oxytetracycline are used in the manufacture of the two products, the finished form of active ingredient in both cases is magnesium chelated oxytetracycline. Some technical issues regarding labeling and notification of the patent holder were also addressed in the Agency's response.",Dibutyltin Dilaurate,91P-0285/CP1,"Pfizer, Inc.","Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc.",State Road No. 2 KM 83,Hatillo,Puerto Rico,500-154,ADM Animal Nutrition/div of Archer Daniels Midland,,00659
19,008-622,"TERRAMYCIN-343®, TERRAMYCIN®, TERRAMYCIN® Soluble Powder Concentrate",Phibro Animal Health Corp.,01/22/2019,6340671,Pending,01/03/1992,07/31/1989,"Request permission to file an ANADA for a Tolnaftate 1% in an oil base that differs from the pioneer product Tolnaftate 1% cream. The pioneer is NADA 037-502. Prior to making a decision, CVM requested additional information on the formulation of the proposed generic product, including information on a patent and information on the rationale for each ingredient in the formulation.",Phthalofyne,91P-0421/CP1,"Arthur A. Checci, Inc.","Mallinckrodt Veterinary, Inc.",260 Factory Road,Eaton,United States,500-000,Agfinity Feed LLC,CO,80615
20,008-760,Adrenomone,"Dechra, Ltd.",06/22/2017,6663608,Denied,01/22/1992,05/31/2017,"Request permission to file an ANADA for a drug product, Ovagen, that differs from the pioneer (FSH-P) in the method of assay. The pioneer product is NADA 009-505. Submitted in 1991.",Follicle Stimulating Hormone,91P-0437/CP1,"Specialty Biologicals, Inc.","Sioux Biochemical, Inc.",312 East Hwy 78,Wayland,United States,500-715,Agri-Way Partners LLC,IA,52654
21,008-763,Terramycin®,Zoetis Inc.,06/22/2017,6423039,Approved,02/13/1992,01/23/1989,"Request permission to file an ANADA for a product having a different dosage form than the pioneer, Vetalog Cream (triamcinolone acetonide). The pioneer is NADA 046-146. The proposed product would be a non-aerosol pump spray rather than a cream. Received in 1991.",Piperazine Adipate,91P-0489/CP1,"RMS Laboratories, Inc.","Carson Chemicals, Inc.",1801 N Cliff Avenue,Sioux Falls,United States,500-693,"AgriCare Nutrition, LLC.",SD,57103
22,008-769,"Liquamycin® Injectable, Terramycin® Injectable",Zoetis Inc.,05/01/2016,5521207,Approved,04/03/1992,01/23/1989,Request permission to file an ANADA for a different dosage form for neomycin sulfate from a soluble powder to a liquid. The pioneer product is NADA 011-315.,Piperazine Adipate,92P-0057/CP1,The Upjohn Co.,"Carson Chemicals, Inc.",1584 Granite Station Road,Gettysburg,United States,500-234,"Agricultural Commodities, Inc.",PA,17325
23,008-774,Sulmet® Solution Injectable,Huvepharma EOOD,05/25/2015,5892053,Approved,05/12/1992,03/14/1994,Request permission to file an ANADA for a different dosage form for neomycin sulfate from a soluble powder to a Type A medicated article. The pioneer product is NADA 011-315.,Diphemanil Methylsulfate,92P-0157/CP1,"Pfizer, Inc.","Intervet, Inc.",1232 240th Avenue,Hays,United States,501-058,Agricultural Research Center - Hays,KS,67601-9228
24,008-804,"TM-50® , TM-50® D , TM-100® , TM-100®D ",Phibro Animal Health Corp.,09/29/2015,5756529,Approved,08/04/1992,02/06/2020,Request permission to file an ANADA for an oral dosage form for neomycin solution in place of the pioneer's soluble powder form. The pioneer product is NADA 011-315.,"Dipiperazine Sulfate, Piperazine Hydrochloride",91P-0255/CP1,Sanofi Animal Health,Fleming Laboratories,2305 Hwy 23 South,Oskaloosa,United States,500-354,"Agriland FS, Inc.",IA,52577
25,008-932,Kemithal L.A.,Zoetis Inc.,05/25/2015,5910597,Denied,09/02/1992,07/31/1995,Request permission to file an ANADA for the use of a different dosage form and a lesser strength for topical application of fluocinolone acetonide. The pioneer product is NADA 015-152.,"Bismuth Subsalicylate, Furamazone",92P-0254/CP1,Halocarbon Products Corp.,"Proctor & Gamble Pharmaceuticals, Inc.","Road #2 Km 59.2, Bo. Tiburones",Barceloneta,Puerto Rico,501-276,"Agro Ochoa, Inc.",,00617
26,009-035,Ophthaine® Solution,Zoetis Inc.,12/15/2015,5849768,Approved,10/01/1992,02/19/1993,Request permission to file an ANADA for the use of a different oral dosage form (liquid) and strength for neomycin sulfate. The pioneer product is NADA 011-315.,Nicarbazin,92P-0363/CP1,"IVX Animal Health, Inc.",Manna Pro Corporation,3364 Vail Avenue,Ellsworth,United States,500-332,AgState,IA,50075
27,009-167,P.L.H. Injectable,"Intervet, Inc.",07/07/2015,5776982,Approved,11/04/1992,12/02/2013,"Request permission to file an ANADA for the use of a different oral dosage form (bolus) for neomycin sulfate. The pioneer product is NADA 011-315, and is a soluble powder.",Carbarsone,92P-0366/CP1,The Upjohn Co.,Zoetis Inc.,185 W 1st Street,Newell,United States,501-315,AgState,IA,50568
28,009-339,"Carafen Cough Syrup, Carafen Cough Tablets",Zoetis Inc.,02/15/2016,6201012,Approved,11/23/1992,06/30/1992,"Request permission to file an ANADA for a different dosage form (bolus) for a neomycin sulfate product. The pioneer product is NADA 011-315, a soluble powder.","Dibutyltin Dilaurate, Phenothiazine, Piperazine",92P-0399/CP1,"Sanofi Animal Health, Inc.","Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc.",360 W 3rd Street,Newell,United States,500-711,AgState,IA,50568
29,009-392,Primidone,Zoetis Inc.,12/15/2015,5849768,Approved,11/23/1992,07/31/1995,"Request approval to file an ANADA for the use of a different oral dosage form (liquid) and strength for neomycin sulfate. The pioneer product is NADA 011-315, a soluble powder.",Nitrofurantoin,92P-0402/CP1,"Arkansas Micro Specialties, Inc.","Proctor & Gamble Pharmaceuticals, Inc.",1541 Western Avenue,Sheldon,United States,500-001,AgState,IA,51201
30,009-476,Nicarb® 25%,Phibro Animal Health Corp.,07/07/2015,5776982,Approved,01/29/1993,05/03/2023,Request permission to change dosage form from a powder to a solution and file an ANADA for neomycin sulfate. The pioneer NADA is 011-315.,Nalorphine Hydrochloride,92P-0498/CP1,Fermenta Animal Health Co.,Boehringer lngelheim Animal Health USA Inc.,1016 2nd Avenue,Sheldon,United States,500-423,AgState,IA,51201
31,009-576,"SYNOVEX® C, SYNOVEX® S",Zoetis Inc.,12/19/2016,5811130,Approved,01/29/1993,06/30/1992,Request permission to change dosage form from a powder to a bolus and file an ANADA for neomycin sulfate. The pioneer NADA is 011-315.,"Dibutyltin Dilaurate, Phenothiazine, Piperazine Sulfate",92P-0511/CP1,Fermenta Animal Health Co.,"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc.",20799 Allen Road,Seaford,United States,501-463,"Allen Harim Foods, LLC",DE,19973
32,009-782,Nolvasan® Antiseptic Ointment,Zoetis Inc.,02/24/2015,5721359,Denied,04/12/1993,09/06/2005,Request permission to file an ANADA for an injectable solution containing 300 milligrams oxytetracycline base per milliliter. The proposed product brand name is Noromycin LA 300. The pioneer NADA is 113-232.,Salicylic Acid,92P-0490/CP1,Norbrook Laboratories Ltd.,"Jorgensen Laboratories, Inc.",435 East Main Street,Chilton,United States,500-532,Alliance Milk Products,WI,53014
33,009-809,Nolvasan® Cap-Tabs®,Zoetis Inc.,07/15/2024,7829100 ,Approved,11/03/1993,07/15/1996,Request permission to file an ANADA for a change in strength of gentamicin sulfate oral solution in a pump dispenser from 4.35 milligrams per milliliter to 5.0 milligrams per milliliter. The delivery volume would also change from 1.15 milliliter per pump to 1.0 milliliter per pump. The pioneer product is NADA 130-464.,Calcium Disodium Edetate,93P-0294/CP1,"IVX Animal Health, Inc.","Bayer HealthCare LLC, Animal Health Division",374 S 600 W,Heyburn,United States,501-071,"Alpine Clean Foods, Inc.",ID,83336
34,009-963,Meticorten®,"Intervet, Inc.",03/19/2023,8968759,Denied,02/16/1994,02/27/1995,Request permission to file an ANADA for a change in strength of etorphine hydrochloride parenteral solution from 1 milligrams per milliliter to 5 milligrams per milliliter. The pioneer product is NADA 095-017.,Oxytetracycline Hydrochloride,93P-0422/CP1,Wildlife Pharmaceuticals,"Pfizer, Inc.",10392 Allen's Mill Road,Delmar,United States,500-003,"Amick Farms, LLC",DE,19940
35,010-091,Mylepsin Tablets,Zoetis Inc.,03/20/2017,6074657,Approved,03/21/1994,09/06/2005,"Request permission to file an ANADA for a change in strength of the implant component of the product. The pioneer product, NADA 134-930, sponsored by Sanofi Animal Health, Inc., is a two component drug consisting of an implant containing 6 milligrams norgestomet and an injectable solution containing 3 milligrams norgestomet and 5 milligrams estradiol valerate per 2 milliliter. The proposed ANADA would change the strength of the implant from 6 milligrams to 3 milligrams of norgestomet. The injectable solution would stay the same.",Promazine Hydrochloride,94P-0039/CP1,"Akzo Intervet, Inc.",Wyeth Laboratories,631 Hawkes Road,Laurel,United States,500-485,"Amick Farms, LLC",MS,39440
36,010-092,Gallimycin®-100P,Bimeda Animal Health Limited,01/17/2026,7674475 ,Approved,06/29/1994,02/18/1994,"Request permission to file an ANADA for a change in strength of the active ingredient, neomycin base, to 56.9% instead off 50% as in the pioneer. The pioneer product is NADA 011-315 sponsored by the Upjohn Co.",Promazine Hydrochloride,94P-0159/CP1,"Sanofi Sante Animale, Canada Inc.",Wyeth Laboratories,Hw3682 Highway 23,Monetta,United States,501-020,"Amick Farms, LLC",SC,29105
37,010-312,Meticortelone Acetate,"Intervet, Inc.",08/25/2022,6893652,Denied,01/12/1995,09/06/2005,"Request permission to file an ANADA for a generic new animal drug containing trimethoprim and sulfadiazine whose strength, dosage form, and inactive ingredient composition differ from the pioneer product. The proposed generic product contains 40 milligrams per milliliter trimethoprim and 200 milligrams per milliliter sulfadiazine. The trimethoprim in the proposed generic product is in solution whereas the pioneer product is in suspension. The proposed generic product contains an innovative active ingredient, N-methylpyrrolidone. The pioneer product is NADA 106-965 sponsored by Cooper Animal Health.",Piperazine Monohydrochloride,94P-0408/CP1,"Macleod Pharmaceuticals, Inc.","Virbac AH, Inc.",FM 1275 South,Nacogdoches,United States,500-805,"Animal Science Products, Inc.",TX,75961
38,010-346,Combuthal Powder,Bimeda Animal Health Limited,05/20/2014,5631298,Denied,04/24/1995,07/31/1989,"Request permission to file an ANADA (hybrid application) for a generic new animal drug with a dosage form different from the pioneer product. The pioneer product, NADA 055-089, sponsored by Beecham Laboratories, is a powder formulation containing 25 milligrams amoxicillin per vial for reconstitution with Water for Injection USP, to an oil-based suspension with a nominal concentration of 250 milligrams amoxicillin base per milliliter. The Norbrook formulation is an oil-based suspension containing 250 milligrams amoxicillin base per milliliter. The pioneer product is indicated for intramuscular or subcutaneous administration, while the generic product will be indicated only for intramuscular administration.",Chlorpromazine Hydrochloride,95P-0036/CP1,Norbrook Laboratories Ltd.,"Mallinckrodt Veterinary, Inc.",W7104 County KW,Juneau,United States,500-910,"Animix, Inc.",WI,53039
39,010-434,Nolvasan® Suspension,Zoetis Inc.,05/20/2014,5631298,Not required,01/15/1996,08/27/1990,"Request permission to file an ANADA for a generic new animal drug which differs from that of the pioneer product only by the addition of 1.5% benzyl alcohol to the formula. The pioneer product is Ivomex 1% Injection, NADA 128-409, sponsored by Merck Research Laboratories.",Iron Dextran Complex,95P-0350/CP1,"IVX Animal Health, Inc.",Boehringer lngelheim Animal Health USA Inc.,"Route 1, Box 152",Ashland,United States,500-902,Ashland Feeders,KS,67831
40,010-524,Neo-Cortef® with Tetracaine,Zoetis Inc.,07/22/2018,5981576,Denied,04/15/1996,05/12/1998,"Request permission to file an ANADA for a generic new animal drug which differs from that of the pioneer product in two ways: 1) the generic product would be a palatable product to mix with cat food instead of the tablet dosage form of the pioneer product; and 2) pyrantel pamoate would be the only active ingredient instead of pyrantel pamoate and praziquantel. The pioneer product is Drontal Tablets, NADA 141-008, sponsored by Bayer Corp., Agriculture Division, Animal Health.",Oxytetracycline Hydrochloride,96P-0098/CP1,"Equi Aid Products, Inc.","Pfizer, Inc.",5213 West Main,Turlock,United States,500-986,"Associated Feed and Supply Co., Inc.",CA,95380
41,010-793,Nonemic,"Intervet, Inc.",10/08/2019,6677373,Denied,07/15/1996,05/03/2023,"Filed for reconsideration: Request permission to file an ANADA for a generic new animal drug which differs from that of the pioneer product in two ways: 1) the generic product would be a palatable product to mix with cat food instead of the tablet dosage form of the pioneer product; and 2) pyrantel pamoate would be the only active ingredient instead of pyrantel pamoate and praziquantel. The pioneer product is Drontal Tablets, NADA 141-008, sponsored by Bayer Corp., Agriculture Division, Animal Health.",Prednisolone Tertiary Butylacetate,96P-0098/PRC1,"Equi Aid Products, Inc.",Boehringer lngelheim Animal Health USA Inc.,2819 Old West Highway 30,Grand Island,United States,500-601,Aurora Cooperative Elevator Co.,NE,68802
42,010-809,Surital,Zoetis Inc.,10/08/2019,6541646,Approved,01/10/1997,11/05/2010,"Request permission to file an ANADA for a generic new animal drug which differs from that of the pioneer product only in the formulation and method of oral administration. The product would be formulated as a powder and administered orally once per day in a small amount of palatable feed. The pioneer product is Tribrissen 400 Oral Paste, NADA 131-918, sponsored by Mallinckrodt Veterinary, Inc.","Nitromide, Sulfanitran",96P-0438/CP1,Pharmacia & Upjohn Co.,"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc.","210 South Park, Box 7",St. Ansgar,United States,500-952,B & K Feed Mill,IA,50472
43,010-865,Ferrextran 100,Zoetis Inc.,07/22/2018,5981576,Approved,04/11/1997,07/15/1996,"Request permission to file an ANADA for a generic new animal drug, Butequine™ Paste (phenylbutazone paste) which differs from the pioneer product, Butazolidin Paste, Coopers Animal Health, NADA 116-087 by the following characteristics: Butequine™ Paste: 20 grams of phenylbutazone per 60 milliliter syringe of paste (1 gram per 3 milliliter). Butezolidin Paste (pioneer): 12 grams of phenylbutazone per 60 gram syringe of paste (1 gram per 5 grams). The dosage (1-2 grams of phenylbutazone per 500 pounds body weight) is the same in both products. However, in the generic product, the dosage would be given as 3-6 milliliters as opposed to 5-10 grams of the pioneer product.",Diethylcarbamazine Citrate,97P-0072/CP1,"Bioniche Animal Health USA, Inc.","Bayer HealthCare LLC, Animal Health Division",11175 739 RD,Holdrege,United States,501-554,B&B Cattle Company Inc.,NE,68949
44,010-918,"Hygromix™ 8, Hygromix™ 2.4",Elanco US Inc.,10/08/2019,6541646,Approved,01/30/1998,05/03/2023,"Request permission to file an ANADA for a generic new animal drug, Unibute Paste (phenylbutazone paste) which differs from the pioneer product, Butazolidin Paste, Mallinckrodt Veterinary, Inc, NADA 116-087 by the following characteristics: Unibute Paste: 20 grams of phenylbutazone per 60 grams of paste. Butazolidin Paste (pioneer): 12 grams of phenylbutazone per 60 grams of paste. The dosage (1-2 grams of phenylbutazone per 500 pounds body weight) is the same in both products.","Neomycin Sulfate, Prednisolone Sodium Phosphate",97P-0473/CP1,"Macleod Pharmaceuticals, Inc.",Boehringer lngelheim Animal Health USA Inc.,607 Floyd Blvd.,Sioux City,United States,500-795,Baber's VIS-VITA Sales,IA,51102
45,010-987,"Butazolidin® Bolus, Butazolidin® Tablets","Intervet, Inc.",10/08/2019,6677373,Approved,01/30/1998,05/03/2023,"Request permission to file an ANADA for a generic new animal drug, Uniprim Paste (trimethoprim and sulfadiazine) which differs from the pioneer product, Tribrissen 400 Oral Paste, Mallinckrodt Veterinary, Inc, NADA 131-918 by the following characteristics: Uniprim Paste: 56 grams of trimethoprim and 278 milligrams of sulfadiazine per gram. Uniprim Paste: 67 grams of trimethoprim and 333 milligrams of sulfadiazine per gram. The dosage (1-2 grams of phenylbutazone 500 pounds body weight) is the same in both products.",Sulfabromomethazine Sodium,97P-0474/CP1,"Macleod Pharmaceuticals, Inc.",Boehringer lngelheim Animal Health USA Inc.,1011 5th Street,Williams,United States,501-654,"Bar Ale, Inc.",CA,95987
46,011-060,Terramycin® Scours Tablets,Zoetis Inc.,07/15/2024,7829100 ,Approved,06/18/1998,05/03/2023,"Request permission to file an ANADA for a generic Ivermectin Chewable Tablet which differs from the pioneer product, Heartgard-30®, Merial Limited NADA 140-886 by the following characteristics: Ivermectin generic is a compressed chewable tablet and Heartgard is an ‘extruded’ chewable tablet.",Chlorothiazide,98P-0159/CP1,"IVX Animal Health, Inc.",Boehringer lngelheim Animal Health USA Inc.,#4 Road J Road,Hereford,United States,500-839,Barrett & Crofoot East,TX,79045
47,011-116,Zoamix® Type A Medicated Article,Phibro Animal Health Corp.,01/20/2026,7482791,Approved,06/22/1998,07/31/1989,"Request permission to file an ANADA for a generic new animal drug ivermectin/pyrantel pamoate which differs from the pioneer product, Heartgard-30® Plus, Merial Limited, NADA 140-971, by the following characteristic: Ivermectin/pyrantel pamoate generic is a compressed chewable tablet and Heartgard-30® Plus is an ‘extruded’ tablet.",Phthalofyne,98P-0190/CP1,"Blue Ridge Pharmaceuticals, Inc.","Mallinckrodt Veterinary, Inc.",15 miles West of Hereford,Hereford,United States,500-840,Barrett & Crofoot West,TX,79045
48,011-154,NFZ® Puffer,Neogen Corp.,07/17/2016,6448252,Denied,07/08/1998,11/02/2018,"Request permission to file an ANADA for a generic new animal drug miconazole nitrate which differs from the pioneer product, Conofite® Lotion 1%, Schering-Plough Animal Health Corporation, NADA 095-184, by the following characteristics: Miconazole 2% is formulated as a leave-on conditioner and Conofite® Lotion 1% is formulated as a topical lotion and a different strength.",Colloidal Ferric Oxide,98P-0232/CP1,"Virbac, Inc.","Virbac AH, Inc.","Rt. 2, Box 74B",Ellinwood,United States,500-728,"Barton County Feeders, Inc.",KS,64526
49,011-222,Diquel Tablet,"Intervet, Inc.",07/17/2016,5747476,Filed,10/01/1998,02/18/1994,"Request permission to file an ANADA for a generic new animal drug ivermectin/pyrantel which differs from the pioneer product, Heartgard™ Plus (ivermectin/pyrantel), Merial Limited, NADA 140-971 by the following characteristic: Ivermectin/pyrantel generic is a compressed chewable tablet and Heartgard™ Plus is an ‘extruded’ chewable tablet.",Iron Dextran Complex,98P-0862/CP1,"IVX Animal Health, Inc.","Pharmachem Specialties, Inc.",12500 S. Beefland Rd.,Garden City,United States,501-568,"Beefland, Inc.",KS,67868
