"letter","key","content"
"A","Authorized representative
      Related terms:
        Representative
        Designated representative
        Accredited citizenship or immigration consultant
    ","
      There are two types of authorized representatives: Compensated and Uncompensated.
      
        Individuals who receive some form of compensation for their services (either directly or indirectly): Compensated authorized representatives must be members in good standing with their accredited regulatory body.
        Individuals who provide such services for free: Examples of these individuals include friends, family members, and volunteers or staff members at charitable or non-governmental organizations (NGOS).
      
      See [Citizenship and Immigration consultant](#immigration_consultant), [Representative](#representative).
    ""letter","key","content"
"B","Background check","A procedure to verify the criminal and/or security background of visa applicants to ensure they’re admissible to Canada.
      See [Police certificate](#police_certificate).
    "
"B","Biometric Instruction Letter","If you need to give your biometrics, IRCC sends a biometric instruction letter to you either by mail or through your account when you apply. You must bring a paper copy of this letter with you to a visa application centre (VAC) or application support centre (ASC) when you go in person to give your biometrics. The letter contains bar codes that must be scanned by the VAC or ASC before you can give your biometrics. Examples of the types of bar codes in a biometric instruction letter:
      
        
    "
"B","Border services officer","Officers of the Canada Border Services Agency (CBSA), a federal government agency, who have the legal authority to decide who can enter and remain in Canada. These officers have many of the same powers as police officers, including the right to conduct searches, make arrests, and seize documents or goods."
"B","Bridging program","A program that helps trained workers address the gap between the knowledge and experience they have and what they need to work in their preferred job or field."
"B","British subject status
      Related term:
        British subject
    ","
      Before 1947, people born or naturalized in Canada had the status of British subjects. British subject status is relevant in determining Canadian citizenship under the 1947 Canadian Citizenship Act.
      See [Naturalization](#naturalization).
    "
"B","Business","A private sector enterprise engaged in the pursuit of profit."
"B","Business class
      Related term:
        Business immigrant
    ","
      A category that includes investors, entrepreneurs and self-employed people. A person may become a permanent resident in this category based on his or her ability to economically establish in Canada.
      The applicant’s spouse or common-law partner, and the applicant’s dependent children, are also included in this category.
    "
"B","Business experience","
      Business experience is a term used when applying to immigrate as an entrepreneur to describe:
      
        at least two one-year periods of experience in the period from five years before the application date to the day a decision is made on the application.
      
      Experience must have to do with:
      
        managing and controlling a percentage of equity in a [[qualifying business](#qualifying_business)](#qualifying_business)
      
      Or when applying to immigrate as an investor to describe:
      
        at least two one-year periods of experience in the period from five years before the application date to the day a decision is made on the application.
      
      Experience must have to do with:
      
        managing and controlling a percentage of equity in a qualifying business; or
        experience managing at least 5 full-time job equivalents per year in a business; or
        a combination of one year managing and controlling a percentage of equity in a qualifying business and one year of experience managing at least 5 full-time job equivalents in a business.
      
    "
"B","Business visitor
      Related term:
        Business traveller
    ","
      A person who:
      
        comes to Canada to take part in international business or trade activities,
        has no intent to enter the Canadian labour market, and
        works for and is paid by a company outside Canada or by a foreign government.
      
    ""letter","key","content"
"C","Canadian business","
      An organization that:
      
        is incorporated under Canadian or provincial law and has an ongoing operation in Canada, or
        has an ongoing operation in Canada that can generate revenue, is run for profit, and has a majority of voting or ownership interests held by Canadian citizens, permanent residents or Canadian businesses, or
        was created by the laws of Canada or a province.
      
    "
"C","Canadian citizen","
      A person described as a citizen under the Citizenship Act. This means a person who:
      
        is Canadian by birth (either born in Canada or born outside Canada to a Canadian citizen who was themselves either born in Canada or granted citizenship) or
        has applied for a grant of citizenship and has received Canadian citizenship [(naturalization)](#naturalization).
      
    "
"C","Canadian Experience Class","An immigration category that allows foreign workers or recently graduated international students working in Canada to apply for permanent residence."
"C","Canadian Language Benchmarks (CLB)","The Canadian standard used to describe, measure and recognize English language ability of adult immigrants and prospective immigrants who plan to live and work in Canada, or apply for citizenship. The Niveaux de compétence linguistique canadiens (NCLC) is used to assess abilities in the French language."
"C","Case Processing Centre (CPC)","
      An office in Canada that handles citizenship and immigration applications. They are not open to the public.
      There are CPCs in: Sydney, Nova Scotia; Mississauga, Ontario; Vegreville, Alberta; and Ottawa, Ontario.
    "
"C","CEGEPs","In Quebec, an educational institution that offers pre-university classes (two years) taken between secondary school and university, or technical career programs (three years) that prepare students to enter the job market."
"C","Centralized Intake Office","
      An office in Sydney, Nova Scotia that handles applications from several permanent immigration programs, including federal skilled workers and immigrant investors.
      Our staff will make sure your application is complete, then send it to the visa office responsible for your home country.
    "
"C","Certificat d’acceptation du Québec (CAQ)
      Related term:
        Certificate of acceptance
    ","
      A document from Quebec’s Ministère de l’Immigration, de la Diversité et de l’Inclusion (MIDI) that:
      
        a temporary worker must apply for the CAQ with MIDI before coming to Quebec to work, or
        a foreign student must apply for the CAQ with MIDI before coming to study in Quebec.
      
    "
"C","Certificate of Canadian citizenship
      Related terms:
        Citizenship certificate
        Proof of citizenship
        Citizenship card
    ","
      A Canadian citizenship certificate is a document that proves that a person is a Canadian citizen.
      The citizenship certificate is an 8½ x 11 paper size certificate that contains:
      
        your certificate number
        your Unique Client Identifier
        your name
        your date of birth
        your gender
        your effective date of Canadian citizenship
      
      Before February 1, 2012, IRCC issued plastic wallet sized citizenship cards as proof of citizenship. These cards came with commemorative certificates. The commemorative certificates cannot be used as proof of citizenship.
    "
"C","Certificate of nomination
      Related term:
        Nomination certificate
    ","A certificate issued by a province or territory that recommends a foreign national for permanent residence under the [Provincial Nominee Program](#provincial_nominee_program)."
"C","Certificate of renunciation
      Related term:
        Renunciation certificate
    ","A document issued by the Government of Canada that confirms someone is no longer a citizen of Canada because they have willingly given up their Canadian citizenship."
"C","Certification","A formal document that recognizes a person’s skills, knowledge and abilities."
"C","Certified English or French translations","
      A document  translated into English or French by either:


	a [certified  translator](#certified_translator) who is certified in Canada or
	
	a translator who is not you or your
		
			parent
			guardian
			sibling
			spouse
			common-law partner
			conjugal partner
			grandparent
			child
			aunt
			uncle
			niece
			nephew
			first cousin
		
	


If the translator  is not certified in Canada, you have  to supply an [affidavit](#affidavit) from the person who completed the translation and a [certified  photocopy](#certified_photocopy) of the original document.

    "
"C","Certified photocopy","
      A photocopy of an original document. It must be readable and certified as a true copy of the original by an authorized person. The person compares the documents and marks on the photocopy:
      
        their name and signature
        their position or title
        the name of the original document
        the date they certified the document
        the phrase “I certify that this is a true copy of the original document.”
      
      In Canada, examples of authorized persons who can certify the copies of your original documents include:
      
        notary public
        commissioner of oaths, or
        commissioner of taking affidavits
      
      Check with your provincial or territorial authorities to be sure who can certify your documents.
      Outside Canada, each country has different authorities to certify documents. A notary public may be able to certify your documents, but you should check with your local authorities to be sure.
      You and your family members cannot certify copies of your documents. In this case, family member means your:
      
        parent
        guardian
        sibling
        spouse
        common-law partner
        conjugal partner
        grandparent

        child
        aunt
        uncle
        niece
        nephew
        first cousin
      
    "
"C","Certified translator","A member in good standing of a provincial or territorial organization of translators and interpreters in Canada."
"C","Citizen","To be a citizen of a country means that a person was either born in that country (in most cases) or has been granted citizenship by that country."
"C","Citizenship","State-recognized nationality and the duties, rights, responsibilities and privileges that come with it."
"C","Citizenship and Immigration consultant
      Related terms:
        Citizenship and Immigration representative
        Designated representative
    ","A person who provides support, advice or help, for a fee or other consideration, to someone who wants to immigrate to Canada or obtain Canadian citizenship. Canada’s citizenship and immigration laws define representatives and the terms of their services. This person does not work for the Canadian government.
      See [Authorized representative](#authorized_representative).
    "
"C","Citizenship ceremony
      Related terms:
        Clerk of the ceremony
        Presiding officer
    ","The final step in becoming a Canadian citizen. During the citizenship ceremony, candidates for citizenship aged 14 and over must take the oath of citizenship. After taking the oath, new citizens receive their citizenship certificate.
      See [Oath of citizenship](#oath_of_citizenship), [Citizenship judge](#citizenship_judge).
    "
"C","Citizenship Commission","The administrative body that consists of all [citizenship judges](#citizenship_judge) working across Canada."
"C","Citizenship hearing","An interview with a citizenship judge to assess whether an applicant meets the requirements for a grant of citizenship."
"C","Citizenship judge","An independent, quasi-judicial decision maker who makes legal decisions on residency requirements for some adult citizenship applications, administers the oath of Canadian citizenship, and presides over citizenship ceremonies.
      See [Citizenship ceremony](#citizenship_ceremony), [Oath of citizenship](#oath_of_citizenship).
    "
"C","Citizenship officer
      Related term:
        Clerk of the ceremony
    ","
      A person who is authorized by the Minister under the Citizenship Act to perform the duties of a citizenship officer prescribed by the Citizenship Regulations such as:
      
        reviewing applications to see whether a person meets the requirements for Canadian citizenship and conducting interviews and hearings with applicants as necessary,
        planning interviews, tests, hearings and citizenship ceremonies,
        granting citizenship to applicants, and
        providing written decision of refusal to applicants including reasons for the refusal.
      
    "
"C","Citizenship test","
      Citizenship applicants must prove their knowledge of Canada by taking a citizenship test. 
      Applicants between the ages of 18 and 54 (on the date of application) must take the test. It is usually a written test, but is sometimes taken orally with a citizenship officer. 
      The test assesses an applicant’s knowledge of: 
      
        Canada, and
        The responsibilities and privileges of citizenship.
      
    "
"C","Client Identification Number","
      A Client Identification Number (Client ID), also referred to as a Unique Client Identifier Number (UCI), can be found on any official document issued by an Immigration,  Refugees and Citizenship Canada office, Case Processing Centre or a Canadian visa office outside Canada.
      A Client ID consists of four numbers, a hyphen (-) and four (4) more numbers (example: 0000-0000).
      A person who has never dealt with Immigration, Refugees and Citizenship Canada before will not have a Client Identification Number.
    "
"C","College
      Related terms:
        Community college
        Collège d’enseignement général et professionnel (CEGEP) in Quebec
    ","
      A stage of higher education that comes after high school. Colleges offer one- to three-year diploma programs in academic or technical subjects.
    "
"C","Commitment certificate","A certificate of commitment issued to an applicant by a designated private sector business, confirming their agreement."
"C","Common-law partner
      Related term:
        Common-law spouse
    ","
      A person who has been living with another person in a conjugal relationship for at least one year. The term refers to opposite-sex and same-sex relationships.
      See the [legal definition of common-law partner](http://laws-lois.justice.gc.ca/eng/regulations/SOR-2002-227/page-1.html#h-1).
    "
"C","Community sponsor","An organization that sponsors refugees but has not signed a formal agreement with IRCC. A community sponsor would normally sponsor fewer refugees than a Sponsorship Agreement Holder (SAH)."
"C","Competency","A measurable skill or set of skills, level of knowledge, and behavioural practices obtained through formal, non-formal or informal learning."
"C","Comprehensive ranking system (CRS)","
      A points-based system used to assess and score a [candidate’s [Express Entry profile](https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/submit-profile.html)](https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/submit-profile.html) to rank them against other candidates in the pool. The CRS will assess the profile information candidates submit, including skills, work experience, language ability, education and [other factors](https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/become-candidate/criteria-comprehensive-ranking-system.html).
      See: Express Entry profile
    "
"C","Confirmation of permanent residence number (IMM 5292 or 5509)","You will find this number in top right corner of your Confirmation of Permanent Residence document issued to you by an Immigration, Refugees and Citizenship Canada office or by the visa office where you submitted your application. Your Confirmation of Permanent Residence number starts with a ""T"" followed by nine numbers (example: T100000000).
      
    "
"C","Conjugal partner","A person outside Canada who has had a binding relationship with a sponsor for at least one year but could not live with their partner. The term refers to both opposite-sex and same-sex relationships."
"C","Constituent group
      Related term:
        Sponsorship agreement holder (SAH)
    ","A group authorized in writing by a sponsorship agreement holder (SAH) to sponsor refugees under the SAH’s sponsorship agreement. An example of a Constituent Group is a local congregation or chapter of a national church or organization that is a SAH."
"C","Consulate
      Related term:
        Mission
    ","
      A Government of Canada office that helps Canadian citizens abroad. They are led by a Consul General. They are not located in capital cities. Some consulates also provide immigration services.
      Examples: Consulate General of Canada in New York City; Consulate General of Canada in Hong Kong.
      See [Visa office](#visa_office), [High commission](#high_commission), [Embassy](#embassy).
    "
"C","Contact information","
      A person’s name, mailing address, telephone number, e-mail address and fax number, if any.
      See the [legal definition of contact information](http://laws-lois.justice.gc.ca/eng/regulations/SOR-2002-230/page-1.html#h-1).
    "
"C","Convention refugee","A person who is outside of their home country or country where they normally live and fears returning to that country because of a well-founded fear of persecution for reasons of race, religion, nationality, membership in a particular social group or political opinion."
"C","Conviction","A conviction occurs when a person is found guilty of an offence by a court of law or a tribunal."
"C","Co-op/Internship Work Permit","Foreign students who wish to participate in a co-op or internship program in a Canadian institution must apply for a work permit as well as a study permit. To be eligible for the co-op/internship work permit program, you must meet the following conditions:
      
        You must have a valid study permit or apply for the work permit in conjunction with a study permit.
        Your intended employment must be an essential and integral part of your program of study in Canada.
        Your employment must be certified as part of your academic program, by a letter from a responsible academic official of the institution.
        Your co-op or internship employment cannot form more than 50 percent of the total program of study.
      
    "
"C","Co-sponsor","A person or organization that partners with a private sponsor to share in the delivery of settlement assistance and support to privately sponsored refugees. Co-sponsors can be family members of the sponsored refugee living in Canada."
"C","Country of citizenship","A country of which a person is a citizen. A person may be a citizen of more than one country."
"C","Country of nationality","
      Your country of nationality is your country of citizenship.
      See [Country of citizenship](#country_of_citizenship).
    "
"C","Country of residence","The country a person is living in. A person’s country of residence may be different from their country or countries of citizenship."
"C","Cours de langue pour les immigrants au Canada (CLIC)","Free French language training programs for adult newcomers to Canada. They are funded by the federal government and delivered by school boards, colleges and local organizations that provide services to newcomers."
"C","Credential assessment service","
      A provincially-mandated organization, such as a regulatory body or a post-secondary institution, that is responsible for assessing the portability of foreign credentials.
      In Canada, provincial and territorial governments are responsible for assessing and recognizing credentials.
    "
"C","Criminal inadmissibility","
      When a person is not allowed to enter or stay in Canada because they have committed or been convicted of a crime for which they have not received a record suspension (formerly known as a pardon) or been rehabilitated under the Immigration and Refugee Protection Act. The crime could have been committed and/or the conviction rendered in or outside Canada.
      See [Deemed rehabilitation](#deemed_rehabilitation), [Criminal rehabilitation](#criminal_rehabilitation), [Record suspension](#record_suspension).
    "
"C","Criminal rehabilitation
      Related term:
        Overcoming criminal inadmissibility
    ","
      This term refers to an application process that allows a person who has committed or been convicted of a crime outside Canada to enter or stay in Canada. “[Rehabilitation](#rehabilitation)”, in this context, under the Immigration and Refugee Protection Act, means that the person is no longer considered inadmissible to Canada for a particular criminal offence.
      A person can apply for rehabilitation if at least five years have passed since the act was committed and all criminal sentences have been completed. In order to be approved for rehabilitation the applicant must show that they lead a stable life and are not likely to commit more crimes.
      See [Criminal inadmissibility](#criminal_inadmissibility), [Deemed rehabilitation](#deemed_rehabilitation), [Record suspension](#record_suspension), Rehabilitation.
    "
"C","Crown servant","Person employed in or with the Canadian Armed Forces, the federal public administration or the public service of a province or territory. Employment as a locally engaged person is not included.""letter","key","content"
"D","Decision letter","An official letter sent by IRCC advising you of the decision on your case and what you must do next."
"D","Deemed rehabilitation","A person who has been convicted of a crime outside Canada may become admissible or be deemed rehabilitated after 5 or 10 years has passed, except in cases of serious criminality. No application is required to be considered for deemed rehabilitation. Whether someone qualifies for deemed rehabilitation depends on their individual circumstances.
      See [Criminal inadmissibility](#criminal_inadmissibility), [Criminal rehabilitation](#criminal_rehabilitation), [Record suspension](#record_suspension), [Rehabilitation](#rehabilitation).
    "
"D","Departure order","
      A removal order issued by either a Canada Border Service Agency (CBSA) officer or the Immigration and Refugee Board (IRB) an independent administrative tribunal responsible for deciding immigration and refugee matters.
      Departure orders are issued against people who have violated Canada’s immigration law. The person named on a departure order must leave Canada within 30 days. If they do not, the departure order becomes a deportation order.
      See [Removals](http://www.cbsa-asfc.gc.ca/media/facts-faits/051-eng.html) on CBSA website.
    "
"D","Dependant","A spouse, common-law partner or dependent child of a permanent resident or principal applicant."
"D","Dependent child","
    A child who is under the maximum age and is not married or in a common law relationship. Generally, to qualify as dependants, children must 
  
    be under 22 years old
    not have a spouse or common-law partner
  
  Note: a child’s age is usually “[locked in](#locked_in)” when we get a complete application.
  Use our [online tool to check if your child qualifies as a dependant](http://www.cic.gc.ca/english/immigrate/sponsor/aod-tool.asp).
  Exception: Children who are at the age limit or older can qualify as “over-age” dependants if they
  
    have depended on their parents for financial support since before they reached the age limit  and
    can’t financially support themselves due to a mental or physical condition
  
  Previous age limits:
  The age limit has changed in recent years. If your application has been in process for a while, one of the older definitions of dependent child may apply. Generally, we use the rules in place when we get your complete application. Previous age limits for a dependent child:
  
    From August 1, 2014 to October 23, 2017: under 19 years old
    On or before July 31, 2014: under 22 years old
  
  Note: The [rules for over-age dependants](#road) are different for applications that were submitted on or before July 31, 2014.
      "
"D","Dependant type","
      There are different types of dependent children. On your immigration application forms, you must select which type your dependent child is.
      You can use our [online tool](http://www.cic.gc.ca/english/immigrate/sponsor/aod-tool.asp) to check which type of dependant your child is. 
      Type A
      The dependant is under the age of 22 and single (not married and not in a common-law relationship).
      Type B
      This dependant type only applies if your child’s age was [locked in](#locked_in) before August 1, 2014.
      The dependant has been continuously enrolled in, and in attendance, as a full‑time student at a post-secondary institution accredited by the relevant government authority and has depended substantially on the financial support of a parent either: 
      
        since before the age of 22, or
        since marrying or entering into a common-law relationship (if it happened before the age of 22)
      
      Type C
      The dependant is 22 years of age or older, has depended substantially on the financial support of a parent since before the age of 22, and is unable to provide for himself or herself because of a medical condition. 
      Dependant types used on applications submitted between August 1, 2014, and October 23, 2017
      Type 1
      The dependant is under the age of 19 and single (not married and not in a common-law relationship).
      Type 2
      The dependant is 19 years of age or older, has been financially dependent on a parent since before the age of 19 due to a physical or mental condition.
    "
"D","Deportation order","
      A removal order issued by either a CBSA officer or the IRB.
      It requires the person to leave Canada due to serious offences or serious violations of Canada’s immigration law. A person deported from Canada may not return without written permission from the Minister of Citizenship and Immigration.
      See [Removals](http://www.cbsa-asfc.gc.ca/media/facts-faits/051-eng.html) on CBSA website.
    "
"D","Designated Angel Investor Group","
      This is a private organization that has been designated by the Minister to participate in Start-Up Visa.
      Angel investor groups are made up of members who invest their own capital in start-ups, usually in exchange for equity.
      Angel investor groups help their members in a variety of ways, which can include:
      
        identifying investment opportunities
        pooling their capital
        standardizing the investment process for angel investors
      
    "
"D","Designated Business Incubator","
      This is a private organization that has been designated by the Minister to participate in Start-Up Visa.
      Business incubators help start-ups grow by offering a range of services, which can include:
      
        physical space and facilities
        capital
        business mentoring
        networking connections
      
    "
"D","Designated Learning Institution","
      A school in Canada that a student must be accepted at before they can qualify for a study permit (as of June 1, 2014). Consult the [designated learning institutions list](https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list.html) (DLI) for schools at the post-secondary level.
      All primary and secondary schools in Canada are automatically designated. They do not appear on the list. Applicants for primary and secondary schools do not need a DLI number on their application form.
      See [Secondary school](#school).
    "
"D","Designated third-party language test","
      This is a test that shows if your language skills meet our standards in each of these four categories:
      
        listening,
        speaking,
        reading, and/or
        writing.
      
      There are agencies “designated” to give the tests. This means they are approved to do so by IRCC.
      These tests are given to see if you meet the [language requirement](#language_requirement) for your application.
    "
"D","Designated Venture Capital Fund","
       This is a private organization that has been designated by the Minister to participate in Start-Up Visa.
      Venture capital funds raise and manage capital to place equity investments in start-ups with high growth potential.
      Venture capital funds support start-ups through their investment and can also provide:
      
        operational experience
        technical knowledge
        networks
        mentorship
      
    "
"D","Direct route to citizenship","A process for a child born and adopted abroad by Canadian parents to be granted citizenship without having to immigrate to Canada first."
"D","Discover Canada","Discover Canada: The Rights and Responsibilities of Citizenship is the only official study guide for the citizenship knowledge test. An applicant should study from this guide to prepare for the citizenship test. If an applicant uses any other material to prepare for the citizenship test, they do so at their own risk."
"D","Divorced","Divorced means that a court has granted a divorce and that a marriage has ended. The two people are no longer married."
"D","Dual or multiple citizenship","When a person is a legal citizen of two or more countries at the same time. Dual or multiple citizenship is permitted under Canada’s citizenship laws. Some other countries do not allow it.""letter","key","content"
"E","Economic Class
      Related term:
        Economic immigrant
    ","A category of immigrants selected for their skills and ability to contribute to Canada’s economy. Economic Class immigrants include skilled workers, provincial and territorial nominees, business immigrants, Quebec skilled workers and [Canadian Experience Class](#canadian_experience_class) members, and their spouses and dependants."
"E","Educational credential","Any diploma, degree, or trade or apprenticeship credential issued for completing a program of study or training at a recognized educational or training institution."
"E","Educational institution
      Related term:
        Post Secondary School
    ","An organization that offers academic, technical or vocational programs of study, like a university or college."
"E","Electronic Travel Authorization (eTA)","eTA is a new entry requirement for visa-exempt foreign nationals travelling to Canada by air. It will allow Canada to screen travellers before they arrive. The authorization is electronically linked to your passport and is valid for five years or until your passport expires, whichever comes first."
"E","Elementary school
      Related terms:
        Primary school
        Grade school
        Public school
        Middle school
    ","An institution that provides educational programs for children, starting between the ages of four and six. Years of instruction usually include kindergarten (the lowest level) and grades 1 through 6 (if the area has middle schools) or grades 1 through 8."
"E","Eligible","To be eligible for something means to be qualified to participate or be chosen."
"E","Embassy
      Related term:
        Mission
      
    ","
      A Government of Canada office led by an Ambassador. They are located in the capital city of a non-Commonwealth country. They usually provide the full range of consular and trade services.
      In Commonwealth countries, Embassies are called High Commissions and are led by a High Commissioner.
      Some Embassies and High Commissions also provide immigration services.
      Examples: the Embassy of Canada in France, Paris and the High Commission of Canada to the United Kingdom in London
      See [High commission](#high_commission), [Consulate](#consulate), [Visa office](#visa_office)
    "
"E","eMedical","An online tool that doctors approved by IRCC to do medical exams use to record and send Immigration Medical Exam (IME) results to IRCC. It is more accurate, convenient and faster than paper-based processing."
"E","Emergency services","Public support available immediately if there is a dangerous situation caused by fire, a health crisis or criminal activity. These services may include police, fire department and/or ambulance services, and/or a local emergency hotline."
"E","Employer-specific work permit","A type of [work permit](#work_permit) that indicates:
      
        the name of the employer a person can work for,
        how long a person can work, and
        the location where a person can work (if applicable).
      
      A person who holds this type of work permit can only work for the employer for the length of time specified, and if applicable, at the location shown on the permit.
    "
"E","English as a second language (ESL)
      Related terms:
        English language services for adults
        English language training
        English as an additional language program
    ","A program used to teach English to non-native speakers. ESL is usually taught in a setting where English is the dominant language."
"E","Enhanced language training (ELT)","A program that provides adult newcomers with advanced, job-specific language training in English or French. ELT also uses mentoring, job placements and other ways to help newcomers find work."
"E","Entrepreneur","An immigrant admitted to Canada who:
      
        has [business experience](#business_experience), and
        has a legally obtained net worth of at least C$300,000.
      
      As a condition of maintaining permanent resident status as an entrepreneur, the person also agrees to:
      
        control at least one-third of the equity in a [qualifying Canadian business](#qualifying_business),
        actively manage the business, and
        create at least one full-time job for a Canadian citizen or permanent resident.
      
    "
"E","Excessive demand","When a person’s existing medical condition could place a demand on health or social services that would likely:
      
        cost more to treat than the cost of caring for an average Canadian or
        interfere with timely services to Canadian citizens or permanent residents.
      
      See the [legal definition of excessive demand](https://laws-lois.justice.gc.ca/eng/regulations/sor-2002-227/section-1.html).
    "
"E","Exclusion order","
      A removal order issued by either a Canada Border Service Agency (CBSA) officer or the Immigration and Refugee Board (IRB).
      Usually, a person removed due to an exclusion order cannot return to Canada for one year without written permission. People issued exclusion orders for [misrepresentation](#misrepresentation) cannot return for five years without written permission.
      See [Removals](http://www.cbsa-asfc.gc.ca/security-securite/violation-infraction-eng.html#s4) on CBSA website
    "
"E","Express Entry","
      An electronic system to manage applications for these immigration programs:
      
        the [Federal Skilled Worker Program](https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/eligibility/federal-skilled-workers.html)
        the [Federal Skilled Trades Program](https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/eligibility/skilled-trades.html)
        the [Canadian Experience Class](https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/eligibility/canadian-experience-class.html) or
        a portion of the provincial nominee program.
      
    ""letter","key","content"
"F","Facilitator","A facilitator is a financial institution that:
      
        is approved by IRCC;
        is a member of the [Canada Deposit Insurance Corporation (CDIC)](http://www.cdic.ca/?id=100);
        helps immigrant investors make and redeem their investments.
      
    "
"F","False representation","See [Misrepresentation](#misrepresentation)"
"F","Family booklet","
    A legal civil document with information about members of a family. It can be used to prove your relationship with other family members. It’s used in many European and Asian countries. Other names for a family booklet include:
    
       family register
       Livret de famille (France)
       Livrete de família (Portugal) 
       Libretto internazionale di famiglia (Italy)
       Koseki (Japan)
       Hukou (People’s Republic of China)
    
    "
"F","Family Class","An immigration category that includes any family members sponsored to come to Canada by a Canadian citizen or permanent resident."
"F","Family members","An applicant’s closest relatives, in the context of an application to IRCC. It is defined as a spouse or common-law partner, dependent children, and their dependent children."
