ndc,product_name,inactive_ingredient_unii,inactive_ingredient_name,active,prescribable
0071-0158,"ATORVASTATIN CALCIUM TRIHYDRATE 80 mg ORAL TABLET, FILM COATED [Lipitor]",3WJQ0SDW1A,"POLYETHYLENE GLYCOL, UNSPECIFIED",True,True
0071-0158,"ATORVASTATIN CALCIUM TRIHYDRATE 80 mg ORAL TABLET, FILM COATED [Lipitor]",3WJQ0SDW1A,POLYETHYLENE GLYCOLS,True,True
0071-0158,"ATORVASTATIN CALCIUM TRIHYDRATE 80 mg ORAL TABLET, FILM COATED [Lipitor]",6OZP39ZG8H,POLYSORBATE 80,True,True
0071-0158,"ATORVASTATIN CALCIUM TRIHYDRATE 80 mg ORAL TABLET, FILM COATED [Lipitor]",70097M6I30,MAGNESIUM STEARATE,True,True
0071-0158,"ATORVASTATIN CALCIUM TRIHYDRATE 80 mg ORAL TABLET, FILM COATED [Lipitor]",7SEV7J4R1U,TALC,True,True
0071-0158,"ATORVASTATIN CALCIUM TRIHYDRATE 80 mg ORAL TABLET, FILM COATED [Lipitor]",EWQ57Q8I5X,LACTOSE MONOHYDRATE,True,True
0071-0158,"ATORVASTATIN CALCIUM TRIHYDRATE 80 mg ORAL TABLET, FILM COATED [Lipitor]",H0G9379FGK,CALCIUM CARBONATE,True,True
0071-0158,"ATORVASTATIN CALCIUM TRIHYDRATE 80 mg ORAL TABLET, FILM COATED [Lipitor]",M28OL1HH48,CROSCARMELLOSE SODIUM,True,True
0071-0158,"ATORVASTATIN CALCIUM TRIHYDRATE 80 mg ORAL TABLET, FILM COATED [Lipitor]",OP1R32D61U,"CELLULOSE, MICROCRYSTALLINE",True,True
0071-0158,"ATORVASTATIN CALCIUM TRIHYDRATE 80 mg ORAL TABLET, FILM COATED [Lipitor]",OP1R32D61U,MICROCRYSTALLINE CELLULOSE,True,True
0071-0158,"ATORVASTATIN CALCIUM TRIHYDRATE 80 mg ORAL TABLET, FILM COATED [Lipitor]",RFW2ET671P,HYDROXYPROPYL CELLULOSE (1200000 MW),True,True
0071-0158,"ATORVASTATIN CALCIUM TRIHYDRATE 80 mg ORAL TABLET, FILM COATED [Lipitor]",RFW2ET671P,HYDROXYPROPYL CELLULOSE (TYPE H),True,True
0071-0158,"ATORVASTATIN CALCIUM TRIHYDRATE 80 mg ORAL TABLET, FILM COATED [Lipitor]",RFW2ET671P,HYDROXYPROPYL CELLULOSE (1600000 WAMW),True,True
0071-0158,"ATORVASTATIN CALCIUM TRIHYDRATE 80 mg ORAL TABLET, FILM COATED [Lipitor]",WL0328HX19,CANDELILLA WAX,True,True
21695-255,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [Lipitor]",15FIX9V2JP,titanium dioxide,False,False
21695-255,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [Lipitor]",3NXW29V3WO,HYPROMELLOSES,False,False
21695-255,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [Lipitor]",3WJQ0SDW1A,polyethylene glycol,False,False
21695-255,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [Lipitor]",6OZP39ZG8H,polysorbate 80,False,False
21695-255,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [Lipitor]",70097M6I30,magnesium stearate,False,False
21695-255,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [Lipitor]",7SEV7J4R1U,talc,False,False
21695-255,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [Lipitor]",EWQ57Q8I5X,lactose monohydrate,False,False
21695-255,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [Lipitor]",H0G9379FGK,calcium carbonate,False,False
21695-255,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [Lipitor]",M28OL1HH48,croscarmellose sodium,False,False
21695-255,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [Lipitor]",OP1R32D61U,"cellulose, microcrystalline",False,False
21695-255,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [Lipitor]",RFW2ET671P,hydroxypropyl cellulose,False,False
21695-255,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [Lipitor]",WL0328HX19,candelilla wax,False,False
49299-1090,"atorvastatin calcium 10 mg ORAL TABLET, FILM COATED [LIPITOR]",15FIX9V2JP,titanium dioxide,False,False
49299-1090,"atorvastatin calcium 10 mg ORAL TABLET, FILM COATED [LIPITOR]",3NXW29V3WO,hypromelloses,False,False
49299-1090,"atorvastatin calcium 10 mg ORAL TABLET, FILM COATED [LIPITOR]",3WJQ0SDW1A,polyethylene glycol,False,False
49299-1090,"atorvastatin calcium 10 mg ORAL TABLET, FILM COATED [LIPITOR]",6OZP39ZG8H,polysorbate 80,False,False
49299-1090,"atorvastatin calcium 10 mg ORAL TABLET, FILM COATED [LIPITOR]",70097M6I30,magnesium stearate,False,False
49299-1090,"atorvastatin calcium 10 mg ORAL TABLET, FILM COATED [LIPITOR]",7SEV7J4R1U,talc,False,False
49299-1090,"atorvastatin calcium 10 mg ORAL TABLET, FILM COATED [LIPITOR]",EWQ57Q8I5X,lactose monohydrate,False,False
49299-1090,"atorvastatin calcium 10 mg ORAL TABLET, FILM COATED [LIPITOR]",H0G9379FGK,calcium carbonate,False,False
49299-1090,"atorvastatin calcium 10 mg ORAL TABLET, FILM COATED [LIPITOR]",M28OL1HH48,croscarmellose sodium,False,False
49299-1090,"atorvastatin calcium 10 mg ORAL TABLET, FILM COATED [LIPITOR]",OP1R32D61U,"cellulose, microcrystalline",False,False
49299-1090,"atorvastatin calcium 10 mg ORAL TABLET, FILM COATED [LIPITOR]",RFW2ET671P,hydroxypropyl cellulose,False,False
49299-1090,"atorvastatin calcium 10 mg ORAL TABLET, FILM COATED [LIPITOR]",WL0328HX19,candelilla wax,False,False
49299-1091,"atorvastatin calcium 20 mg ORAL TABLET, FILM COATED [LIPITOR]",15FIX9V2JP,titanium dioxide,False,False
49299-1091,"atorvastatin calcium 20 mg ORAL TABLET, FILM COATED [LIPITOR]",3NXW29V3WO,hypromelloses,False,False
49299-1091,"atorvastatin calcium 20 mg ORAL TABLET, FILM COATED [LIPITOR]",3WJQ0SDW1A,polyethylene glycol,False,False
49299-1091,"atorvastatin calcium 20 mg ORAL TABLET, FILM COATED [LIPITOR]",6OZP39ZG8H,polysorbate 80,False,False
49299-1091,"atorvastatin calcium 20 mg ORAL TABLET, FILM COATED [LIPITOR]",70097M6I30,magnesium stearate,False,False
49299-1091,"atorvastatin calcium 20 mg ORAL TABLET, FILM COATED [LIPITOR]",7SEV7J4R1U,talc,False,False
49299-1091,"atorvastatin calcium 20 mg ORAL TABLET, FILM COATED [LIPITOR]",EWQ57Q8I5X,lactose monohydrate,False,False
49299-1091,"atorvastatin calcium 20 mg ORAL TABLET, FILM COATED [LIPITOR]",H0G9379FGK,calcium carbonate,False,False
49299-1091,"atorvastatin calcium 20 mg ORAL TABLET, FILM COATED [LIPITOR]",M28OL1HH48,croscarmellose sodium,False,False
49299-1091,"atorvastatin calcium 20 mg ORAL TABLET, FILM COATED [LIPITOR]",OP1R32D61U,"cellulose, microcrystalline",False,False
49299-1091,"atorvastatin calcium 20 mg ORAL TABLET, FILM COATED [LIPITOR]",RFW2ET671P,hydroxypropyl cellulose,False,False
49299-1091,"atorvastatin calcium 20 mg ORAL TABLET, FILM COATED [LIPITOR]",WL0328HX19,candelilla wax,False,False
49299-1092,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [LIPITOR]",15FIX9V2JP,titanium dioxide,False,False
49299-1092,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [LIPITOR]",3NXW29V3WO,hypromelloses,False,False
49299-1092,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [LIPITOR]",3WJQ0SDW1A,polyethylene glycol,False,False
49299-1092,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [LIPITOR]",6OZP39ZG8H,polysorbate 80,False,False
49299-1092,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [LIPITOR]",70097M6I30,magnesium stearate,False,False
49299-1092,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [LIPITOR]",7SEV7J4R1U,talc,False,False
49299-1092,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [LIPITOR]",EWQ57Q8I5X,lactose monohydrate,False,False
49299-1092,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [LIPITOR]",H0G9379FGK,calcium carbonate,False,False
49299-1092,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [LIPITOR]",M28OL1HH48,croscarmellose sodium,False,False
49299-1092,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [LIPITOR]",OP1R32D61U,"cellulose, microcrystalline",False,False
49299-1092,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [LIPITOR]",RFW2ET671P,hydroxypropyl cellulose,False,False
49299-1092,"atorvastatin calcium 40 mg ORAL TABLET, FILM COATED [LIPITOR]",WL0328HX19,candelilla wax,False,False
49299-1093,"atorvastatin calcium 80 mg ORAL TABLET, FILM COATED [LIPITOR]",15FIX9V2JP,titanium dioxide,False,False
49299-1093,"atorvastatin calcium 80 mg ORAL TABLET, FILM COATED [LIPITOR]",3NXW29V3WO,hypromelloses,False,False
49299-1093,"atorvastatin calcium 80 mg ORAL TABLET, FILM COATED [LIPITOR]",3WJQ0SDW1A,polyethylene glycol,False,False
49299-1093,"atorvastatin calcium 80 mg ORAL TABLET, FILM COATED [LIPITOR]",6OZP39ZG8H,polysorbate 80,False,False
49299-1093,"atorvastatin calcium 80 mg ORAL TABLET, FILM COATED [LIPITOR]",70097M6I30,magnesium stearate,False,False
49299-1093,"atorvastatin calcium 80 mg ORAL TABLET, FILM COATED [LIPITOR]",7SEV7J4R1U,talc,False,False
49299-1093,"atorvastatin calcium 80 mg ORAL TABLET, FILM COATED [LIPITOR]",EWQ57Q8I5X,lactose monohydrate,False,False
49299-1093,"atorvastatin calcium 80 mg ORAL TABLET, FILM COATED [LIPITOR]",H0G9379FGK,calcium carbonate,False,False
49299-1093,"atorvastatin calcium 80 mg ORAL TABLET, FILM COATED [LIPITOR]",M28OL1HH48,croscarmellose sodium,False,False
49299-1093,"atorvastatin calcium 80 mg ORAL TABLET, FILM COATED [LIPITOR]",OP1R32D61U,"cellulose, microcrystalline",False,False
49299-1093,"atorvastatin calcium 80 mg ORAL TABLET, FILM COATED [LIPITOR]",RFW2ET671P,hydroxypropyl cellulose,False,False
49299-1093,"atorvastatin calcium 80 mg ORAL TABLET, FILM COATED [LIPITOR]",WL0328HX19,candelilla wax,False,False
54868-3934,"ATORVASTATIN CALCIUM 10 mg ORAL TABLET, FILM COATED [Lipitor]",15FIX9V2JP,TITANIUM DIOXIDE,False,False
54868-3934,"ATORVASTATIN CALCIUM 10 mg ORAL TABLET, FILM COATED [Lipitor]",3NXW29V3WO,HYPROMELLOSES,False,False
54868-3934,"ATORVASTATIN CALCIUM 10 mg ORAL TABLET, FILM COATED [Lipitor]",3WJQ0SDW1A,POLYETHYLENE GLYCOL,False,False
54868-3934,"ATORVASTATIN CALCIUM 10 mg ORAL TABLET, FILM COATED [Lipitor]",6OZP39ZG8H,POLYSORBATE 80,False,False
54868-3934,"ATORVASTATIN CALCIUM 10 mg ORAL TABLET, FILM COATED [Lipitor]",70097M6I30,MAGNESIUM STEARATE,False,False
54868-3934,"ATORVASTATIN CALCIUM 10 mg ORAL TABLET, FILM COATED [Lipitor]",7SEV7J4R1U,TALC,False,False
54868-3934,"ATORVASTATIN CALCIUM 10 mg ORAL TABLET, FILM COATED [Lipitor]",EWQ57Q8I5X,LACTOSE MONOHYDRATE,False,False
54868-3934,"ATORVASTATIN CALCIUM 10 mg ORAL TABLET, FILM COATED [Lipitor]",H0G9379FGK,CALCIUM CARBONATE,False,False
54868-3934,"ATORVASTATIN CALCIUM 10 mg ORAL TABLET, FILM COATED [Lipitor]",M28OL1HH48,CROSCARMELLOSE SODIUM,False,False
54868-3934,"ATORVASTATIN CALCIUM 10 mg ORAL TABLET, FILM COATED [Lipitor]",OP1R32D61U,"CELLULOSE, MICROCRYSTALLINE",False,False
54868-3934,"ATORVASTATIN CALCIUM 10 mg ORAL TABLET, FILM COATED [Lipitor]",RFW2ET671P,HYDROXYPROPYL CELLULOSE,False,False
54868-3934,"ATORVASTATIN CALCIUM 10 mg ORAL TABLET, FILM COATED [Lipitor]",WL0328HX19,CANDELILLA WAX,False,False
54868-3946,"ATORVASTATIN CALCIUM 20 mg ORAL TABLET, FILM COATED [Lipitor]",15FIX9V2JP,TITANIUM DIOXIDE,False,False
54868-3946,"ATORVASTATIN CALCIUM 20 mg ORAL TABLET, FILM COATED [Lipitor]",3NXW29V3WO,HYPROMELLOSES,False,False
54868-3946,"ATORVASTATIN CALCIUM 20 mg ORAL TABLET, FILM COATED [Lipitor]",3WJQ0SDW1A,POLYETHYLENE GLYCOL,False,False
54868-3946,"ATORVASTATIN CALCIUM 20 mg ORAL TABLET, FILM COATED [Lipitor]",6OZP39ZG8H,POLYSORBATE 80,False,False
54868-3946,"ATORVASTATIN CALCIUM 20 mg ORAL TABLET, FILM COATED [Lipitor]",70097M6I30,MAGNESIUM STEARATE,False,False
54868-3946,"ATORVASTATIN CALCIUM 20 mg ORAL TABLET, FILM COATED [Lipitor]",7SEV7J4R1U,TALC,False,False
54868-3946,"ATORVASTATIN CALCIUM 20 mg ORAL TABLET, FILM COATED [Lipitor]",EWQ57Q8I5X,LACTOSE MONOHYDRATE,False,False
54868-3946,"ATORVASTATIN CALCIUM 20 mg ORAL TABLET, FILM COATED [Lipitor]",H0G9379FGK,CALCIUM CARBONATE,False,False
54868-3946,"ATORVASTATIN CALCIUM 20 mg ORAL TABLET, FILM COATED [Lipitor]",M28OL1HH48,CROSCARMELLOSE SODIUM,False,False
54868-3946,"ATORVASTATIN CALCIUM 20 mg ORAL TABLET, FILM COATED [Lipitor]",OP1R32D61U,"CELLULOSE, MICROCRYSTALLINE",False,False
54868-3946,"ATORVASTATIN CALCIUM 20 mg ORAL TABLET, FILM COATED [Lipitor]",RFW2ET671P,HYDROXYPROPYL CELLULOSE,False,False
54868-3946,"ATORVASTATIN CALCIUM 20 mg ORAL TABLET, FILM COATED [Lipitor]",WL0328HX19,CANDELILLA WAX,False,False
54868-4229,"ATORVASTATIN CALCIUM 40 mg ORAL TABLET, FILM COATED [Lipitor]",15FIX9V2JP,TITANIUM DIOXIDE,False,False
54868-4229,"ATORVASTATIN CALCIUM 40 mg ORAL TABLET, FILM COATED [Lipitor]",3NXW29V3WO,HYPROMELLOSES,False,False
54868-4229,"ATORVASTATIN CALCIUM 40 mg ORAL TABLET, FILM COATED [Lipitor]",3WJQ0SDW1A,POLYETHYLENE GLYCOL,False,False
54868-4229,"ATORVASTATIN CALCIUM 40 mg ORAL TABLET, FILM COATED [Lipitor]",6OZP39ZG8H,POLYSORBATE 80,False,False
54868-4229,"ATORVASTATIN CALCIUM 40 mg ORAL TABLET, FILM COATED [Lipitor]",70097M6I30,MAGNESIUM STEARATE,False,False
54868-4229,"ATORVASTATIN CALCIUM 40 mg ORAL TABLET, FILM COATED [Lipitor]",7SEV7J4R1U,TALC,False,False
54868-4229,"ATORVASTATIN CALCIUM 40 mg ORAL TABLET, FILM COATED [Lipitor]",EWQ57Q8I5X,LACTOSE MONOHYDRATE,False,False
54868-4229,"ATORVASTATIN CALCIUM 40 mg ORAL TABLET, FILM COATED [Lipitor]",H0G9379FGK,CALCIUM CARBONATE,False,False
54868-4229,"ATORVASTATIN CALCIUM 40 mg ORAL TABLET, FILM COATED [Lipitor]",M28OL1HH48,CROSCARMELLOSE SODIUM,False,False
54868-4229,"ATORVASTATIN CALCIUM 40 mg ORAL TABLET, FILM COATED [Lipitor]",OP1R32D61U,"CELLULOSE, MICROCRYSTALLINE",False,False
54868-4229,"ATORVASTATIN CALCIUM 40 mg ORAL TABLET, FILM COATED [Lipitor]",RFW2ET671P,HYDROXYPROPYL CELLULOSE,False,False
54868-4229,"ATORVASTATIN CALCIUM 40 mg ORAL TABLET, FILM COATED [Lipitor]",WL0328HX19,CANDELILLA WAX,False,False
54868-4934,"ATORVASTATIN CALCIUM 80 mg ORAL TABLET, FILM COATED [Lipitor]",15FIX9V2JP,TITANIUM DIOXIDE,False,False
54868-4934,"ATORVASTATIN CALCIUM 80 mg ORAL TABLET, FILM COATED [Lipitor]",3NXW29V3WO,HYPROMELLOSES,False,False
54868-4934,"ATORVASTATIN CALCIUM 80 mg ORAL TABLET, FILM COATED [Lipitor]",3WJQ0SDW1A,POLYETHYLENE GLYCOL,False,False
54868-4934,"ATORVASTATIN CALCIUM 80 mg ORAL TABLET, FILM COATED [Lipitor]",6OZP39ZG8H,POLYSORBATE 80,False,False
54868-4934,"ATORVASTATIN CALCIUM 80 mg ORAL TABLET, FILM COATED [Lipitor]",70097M6I30,MAGNESIUM STEARATE,False,False
54868-4934,"ATORVASTATIN CALCIUM 80 mg ORAL TABLET, FILM COATED [Lipitor]",7SEV7J4R1U,TALC,False,False
54868-4934,"ATORVASTATIN CALCIUM 80 mg ORAL TABLET, FILM COATED [Lipitor]",EWQ57Q8I5X,LACTOSE MONOHYDRATE,False,False
54868-4934,"ATORVASTATIN CALCIUM 80 mg ORAL TABLET, FILM COATED [Lipitor]",H0G9379FGK,CALCIUM CARBONATE,False,False
54868-4934,"ATORVASTATIN CALCIUM 80 mg ORAL TABLET, FILM COATED [Lipitor]",M28OL1HH48,CROSCARMELLOSE SODIUM,False,False
54868-4934,"ATORVASTATIN CALCIUM 80 mg ORAL TABLET, FILM COATED [Lipitor]",OP1R32D61U,"CELLULOSE, MICROCRYSTALLINE",False,False
54868-4934,"ATORVASTATIN CALCIUM 80 mg ORAL TABLET, FILM COATED [Lipitor]",RFW2ET671P,HYDROXYPROPYL CELLULOSE,False,False
54868-4934,"ATORVASTATIN CALCIUM 80 mg ORAL TABLET, FILM COATED [Lipitor]",WL0328HX19,CANDELILLA WAX,False,False
