ndc,product_name,inactive_ingredient_unii,inactive_ingredient_name,active,prescribable
67046-604,"clopidogrel bisulfate 75 mg ORAL TABLET, FILM COATED [Plavix]",15FIX9V2JP,titanium dioxide,False,False
67046-604,"clopidogrel bisulfate 75 mg ORAL TABLET, FILM COATED [Plavix]",1K09F3G675,ferric oxide red,False,False
67046-604,"clopidogrel bisulfate 75 mg ORAL TABLET, FILM COATED [Plavix]",30IQX730WE,polyethylene glycol 6000,False,False
67046-604,"clopidogrel bisulfate 75 mg ORAL TABLET, FILM COATED [Plavix]",3OWL53L36A,mannitol,False,False
67046-604,"clopidogrel bisulfate 75 mg ORAL TABLET, FILM COATED [Plavix]",D5340Y2I9G,castor oil,False,False
67046-604,"clopidogrel bisulfate 75 mg ORAL TABLET, FILM COATED [Plavix]",EWQ57Q8I5X,lactose monohydrate,False,False
67046-604,"clopidogrel bisulfate 75 mg ORAL TABLET, FILM COATED [Plavix]",OP1R32D61U,"cellulose, microcrystalline",False,False
67046-604,"clopidogrel bisulfate 75 mg ORAL TABLET, FILM COATED [Plavix]",R12CBM0EIZ,carnauba wax,False,False
67046-604,"clopidogrel bisulfate 75 mg ORAL TABLET, FILM COATED [Plavix]",RFW2ET671P,hydroxypropyl cellulose,False,False
67046-604,"clopidogrel bisulfate 75 mg ORAL TABLET, FILM COATED [Plavix]",XHX3C3X673,triacetin,False,False
