INGREDIENT_NAME,ROUTE,DOSAGE_FORM,CAS_NUMBER,UNII,POTENCY_AMOUNT,POTENCY_UNIT,MAXIMUM_DAILY_EXPOSURE,MAXIMUM_DAILY_EXPOSURE_UNIT,RECORD_UPDATED
".ALPHA.-TOCOPHEROL, DL-",TRANSDERMAL,SYSTEM,10191410,7QWA1RIO01,0.14,mg,,,
1-(PHENYLAZO)-2-NAPHTHYLAMINE,ORAL,CAPSULE,85847,3VSI4D701X,0.13,mg,,,
1-(PHENYLAZO)-2-NAPHTHYLAMINE,ORAL,TABLET,85847,3VSI4D701X,0.2,mg,,,
"1,2,6-HEXANETRIOL",TOPICAL,CREAM,106694,W45XXM0XWE,,,43,mg,
"1,2-DISTEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE",INTRAVENOUS,"INJECTABLE, LIPOSOMAL",816944,043IPI2M0K,2.8,%w/v,,,
"1,2-DISTEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE",INTRAVENOUS,INJECTION,816944,043IPI2M0K,,,68,mg,
"1,2-DISTEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE",RESPIRATORY (INHALATION),CAPSULE,816944,043IPI2M0K,,,51,mg,
"1,4-SORBITAN",ORAL,CAPSULE,27299123,AV0YTZ4E6J,,,242,mg,
2-(4-STYRYL-3-SULFOPHENOL)-6-METHOXYBENZOTRIAZOLE,TOPICAL,SOAP,1333659,0MMD46SPU6,0.75,%w/w,,,
2-AMINOETHANOL,ORAL,"TABLET, DELAYED RELEASE",141435,5KV86114PT,,,1,mg,
2-ETHYLHEXYL ACRYLATE-GLYCIDYL METHACRYLATE-2-HYDROXYETHYL ACRYLATE-VINYL ACETATE COPOLYMER (FOR DURO-TAK 387-2287),TRANSDERMAL,FILM,,NA,,NA,,,
2-ETHYLHEXYL ACRYLATE-GLYCIDYL METHACRYLATE-2-HYDROXYETHYL ACRYLATE-VINYL ACETATE COPOLYMER (FOR DURO-TAK 387-2287),TRANSDERMAL,"FILM, EXTENDED RELEASE",,NA,,NA,,,
2-ETHYLHEXYL ACRYLATE-GLYCIDYL METHACRYLATE-2-HYDROXYETHYL ACRYLATE-VINYL ACETATE COPOLYMER (FOR DURO-TAK 387-2287),TRANSDERMAL,SYSTEM,,NA,,NA,,,
2-ETHYLHEXYL ACRYLATE-VINYL ACETATE-ALUMINUM ACRYLATE COPOLYMER (FOR DURO-TAK 87-2194),TRANSDERMAL,"FILM, EXTENDED RELEASE",,NA,,NA,,,
ACACIA,BUCCAL,"GUM, CHEWING",9000015,5C5403N26O,,,280,mg,
ACACIA,BUCCAL,TABLET,9000015,5C5403N26O,9.1,mg,,,
ACACIA,INTRAMUSCULAR,SUSPENSION,9000015,5C5403N26O,1,mg,,,
ACACIA,ORAL,CAPSULE,9000015,5C5403N26O,,,64,mg,
ACACIA,ORAL,"CAPSULE, EXTENDED RELEASE",9000015,5C5403N26O,,,51,mg,
ACACIA,ORAL,LOZENGE,9000015,5C5403N26O,,,108,mg,
ACACIA,ORAL,POWDER,9000015,5C5403N26O,800,mg,,,
ACACIA,ORAL,"POWDER, FOR SOLUTION",9000015,5C5403N26O,,NA,,,
ACACIA,ORAL,"POWDER, FOR SUSPENSION",9000015,5C5403N26O,,,7386,mg,
ACACIA,ORAL,SUSPENSION,9000015,5C5403N26O,,,2,mg,
ACACIA,ORAL,SYRUP,9000015,5C5403N26O,,NA,,,
ACACIA,ORAL,TABLET,9000015,5C5403N26O,70,mg,,,
ACACIA,ORAL,"TABLET, CHEWABLE",9000015,5C5403N26O,,,121,mg,
ACACIA,ORAL,"TABLET, COATED",9000015,5C5403N26O,156,mg,,,
ACACIA,ORAL,"TABLET, DELAYED RELEASE",9000015,5C5403N26O,30,mg,,,
ACACIA,ORAL,"TABLET, EXTENDED RELEASE",9000015,5C5403N26O,34.4,mg,,,
ACACIA,ORAL,"TABLET, FILM COATED",9000015,5C5403N26O,0.14,mg,,,
ACACIA,ORAL,"TABLET, ORALLY DISINTEGRATING",9000015,5C5403N26O,,,7,mg,
ACACIA,SUBLINGUAL,TABLET,9000015,5C5403N26O,9.1,mg,,,
ACACIA SYRUP,ORAL,"CAPSULE, EXTENDED RELEASE",8047378,NA,69.64,mg,,,
ACACIA SYRUP,ORAL,"TABLET, DELAYED RELEASE",8047378,NA,,NA,,,
ACESULFAME,ORAL,SOLUTION,33665906,MA3UYZ6K1H,,,120,mg,
ACESULFAME POTASSIUM,BUCCAL,"GUM, CHEWING",55589623,23OV73Q5G9,,,147,mg,
ACESULFAME POTASSIUM,DENTAL,SOLUTION,55589623,23OV73Q5G9,0.12,%w/w,,,
ACESULFAME POTASSIUM,ORAL,"FILM, SOLUBLE",55589623,23OV73Q5G9,1.6,mg,,,
ACESULFAME POTASSIUM,ORAL,LOZENGE,55589623,23OV73Q5G9,,,120,mg,
ACESULFAME POTASSIUM,ORAL,"POWDER, FOR SOLUTION",55589623,23OV73Q5G9,117,mg,,,
ACESULFAME POTASSIUM,ORAL,"POWDER, FOR SUSPENSION",55589623,23OV73Q5G9,45,mg/5ml,,,
ACESULFAME POTASSIUM,ORAL,SOLUTION,55589623,23OV73Q5G9,,,400,mg,
ACESULFAME POTASSIUM,ORAL,SUSPENSION,55589623,23OV73Q5G9,,,160,mg,
ACESULFAME POTASSIUM,ORAL,TABLET,55589623,23OV73Q5G9,,,111,mg,
ACESULFAME POTASSIUM,ORAL,"TABLET, CHEWABLE",55589623,23OV73Q5G9,,,8,mg,
ACESULFAME POTASSIUM,ORAL,"TABLET, EFFERVESCENT",55589623,23OV73Q5G9,,,4,mg,
ACESULFAME POTASSIUM,ORAL,"TABLET, FILM COATED",55589623,23OV73Q5G9,1.75,mg,,,
ACESULFAME POTASSIUM,ORAL,"TABLET, FOR SUSPENSION",55589623,23OV73Q5G9,,,72,mg,
ACESULFAME POTASSIUM,ORAL,"TABLET, ORALLY DISINTEGRATING",55589623,23OV73Q5G9,,,24,mg,
ACESULFAME POTASSIUM,ORAL,TROCHE,55589623,23OV73Q5G9,,,26,mg,
ACESULFAME POTASSIUM,SUBLINGUAL,FILM,55589623,23OV73Q5G9,,,5,mg,
ACESULFAME POTASSIUM,SUBLINGUAL,TABLET,55589623,23OV73Q5G9,,,13,mg,
ACETIC ACID,AURICULAR (OTIC),SUSPENSION,64197,Q40Q9N063P,0.26,%w/v,,,
ACETIC ACID,AURICULAR (OTIC),SUSPENSION/ DROPS,64197,Q40Q9N063P,0.04,%w/v,,,
ACETIC ACID,ENDOTRACHEAL,SUSPENSION,64197,Q40Q9N063P,,ADJ PH,,,
ACETIC ACID,INFILTRATION,INJECTION,64197,Q40Q9N063P,,NA,,,
ACETIC ACID,INTRA-ARTICULAR,INJECTION,64197,Q40Q9N063P,,ADJ PH,,,
ACETIC ACID,INTRALESIONAL,INJECTION,64197,Q40Q9N063P,,ADJ PH,,,
ACETIC ACID,INTRAMUSCULAR,INJECTION,64197,Q40Q9N063P,,,22,mg,Y
ACETIC ACID,INTRAMUSCULAR,"INJECTION, POWDER, FOR SOLUTION",64197,Q40Q9N063P,,ADJ PH,,,
ACETIC ACID,INTRAMUSCULAR,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",64197,Q40Q9N063P,,ADJ PH,,,
ACETIC ACID,INTRASYNOVIAL,INJECTION,64197,Q40Q9N063P,,ADJ PH,,,
ACETIC ACID,INTRAVENOUS,INJECTION,64197,Q40Q9N063P,,,827,mg,
ACETIC ACID,INTRAVENOUS,"INJECTION, POWDER, FOR SOLUTION",64197,Q40Q9N063P,,ADJ PH,,,
ACETIC ACID,INTRAVENOUS,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",64197,Q40Q9N063P,,,3,mg,
ACETIC ACID,INTRAVENOUS,"INJECTION, SOLUTION",64197,Q40Q9N063P,,,15,mg,
ACETIC ACID,INTRAVENOUS,LIQUID,64197,Q40Q9N063P,0.2,%w/v,,,
ACETIC ACID,INTRAVENOUS,SOLUTION,64197,Q40Q9N063P,,,14,mg,
ACETIC ACID,IRRIGATION,SOLUTION,64197,Q40Q9N063P,,ADJ PH,,,
ACETIC ACID,NASAL,"SPRAY, METERED",64197,Q40Q9N063P,1.2,mg/1ml,,,
ACETIC ACID,OPHTHALMIC,SOLUTION,64197,Q40Q9N063P,0.04,%w/v,,,
ACETIC ACID,OPHTHALMIC,SOLUTION/ DROPS,64197,Q40Q9N063P,0.09,%w/v,,,
ACETIC ACID,ORAL,CAPSULE,64197,Q40Q9N063P,,NA,,,
ACETIC ACID,ORAL,"CAPSULE, COATED",64197,Q40Q9N063P,,,1,mg,
ACETIC ACID,ORAL,ELIXIR,64197,Q40Q9N063P,1.07,mg/5ml,,,
ACETIC ACID,ORAL,LIQUID,64197,Q40Q9N063P,0.13,mg/5ml,,,
ACETIC ACID,ORAL,SOLUTION,64197,Q40Q9N063P,,,10,mg,
ACETIC ACID,ORAL,SUSPENSION,64197,Q40Q9N063P,,ADJ PH,,,
ACETIC ACID,ORAL,SYRUP,64197,Q40Q9N063P,,,10,mg,
ACETIC ACID,ORAL,TABLET,64197,Q40Q9N063P,,NA,,,
ACETIC ACID,PARENTERAL,INJECTION,64197,Q40Q9N063P,,ADJ PH,,,
ACETIC ACID,SOFT TISSUE,INJECTION,64197,Q40Q9N063P,,ADJ PH,,,
ACETIC ACID,SUBCUTANEOUS,INJECTION,64197,Q40Q9N063P,,,22,mg,Y
ACETIC ACID,SUBCUTANEOUS,"INJECTION, POWDER, FOR SOLUTION",64197,Q40Q9N063P,,ADJ PH,,,
ACETIC ACID,SUBCUTANEOUS,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",64197,Q40Q9N063P,,,32,mg,Y
ACETIC ACID,SUBCUTANEOUS,"INJECTION, SOLUTION",64197,Q40Q9N063P,,,4,mg,
ACETIC ACID,SUBCUTANEOUS,LIQUID,64197,Q40Q9N063P,0.2,%w/v,,,
ACETIC ACID,SUBCUTANEOUS,SOLUTION,64197,Q40Q9N063P,0.06,%w/v,,,
ACETIC ACID,SUBMUCOSAL,"INJECTION, SOLUTION",64197,Q40Q9N063P,,ADJ PH,,,
ACETIC ACID,TOPICAL,CREAM,64197,Q40Q9N063P,,NA,,,
ACETIC ACID,TOPICAL,SOLUTION,64197,Q40Q9N063P,,ADJ PH,,,
ACETIC ACID,TOPICAL,SPONGE,64197,Q40Q9N063P,,ADJ PH,,,
ACETIC ACID,VAGINAL,"AEROSOL, FOAM",64197,Q40Q9N063P,0.03,%w/w,,,
ACETIC ACID,VAGINAL,CREAM,64197,Q40Q9N063P,0.35,%w/w,,,
ACETIC ACID,VAGINAL,JELLY,64197,Q40Q9N063P,1.1,%w/w,,,
ACETIC ANHYDRIDE,INTRAVENOUS,INJECTION,108247,2E48G1QI9Q,,NA,,,
ACETIC ANHYDRIDE,ORAL,"TABLET, EXTENDED RELEASE",108247,2E48G1QI9Q,0.11,mg,,,
ACETONITRILE,INTRAVENOUS,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",75058,Z072SB282N,,,8424,mg,Y
ACETYLTRIBUTYL CITRATE,ORAL,CAPSULE,77907,0ZBX0N59RZ,,,7,mg,
ACETYLTRIBUTYL CITRATE,ORAL,"CAPSULE, COATED",77907,0ZBX0N59RZ,,,11,mg,
ACETYLTRIBUTYL CITRATE,ORAL,"CAPSULE, DELAYED RELEASE",77907,0ZBX0N59RZ,,,122,mg,Y
ACETYLTRIBUTYL CITRATE,ORAL,"CAPSULE, EXTENDED RELEASE",77907,0ZBX0N59RZ,,,23,mg,
ACETYLTRIBUTYL CITRATE,ORAL,TABLET,77907,0ZBX0N59RZ,,,150,mg,
ACETYLTRIBUTYL CITRATE,ORAL,"TABLET, DELAYED RELEASE",77907,0ZBX0N59RZ,,,69,mg,
ACETYLTRIBUTYL CITRATE,ORAL,"TABLET, EXTENDED RELEASE",77907,0ZBX0N59RZ,,,309,mg,
ACETYLTRIBUTYL CITRATE,TOPICAL,SOLUTION,77907,0ZBX0N59RZ,5.4,%w/w,,,
ACRYLATES COPOLYMER,ORAL,TABLET,,NA,,,10,mg,
ACRYLATES COPOLYMER,ORAL,"TABLET, CHEWABLE",,NA,5.05,mg,,,
ACRYLATES COPOLYMER,ORAL,"TABLET, FILM COATED, EXTENDED RELEASE",,NA,25.18,mg,,,
ACRYLATES COPOLYMER,TRANSDERMAL,"FILM, EXTENDED RELEASE",,NA,382.22,mg,,,
ACRYLATES COPOLYMER,TRANSDERMAL,SYSTEM,,NA,677.68,mg,,,
ACRYL-EZE 93018509 WHITE,ORAL,TABLET,,NA,,,153,mg,
ACRYL-EZE 93018509 WHITE,ORAL,"TABLET, EXTENDED RELEASE",,NA,,,48,mg,
ACRYL-EZE 93084720 PINK,ORAL,"TABLET, DELAYED RELEASE",,NA,,,234,mg,
ACRYLIC ACID-2-ETHYLHEXYL ACRYLATE-2-HYDROXYETHYL ACRYLATE-VINYL ACETATE COPOLYMER (FOR DURO-TAK 87-2070),TRANSDERMAL,"FILM, EXTENDED RELEASE",,T9DNB7TEC3,,NA,,,
ACRYLIC ACID-2-ETHYLHEXYL ACRYLATE-2-HYDROXYETHYL ACRYLATE-VINYL ACETATE COPOLYMER (FOR DURO-TAK 87-2070),TRANSDERMAL,SYSTEM,,T9DNB7TEC3,,NA,,,
ACRYLIC ACID-ISOOCTYL ACRYLATE COPOLYMER,TRANSDERMAL,"FILM, EXTENDED RELEASE",9017689,NA,169,mg,,,
ACRYLIC ADHESIVE 788,TRANSDERMAL,SYSTEM,,NA,,,45,mg,
ADCOTE 72A103,TRANSDERMAL,SYSTEM,,NA,16,mg,,,
ADHESIVE TAPE,TOPICAL,DISC,,NA,,NA,,,
ADHESIVE TAPE,TRANSDERMAL,"FILM, EXTENDED RELEASE",,NA,,NA,,,
ADIPIC ACID,INTRAMUSCULAR,INJECTION,124049,76A0JE0FKJ,1,%w/v,,,
ADIPIC ACID,VAGINAL,INSERT,124049,76A0JE0FKJ,,,171,mg,
ADVANTIA PRIME 190100BA01 WHITE,ORAL,"TABLET, COATED",,NA,,,3,mg,
ADVANTIA PRIME 190100BA01 WHITE,ORAL,"TABLET, FILM COATED",,NA,,,6,mg,
AGAR,ORAL,TABLET,9002180,89T13OHQ2B,0.2,mg,,,
ALBUMIN HUMAN,INTRAVENOUS,"INJECTION, POWDER, FOR SUSPENSION",9048468,ZIF514RVZR,900,mg,,,
ALBUMINS,ORAL,"TABLET, FILM COATED",,NA,4.5,mg,,,
ALCLOXA,TOPICAL,CREAM,1317255,18B8O9DQA2,0.25,%w/w,,,
ALCOHOL,BUCCAL,CONCENTRATE,64175,3K9958V90M,679,mg/1ml,,,
ALCOHOL,BUCCAL,MOUTHWASH,64175,3K9958V90M,200,mg/1ml,,,
ALCOHOL,DENTAL,GEL,64175,3K9958V90M,1.8,%w/w,,,
ALCOHOL,DENTAL,PASTE,64175,3K9958V90M,1.8,%w/w,,,
ALCOHOL,DENTAL,SOLUTION,64175,3K9958V90M,12.8,%w/w,,,
ALCOHOL,INTRAMUSCULAR,INJECTION,64175,3K9958V90M,,,1491,mg,
ALCOHOL,INTRAMUSCULAR,"INJECTION, SOLUTION",64175,3K9958V90M,,,1000,mg,
ALCOHOL,INTRAMUSCULAR,LIQUID,64175,3K9958V90M,,,400,mg,
ALCOHOL,INTRAVASCULAR,INJECTION,64175,3K9958V90M,100,%v/v,,,
ALCOHOL,INTRAVENOUS,INJECTION,64175,3K9958V90M,92,%w/v,,,
ALCOHOL,INTRAVENOUS,"INJECTION, EMULSION",64175,3K9958V90M,,,520,mg,
ALCOHOL,INTRAVENOUS,"INJECTION, SOLUTION",64175,3K9958V90M,,,4650,mg,
ALCOHOL,INTRAVENOUS,LIQUID,64175,3K9958V90M,,,400,mg,
ALCOHOL,INTRAVENOUS,SOLUTION,64175,3K9958V90M,5,%v/v,,,
ALCOHOL,INTRAVENOUS,"SOLUTION, CONCENTRATE",64175,3K9958V90M,,,4000,mg,
ALCOHOL,INTRAVESICAL,SOLUTION,64175,3K9958V90M,,,7892,mg,
ALCOHOL,NASAL,AEROSOL,64175,3K9958V90M,20,mg,,,
ALCOHOL,NASAL,"AEROSOL, METERED",64175,3K9958V90M,70,mg,,,
ALCOHOL,NASAL,DROPS,64175,3K9958V90M,10,mg/1ml,,,
ALCOHOL,NASAL,SOLUTION,64175,3K9958V90M,10,mg/1ml,,,
ALCOHOL,NASAL,SPRAY,64175,3K9958V90M,198.8,mg/1ml,,,
ALCOHOL,OPHTHALMIC,SOLUTION,64175,3K9958V90M,0.5,%w/v,,,
ALCOHOL,ORAL,CAPSULE,64175,3K9958V90M,,,882,mg,Y
ALCOHOL,ORAL,CONCENTRATE,64175,3K9958V90M,198,mg,,,
ALCOHOL,ORAL,DROPS,64175,3K9958V90M,210,mg/1ml,,,
ALCOHOL,ORAL,ELIXIR,64175,3K9958V90M,,,3744,mg,
ALCOHOL,ORAL,LIQUID,64175,3K9958V90M,,,3563,mg,
ALCOHOL,ORAL,SOLUTION,64175,3K9958V90M,,,6624,mg,
ALCOHOL,ORAL,"SOLUTION, CONCENTRATE",64175,3K9958V90M,150.68,mg/1ml,,,
ALCOHOL,ORAL,SUSPENSION,64175,3K9958V90M,,,681,mg,
ALCOHOL,ORAL,SYRUP,64175,3K9958V90M,,,21000,mg,
ALCOHOL,RECTAL,GEL,64175,3K9958V90M,,,898,mg,
ALCOHOL,RECTAL,SUSPENSION,64175,3K9958V90M,0.35,%v/v,,,
ALCOHOL,RESPIRATORY (INHALATION),"AEROSOL, METERED",64175,3K9958V90M,,,52,mg,
ALCOHOL,RESPIRATORY (INHALATION),"AEROSOL, SPRAY",64175,3K9958V90M,35.75,%w/w,,,
ALCOHOL,RESPIRATORY (INHALATION),LIQUID,64175,3K9958V90M,5,%w/w,,,
ALCOHOL,RESPIRATORY (INHALATION),SOLUTION,64175,3K9958V90M,0.08,%w/v,,,
ALCOHOL,SUBCUTANEOUS,INJECTION,64175,3K9958V90M,,,149,mg,
ALCOHOL,SUBCUTANEOUS,"INJECTION, SOLUTION",64175,3K9958V90M,6.1,%v/v,,,
ALCOHOL,SUBLINGUAL,SPRAY,64175,3K9958V90M,,,397,mg,
ALCOHOL,SUBLINGUAL,"SPRAY, METERED",64175,3K9958V90M,,,29,mg,
ALCOHOL,TOPICAL,AEROSOL,64175,3K9958V90M,,,561,mg,
ALCOHOL,TOPICAL,"AEROSOL, FOAM",64175,3K9958V90M,,,4504,mg,
ALCOHOL,TOPICAL,"AEROSOL, SPRAY",64175,3K9958V90M,,,561,mg,
ALCOHOL,TOPICAL,GEL,64175,3K9958V90M,,,9971,mg,
ALCOHOL,TOPICAL,"GEL, METERED",64175,3K9958V90M,,,525,mg,
ALCOHOL,TOPICAL,LOTION,64175,3K9958V90M,25,%w/w,,,
ALCOHOL,TOPICAL,"POWDER, FOR SOLUTION",64175,3K9958V90M,40,%w/w,,,
ALCOHOL,TOPICAL,SHAMPOO,64175,3K9958V90M,,,714,mg,
ALCOHOL,TOPICAL,SOLUTION,64175,3K9958V90M,,,2440,mg,
ALCOHOL,TOPICAL,SPRAY,64175,3K9958V90M,,,3633,mg,
ALCOHOL,TOPICAL,SWAB,64175,3K9958V90M,,,2250,mg,
ALCOHOL,TRANSDERMAL,GEL,64175,3K9958V90M,,,7258,mg,
ALCOHOL,TRANSDERMAL,"GEL, METERED",64175,3K9958V90M,,,525,mg,Y
ALCOHOL,TRANSDERMAL,SOLUTION,64175,3K9958V90M,49.37,%w/v,,,
ALCOHOL,TRANSDERMAL,SPRAY,64175,3K9958V90M,90,%w/v,,,
ALCOHOL,VAGINAL,JELLY,64175,3K9958V90M,,NA,,,
ALFADEX,INTRACAVITARY,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",10016203,Z1LH97KTRM,1.29,mg,,,
ALGELDRATE,ORAL,TABLET,1330445,03J11K103C,85,mg,,,
ALGELDRATE,ORAL,"TABLET, FILM COATED",1330445,03J11K103C,183.75,mg,,,
ALGELDRATE,TOPICAL,CREAM,1330445,03J11K103C,5,%w/w,,,
ALGINIC ACID,OPHTHALMIC,"INSERT, EXTENDED RELEASE",9005327,8C3Z4148WZ,1,mg,,,
ALGINIC ACID,ORAL,CAPSULE,9005327,8C3Z4148WZ,80,mg,,,
ALGINIC ACID,ORAL,"CAPSULE, EXTENDED RELEASE",9005327,8C3Z4148WZ,,,10,mg,
ALGINIC ACID,ORAL,TABLET,9005327,8C3Z4148WZ,,,128,mg,
ALGINIC ACID,ORAL,"TABLET, CHEWABLE",9005327,8C3Z4148WZ,400,mg,,,
ALGINIC ACID,ORAL,"TABLET, COATED",9005327,8C3Z4148WZ,60,mg,,,
ALGINIC ACID,ORAL,"TABLET, EXTENDED RELEASE",9005327,8C3Z4148WZ,22.25,mg,,,
ALGINIC ACID,ORAL,"TABLET, FILM COATED",9005327,8C3Z4148WZ,52.8,mg,,,
ALLANTOIN,TOPICAL,GEL,97596,344S277G0Z,,,8,mg,
ALMOND OIL,TOPICAL,CREAM,8007690,66YXD4DKO9,2,%w/w,,,
ALUMINUM ACETATE,TOPICAL,CREAM,139128,80EHD8I43D,0.23,%w/w,,,
ALUMINUM ACETATE,TOPICAL,SHAMPOO,139128,80EHD8I43D,0.1,%w/w,,,
ALUMINUM HYDROXIDE,ORAL,CAPSULE,21645512,5QB0T2IUN0,,NA,,,
ALUMINUM HYDROXIDE,ORAL,TABLET,21645512,5QB0T2IUN0,50,mg,,,
ALUMINUM HYDROXIDE,TOPICAL,CREAM,21645512,5QB0T2IUN0,5,%w/w,,,
ALUMINUM HYDROXIDE,TOPICAL,OINTMENT,21645512,5QB0T2IUN0,,NA,,,
ALUMINUM MONOSTEARATE,TOPICAL,CREAM,7047849,P9BC99461E,0.01,%w/w,,,
ALUMINUM OXIDE,ORAL,"CAPSULE, EXTENDED RELEASE",1344281,LMI26O6933,,NA,,,
ALUMINUM OXIDE,ORAL,TABLET,1344281,LMI26O6933,,NA,,,
ALUMINUM OXIDE,TOPICAL,SPONGE,1344281,LMI26O6933,,NA,,,
ALUMINUM POLYESTER,TRANSDERMAL,FILM,,NA,,,10,mg,
ALUMINUM POLYESTER,TRANSDERMAL,"FILM, EXTENDED RELEASE",,NA,,,81,mg,
ALUMINUM SILICATE,ORAL,TABLET,12141467,T1FAD4SS2M,19.25,mg,,,
ALUMINUM SILICATE,ORAL,"TABLET, COATED",12141467,T1FAD4SS2M,50,mg,,,
ALUMINUM SILICATE,ORAL,"TABLET, EXTENDED RELEASE",12141467,T1FAD4SS2M,,,94,mg,
ALUMINUM SILICATE,ORAL,"TABLET, FILM COATED, EXTENDED RELEASE",12141467,T1FAD4SS2M,47,mg,,,
ALUMINUM SILICATE,TOPICAL,SYSTEM,12141467,T1FAD4SS2M,,,19,mg,
ALUMINUM SILICATE PENTAHYDRATE,ORAL,"TABLET, COATED",,IQ2A4DQ696,,NA,,,
ALUMINUM STARCH OCTENYLSUCCINATE,TOPICAL,CREAM,9087610,I9PJ0O6294,10,%w/w,,,
ALUMINUM STEARATE,ORAL,"CAPSULE, EXTENDED RELEASE",637127,U6XF9NP8HM,,,1,mg,
ALUMINUM STEARATE,ORAL,TABLET,637127,U6XF9NP8HM,,,6,mg,
ALUMINUM STEARATE,ORAL,"TABLET, EXTENDED RELEASE",637127,U6XF9NP8HM,105,mg,,,
ALUMINUM STEARATE,TOPICAL,CREAM,637127,U6XF9NP8HM,0.01,%w/w,,,
ALUMINUM STEARATE,TOPICAL,OINTMENT,637127,U6XF9NP8HM,0.01,%w/w,,,
ALUMINUM SULFATE,TOPICAL,CREAM,17927650,34S289N54E,,,14,mg,
ALUMINUM SULFATE ANHYDROUS,AURICULAR (OTIC),SOLUTION,10043013,I7T908772F,0.79,%w/w,,,
ALUMINUM SULFATE ANHYDROUS,TOPICAL,CREAM,10043013,I7T908772F,0.13,%w/w,,,
ALUMINUM SULFATE ANHYDROUS,TOPICAL,LOTION,10043013,I7T908772F,,NA,,,
ALZAMER-50,ORAL,"TABLET, EXTENDED RELEASE",,NA,32,mg,,,
AMARANTH,BUCCAL,TROCHE,915673,37RBV3X49K,0.05,mg,,,
AMARANTH,ORAL,CAPSULE,915673,37RBV3X49K,1.08,mg,,,
AMARANTH,ORAL,"CAPSULE, EXTENDED RELEASE",915673,37RBV3X49K,0.18,mg,,,
AMARANTH,ORAL,ELIXIR,915673,37RBV3X49K,1.88,mg,,,
AMARANTH,ORAL,LIQUID,915673,37RBV3X49K,,NA,,,
