 Name , Year ,SMILES,MW,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,TPSA,XLOGP3
 NANDROLONE ,0,C[C@](CC1)([C@@H](CC2)[C@H](CC3)[C@H]1[C@@H](CC1)C3=CC1=O)[C@H]2O,274.4,0.83,0,2,1,37.3,2.62
 NICLOSAMIDE ,0,[O-][N+](c(cc1)cc(Cl)c1NC(c(cc(cc1)Cl)c1O)=O)=O,327.12,0,4,4,2,95.15,5.32
 NORFLUOXETINE ,0,NCCC(c1ccccc1)Oc1ccc(C(F)(F)F)cc1,295.3,0.25,6,5,1,35.25,3.72
 NORPROPOXYPHENE ,0,CCC(O[C@@](Cc1ccccc1)([C@H](C)CNC)c1ccccc1)=O,325.44,0.38,9,3,1,38.33,3.71
 OLMESARTAN ,0,CCCc1nc(C(C)(C)O)c(C([O-])=O)n1Cc(cc1)ccc1-c(cccc1)c1-c1n[nH]nn1,558.59,0.31,11,10,2,162.16,3.82
 OXPRENOLOL ,0,CC(C)NCC(COc(cccc1)c1OCC=C)O,265.35,0.47,9,4,2,50.72,2.1
 OXYPHENCYCLIMINE ,0,CN1C(COC(C(C2CCCCC2)(c2ccccc2)O)=O)=NCCC1,344.45,0.6,6,4,1,62.13,2.92
 OXYPHENONIUM ,0,CC[N+](C)(CC)CCOC(C(C1CCCCC1)(c1ccccc1)O)=O,348.5,0.67,9,3,1,46.53,4.14
 PARGYLINE ,0,CN(Cc1ccccc1)CC#C,159.23,0.27,3,1,0,3.24,2.09
 PENTOLINIUM ,0,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,240.43,1,6,0,0,0,2.38
 PERINDOPRILAT ,0,CCC[C@@H](C([O-])=O)N[C@@H](C)C(N([C@@H](C1)C([O-])=O)[C@@H]2[C@H]1CCCC2)=O,338.4,0.82,8,6,1,112.6,0.21
 PHENINDIONE ,0,O=C(C1c2ccccc2)c(cccc2)c2C1=O,222.24,0.07,1,2,0,34.14,2.9
 PHENMETRAZINE ,0,C[C@@H]1NCCO[C@@H]1c1ccccc1,177.24,0.45,1,2,1,21.26,1.38
 PHENYL AMINOSALICYLATE ,0,Nc(cc1)cc(O)c1C(Oc1ccccc1)=O,229.23,0,3,3,2,72.55,3.15
 PHENYLACETATE ,0,[O-]C(Cc1ccccc1)=O,135.14,0.12,2,2,0,40.13,1.41
 PROPOXYCAINE ,0,CCCOc(cc(cc1)N)c1C(OCCN(CC)CC)=O,294.39,0.56,10,4,1,64.79,3.12
 PROTOKYLOL ,0,C[C@@H](Cc(cc1)cc2c1OCO2)NC[C@@H](c(cc1)cc(O)c1O)O,331.36,0.33,6,6,4,91.18,2.13
 PYRAZINOIC ACID ,0,[O-]C(c1nccnc1)=O,123.09,0,1,4,0,65.91,0.05
 PYRVINIUM ,0,Cc1cc(/C=C/c(ccc2c3)[n+](C)c2ccc3N(C)C)c(C)n1-c1ccccc1,382.52,0.19,4,0,0,12.05,5.95
 QUINAPRILAT ,0,C[C@@H](C(N(Cc1c(C2)cccc1)[C@@H]2C([O-])=O)=O)N[C@@H](CCc1ccccc1)C([O-])=O,408.45,0.35,9,6,1,112.6,0.55
 RAMIPRILAT ,0,C[C@@H](C(N([C@@H](CCC1)[C@@H]1C1)[C@@H]1C([O-])=O)=O)N[C@@H](CCc1ccccc1)C([O-])=O,386.44,0.57,9,6,1,112.6,0.69
 SARALASIN ,0,CC(C)[C@@H](C(N[C@@H](Cc1c[nH]cn1)C(N(CCC1)[C@@H]1C(N[C@@H](C)C([O-])=O)=O)=O)=O)NC([C@H](Cc(cc1)ccc1O)NC([C@H](C(C)C)NC([C@H](CCCNC(N)=[NH2+])NC(CNC)=O)=O)=O)=O,912.05,0.57,33,12,12,359.62,-2.25
 SPIRAPRIL ,0,CCOC([C@H](CCc1ccccc1)N[C@@H](C)C(N(CC1(C2)SCCS1)[C@@H]2C([O-])=O)=O)=O,465.61,0.59,11,6,1,149.37,0.87
 SPIRAPRILAT ,0,C[C@@H](C(N(CC1(C2)SCCS1)[C@@H]2C([O-])=O)=O)N[C@@H](CCc1ccccc1)C([O-])=O,436.54,0.55,9,6,1,163.2,0.27
 TEDIZOLID ,0,Cn1nnc(-c(cc2)ncc2-c(ccc(N(CC(CO)O2)C2=O)c2)c2F)n1,370.34,0.24,4,8,1,106.26,1.39
 TELOTRISTAT ,0,Cc(cc1)nn1-c1c([C@H](C(F)(F)F)Oc2nc(N)nc(-c3ccc(C[C@@H](C([O-])=O)N)cc3)c2)ccc(Cl)c1,545.92,0.2,9,10,2,145,2.13
 TEMSAVIR ,0,Cc(nc1)nn1-c(nc1)c2[nH]cc(C(C(N(CC3)CCN3C(c3ccccc3)=O)=O)=O)c2c1OC,473.48,0.25,7,7,1,126.31,1.7
 TENOFOVIR ,0,CC(Cn1c2ncnc(N)c2nc1)OCP([O-])([O-])=O,285.2,0.44,5,7,1,151.85,-1.6
 TIZOXANIDE ,0,[O-][N+](c1cnc(NC(c(cccc2)c2O)=O)s1)=O,265.25,0,4,5,2,136.28,3.15
 TRANDOLAPRILAT ,0,C[C@@H](C(N([C@@H](C1)C([O-])=O)[C@@H]2[C@@H]1CCCC2)=O)N[C@@H](CCc1ccccc1)C([O-])=O,400.47,0.59,9,6,1,112.6,1.23
 TRICLOFOS ,0,[O-]P([O-])(OCC(Cl)(Cl)Cl)=O,227.37,1,3,4,0,82.23,0.3
 TRIMEPRAZINE ,0,CC(CN(C)C)CN1c(cccc2)c2Sc2c1cccc2,298.45,0.33,4,1,0,31.78,4.71
 TYROSINE ,0,NC(Cc(cc1)ccc1O)C([O-])=O,180.18,0.22,3,4,2,86.38,-2.26
 UNOPROSTONE ,0,CCCCCCCC(CC[C@H]([C@@H](C/C=C\CCCC([O-])=O)[C@H](C1)O)[C@@H]1O)=O,381.53,0.82,15,5,2,97.66,3.73
 URIDINE ,0,OC[C@@H]([C@@H]([C@@H]1O)O)O[C@@H]1N(C=CC(N1)=O)C1=O,244.2,0.56,2,6,4,124.78,-1.98
 VIOMYCIN ,0,NCCC[C@@H](CC(N[C@@H](CNC([C@H]([C@@H](C1)NC(N)=N[C@H]1O)NC(/C(/NC([C@H](CO)NC([C@H](CO)N1)=O)=O)=C/NC(N)=O)=O)=O)C1=O)=O)N,685.69,0.6,12,13,15,392.86,-6.97
 BUTABARBITAL ,1939,CCC(C)C(CC)(C(NC(N1)=O)=O)C1=O,212.25,0.7,3,3,2,75.27,1.65
 DESOXYCORTICOSTERONE ACETATE ,1939,C[C@@](CC1)([C@H](CC2)[C@@H](CC3)[C@@H]1[C@](C)(CC1)C3=CC1=O)[C@@H]2C(COC(C)=O)=O,372.5,0.78,4,4,0,60.44,3.08
 GUANIDINE ,1939,NC(N)=[NH2+],60.08,0,0,0,3,77.63,-1.34
 HISTAMINE ,1939,NCCc1cnc[nH]1,111.15,0.4,2,2,2,54.7,-0.58
 SULFAPYRIDINE ,1939,Nc(cc1)ccc1S(Nc1ncccc1)(=O)=O,249.29,0,3,3,2,93.46,0
 THEOPHYLLINE ,1940,CN(c1c(C(N2C)=O)[nH]cn1)C2=O,180.16,0.29,0,3,1,72.68,-0.02
 ERGOCALCIFEROL ,1941,CC(C)[C@H](C)/C=C/[C@H](C)[C@H](CC1)[C@](C)(CCC2)[C@H]1/C2=C/C=C(/C[C@@H](CC1)O)\C1=C,396.65,0.71,5,1,1,20.23,3.17
 ESTRONE ,1941,C[C@](CC1)([C@@H](CC2)[C@H](CC3)[C@H]1c(cc1)c3cc1O)C2=O,270.37,0.61,0,2,1,37.3,3.13
 MENADIOL ,1941,Cc(cc(c1ccccc11)O)c1O,174.2,0.09,0,2,2,40.46,2.83
 SULFADIAZINE ,1941,Nc(cc1)ccc1S(Nc1ncccn1)(=O)=O,250.28,0,3,4,2,106.35,-0.09
 EQUILIN ,1942,C[C@](CC[C@@H]12)([C@@H](CC3)C2=CCc2c1ccc(O)c2)C3=O,268.35,0.5,0,2,1,37.3,2.92
 MEPERIDINE ,1942,CCOC(C1(CCN(C)CC1)c1ccccc1)=O,247.33,0.53,4,3,0,29.54,2.72
 ETHINYL ESTRADIOL ,1943,C[C@](CC1)([C@@H](CC2)[C@H](CC3)[C@H]1c(cc1)c3cc1O)[C@@]2(C#C)O,296.4,0.6,0,2,2,40.46,3.67
 HOMATROPINE METHYLBROMIDE ,1943,C[N+](C)([C@H](CC1)C2)[C@@H]1C[C@@H]2OC(C(c1ccccc1)O)=O,290.38,0.59,4,3,1,46.53,2.39
 HYDROCODONE ,1943,CN(CC1)[C@H](Cc2ccc3OC)[C@H](CC4)[C@@]11c2c3O[C@H]1C4=O,299.36,0.61,1,4,0,38.77,0.11
 METHAMPHETAMINE ,1943,CC(Cc1ccccc1)NC,149.23,0.4,3,1,1,12.03,2.07
 DICUMAROL ,1944,OC(Oc1c2cccc1)=C(CC1=C(O)Oc(cccc3)c3C1=O)C2=O,336.29,0.05,2,6,2,100.88,2.82
 NITROFURAZONE ,1945,NC(N/N=C/c1ccc([N+]([O-])=O)o1)=O,198.14,0,4,5,2,126.44,0.23
 SULFABENZAMIDE ,1945,Nc(cc1)ccc1S(NC(c1ccccc1)=O)(=O)=O,276.31,0,4,3,2,97.64,0.7
 SULFACETAMIDE ,1945,CC(NS(c(cc1)ccc1N)(=O)=O)=O,214.24,0.12,3,3,2,97.64,-0.96
 SULFATHIAZOLE ,1945,Nc(cc1)ccc1S(Nc1nccs1)(=O)=O,255.32,0,3,3,2,121.7,0.05
 TUBOCURARINE ,1945,CN(CCc1c2)[C@@H](Cc(cc3)ccc3Oc3c([C@H](Cc(cc4)cc(O5)c4O)[N+](C)(C)CC4)c4cc(OC)c3O)c1cc5c2OC,609.73,0.35,2,7,2,80.62,6.03
 DIHYDROERGOTAMINE ,1946,C[C@@](C(N1[C@@H](Cc2ccccc2)C(N2[C@H]3CCC2)=O)=O)(NC([C@H](C2)CN(C)[C@H](Cc4c[nH]5)[C@H]2c2c4c5ccc2)=O)O[C@@]13O,583.68,0.48,5,6,3,118.21,2.37
 DIMERCAPROL ,1946,OCC(CS)S,124.23,1,2,1,1,97.83,0.19
 DIPHENHYDRAMINE ,1946,CN(C)CCOC(c1ccccc1)c1ccccc1,255.35,0.29,6,2,0,12.47,3.27
 FOLIC ACID ,1946,NC(Nc1ncc(CNc(cc2)ccc2C(NC(CCC([O-])=O)C([O-])=O)=O)nc11)=NC1=O,439.38,0.21,10,9,4,218.94,-1.08
 MEPHENYTOIN ,1946,CCC(C(N1C)=O)(c2ccccc2)NC1=O,218.25,0.33,2,2,1,49.41,1.69
 METHYLERGONOVINE ,1946,CC[C@H](CO)NC([C@H](CN(C)[C@H]1Cc2c[nH]3)C=C1c1c2c3ccc1)=O,339.43,0.45,5,3,3,68.36,2.31
 STREPTOMYCIN ,1946,C[C@H]([C@]([C@@H]1O[C@H]([C@@H]([C@H]2O)NC)O[C@H](CO)[C@H]2O)(C=O)O)O[C@@H]1O[C@@H]([C@@H]([C@H]([C@@H]([C@H]1O)NC(N)=[NH2+])O)NC(N)=[NH2+])[C@H]1O,583.59,0.86,11,13,14,334.91,-7.17
 TRIMETHADIONE ,1946,CC(C)(C(N1C)=O)OC1=O,143.14,0.67,0,3,0,46.61,0.3
 ASCORBIC ACID ,1947,OC[C@H]([C@@H](C(O)=C1O)OC1=O)O,176.12,0.5,2,6,4,107.22,-1.64
 BIOTIN ,1947,[O-]C(CCCC[C@H]([C@@H]1N2)SC[C@H]1NC2=O)=O,243.3,0.8,5,3,2,106.56,0.33
 DEXPANTHENOL ,1947,CC(C)(CO)C(C(NCCCO)=O)O,205.25,0.89,7,4,4,89.79,-0.9
 DIENESTROL ,1947,C/C=C(/C(/c(cc1)ccc1O)=C/C)\c(cc1)ccc1O,266.33,0.11,3,2,2,40.46,5.37
 METHADONE ,1947,CCC(C(CC(C)N(C)C)(c1ccccc1)c1ccccc1)=O,309.45,0.38,7,2,0,20.31,3.93
 NIACINAMIDE ,1947,NC(c1cnccc1)=O,122.12,0,1,2,1,55.98,-0.37
 PENICILLIN G ,1947,CC(C)([C@H]1C([O-])=O)S[C@@H]([C@H]2NC(Cc3ccccc3)=O)N1C2=O,333.38,0.44,5,4,1,114.84,1.83
 PROPYLTHIOURACIL ,1947,CCCC(NC(N1)=S)=CC1=O,170.23,0.43,2,1,2,80.74,0.79
 PYRIDOXINE ,1947,Cc1ncc(CO)c(CO)c1O,169.18,0.38,2,4,3,73.58,-0.77
 RIBOFLAVIN PHOSPHATE ,1947,Cc(c(C)c1)cc(N2C[C@@H]([C@@H]([C@@H](COP([O-])([O-])=O)O)O)O)c1N=C(C(N1)=O)C2=NC1=O,454.33,0.41,7,11,4,223.56,-2.56
 THIAMINE ,1947,Cc1c(CCO)sc[n+]1Cc1c(N)nc(C)nc1,265.35,0.42,4,3,2,104.15,1.02
 VITAMIN A PALMITATE ,1947,CCCCCCCCCCCCCCCC(OC/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C)=O,524.86,0.69,21,2,0,26.3,3.84
 BACITRACIN ,1948,CC[C@@H](C)[C@@H](C(N[C@@H](CCCCNC([C@H](CC(N)=O)NC([C@@H](CC([O-])=O)NC([C@H](Cc1cnc[nH]1)NC([C@@H](Cc1ccccc1)NC([C@H]([C@H](C)CC)NC([C@@H](CCCN)N1)=O)=O)=O)=O)=O)=O)C1=O)=O)NC([C@@H](CCC([O-])=O)NC([C@H](CC(C)C)NC([C@H]1N=C([C@H]([C@@H](C)CC)N)SC1)=O)=O)=O,1420.68,0.64,35,20,15,561.83,-4.09
 BETHANECHOL ,1948,CC(C[N+](C)(C)C)OC(N)=O,161.22,0.86,4,2,1,52.32,0.03
 CAFFEINE ,1948,Cn1c(C(N(C)C(N2C)=O)=O)c2nc1,194.19,0.38,0,3,0,61.82,-0.07
 DOXYLAMINE ,1948,CC(c1ccccc1)(c1ncccc1)OCCN(C)C,270.37,0.35,6,3,0,25.36,2.46
 EPINEPHRINE ,1948,CNCC(c(cc1)cc(O)c1O)O,183.2,0.33,3,4,4,72.72,-1.37
 ERGOTAMINE ,1948,C[C@@](C(N1[C@@H](Cc2ccccc2)C(N2[C@H]3CCC2)=O)=O)(NC([C@@H](CN(C)[C@@H]2Cc4c[nH]5)C=C2c2c4c5ccc2)=O)O[C@@]13O,581.66,0.42,5,6,3,118.21,3.06
 ISOPROTERENOL ,1948,CC(C)NCC(c(cc1)cc(O)c1O)O,211.26,0.45,4,4,4,72.72,-3.49
 LIDOCAINE ,1948,CCN(CC)CC(Nc1c(C)cccc1C)=O,775.86,0.13,5,5,2,95.61,2.36
 SULFISOXAZOLE ,1948,Cc1c(NS(c(cc2)ccc2N)(=O)=O)onc1C,267.3,0.18,3,4,2,106.6,1.01
 TOLAZOLINE ,1948,C(C1=NCCN1)c1ccccc1,160.22,0.3,2,1,1,24.39,2.65
 TRIPELENNAMINE ,1948,CN(C)CCN(Cc1ccccc1)c1ncccc1,255.36,0.31,6,2,0,19.37,3.3
 CHLOROQUINE ,1949,CCN(CC)CCCC(C)Nc1c(ccc(Cl)c2)c2ncc1,270.76,0.46,7,3,1,55.56,2.88
 CHLORPHENIRAMINE ,1949,CN(C)CCC(c(cc1)ccc1Cl)c1ncccc1,245.66,0.3,6,4,2,81.78,1.36
 CROTAMITON ,1949,CCN(C(/C=C/C)=O)c1c(C)cccc1,203.28,0.31,4,1,0,20.31,2.83
 HEXACHLOROPHENE ,1949,Oc(c(Cc(c(Cl)c(cc1Cl)Cl)c1O)c(c(Cl)c1)Cl)c1Cl,406.9,0.08,2,2,2,40.46,7.54
 MECHLORETHAMINE ,1949,CN(CCCl)CCCl,156.05,1,4,1,0,3.24,0.91
 METHOXAMINE ,1949,C[C@@H]([C@@H](c(cc(cc1)OC)c1OC)O)N,211.26,0.45,4,4,2,64.71,0.51
 METOCURINE ,1949,C[N+](C)(CCc1c2)[C@H](Cc(cc3)ccc3Oc3c([C@H](Cc(cc4)cc(O5)c4OC)[N+](C)(C)CC4)c4cc(OC)c3OC)c1cc5c2OC,652.82,0.4,4,6,0,55.38,6.7
 PARAMETHADIONE ,1949,CCC(C)(C(N1C)=O)OC1=O,157.17,0.71,1,3,0,46.61,0.83
 SULFAMERAZINE ,1949,Cc1ccnc(NS(c(cc2)ccc2N)(=O)=O)n1,264.3,0.09,3,4,2,106.35,0.14
 SULFAMETHAZINE ,1949,Cc1nc(NS(c(cc2)ccc2N)(=O)=O)nc(C)c1,278.33,0.17,3,4,2,106.35,0.28
 TRIHEXYPHENIDYL ,1949,OC(CCN1CCCCC1)(C1CCCCC1)c1ccccc1,301.47,0.7,5,2,1,23.47,4.49
 AMINOSALICYLIC ACID ,1950,Nc(cc1)cc(O)c1C([O-])=O,152.13,0,1,3,2,86.38,1.32
 AMODIAQUINE ,1950,CCN(CC)Cc(cc(cc1)Nc2c(ccc(Cl)c3)c3ncc2)c1O,355.86,0.25,6,3,2,48.39,5.18
 ASPIRIN ,1950,CC(Oc(cccc1)c1C([O-])=O)=O,179.15,0.11,3,4,0,66.43,1.19
 CHLORAMPHENICOL ,1950,[O-][N+](c1ccc([C@H]([C@@H](CO)NC(C(Cl)Cl)=O)O)cc1)=O,303.2,0.5,9,2,0,43.37,1.7
 CHLORTETRACYCLINE ,1950,C[C@@]([C@H](C[C@H]([C@H](C(O)=C(C(N)=O)C1=O)N(C)C)[C@@]11O)C(C(c2c(cc3)O)=O)=C1O)(c2c3Cl)O,315.86,0.22,3,1,0,28.54,5.18
 CORTISONE ,1950,C[C@@](C1)([C@H](CC2)[C@@H](CCC([C@@]3(C)CC4)=CC4=O)[C@H]3C1=O)[C@@]2(C(CO)=O)O,360.44,0.76,2,5,2,91.67,1.47
 CORTISONE ACETATE ,1950,C[C@@](C1)([C@H](CC2)[C@@H](CCC([C@@]3(C)CC4)=CC4=O)[C@H]3C1=O)[C@@]2(C(COC(C)=O)=O)O,402.48,0.74,4,6,1,97.74,2.1
 DEXCHLORPHENIRAMINE ,1950,CN(C)CCC(c(cc1)ccc1Cl)c1ncccc1,274.79,0.31,5,2,0,16.13,3.39
 DICYCLOMINE ,1950,CCN(CC)CCOC(C1(CCCCC1)C1CCCCC1)=O,309.49,0.95,8,3,0,29.54,5.53
 DIETHYLCARBAMAZINE ,1950,CCN(CC)C(N1CCN(C)CC1)=O,199.29,0.9,4,2,0,26.79,0.28
