UNII,ndc,product_name,INGREDIENT_NAME_x,INGREDIENT_NAME_y,ROUTE,DOSAGE_FORM,CAS_NUMBER,POTENCY_AMOUNT,POTENCY_UNIT,MAXIMUM_DAILY_EXPOSURE,MAXIMUM_DAILY_EXPOSURE_UNIT,RECORD_UPDATED
55X04QC32I,0143-9721,"LEVOFLOXACIN 500 mg in 100 mL INTRAVENOUS INJECTION, SOLUTION",SODIUM HYDROXIDE,SODIUM HYDROXIDE,ORAL,TABLET,1310732.0,,,10.0,mg,
LX22YL083G,0143-9721,"LEVOFLOXACIN 500 mg in 100 mL INTRAVENOUS INJECTION, SOLUTION",DEXTROSE MONOHYDRATE,DEXTROSE MONOHYDRATE,ORAL,TABLET,77938637.0,,,11.0,mg,
QTT17582CB,0143-9721,"LEVOFLOXACIN 500 mg in 100 mL INTRAVENOUS INJECTION, SOLUTION",HYDROCHLORIC ACID,HYDROCHLORIC ACID,ORAL,TABLET,7647010.0,2.32,mg,,,
55X04QC32I,0143-9722,"LEVOFLOXACIN 250 mg in 50 mL INTRAVENOUS INJECTION, SOLUTION",SODIUM HYDROXIDE,SODIUM HYDROXIDE,ORAL,TABLET,1310732.0,,,10.0,mg,
LX22YL083G,0143-9722,"LEVOFLOXACIN 250 mg in 50 mL INTRAVENOUS INJECTION, SOLUTION",DEXTROSE MONOHYDRATE,DEXTROSE MONOHYDRATE,ORAL,TABLET,77938637.0,,,11.0,mg,
QTT17582CB,0143-9722,"LEVOFLOXACIN 250 mg in 50 mL INTRAVENOUS INJECTION, SOLUTION",HYDROCHLORIC ACID,HYDROCHLORIC ACID,ORAL,TABLET,7647010.0,2.32,mg,,,
55X04QC32I,0409-0528,"LEVOFLOXACIN 5 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION",SODIUM HYDROXIDE,SODIUM HYDROXIDE,ORAL,TABLET,1310732.0,,,10.0,mg,
IY9XDZ35W2,0409-0528,"LEVOFLOXACIN 5 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION",DEXTROSE,DEXTROSE,ORAL,TABLET,,183.66,mg,,,
IY9XDZ35W2,0409-0528,"LEVOFLOXACIN 5 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION","DEXTROSE, UNSPECIFIED FORM",DEXTROSE,ORAL,TABLET,,183.66,mg,,,
LX22YL083G,0409-0528,"LEVOFLOXACIN 5 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION",DEXTROSE MONOHYDRATE,DEXTROSE MONOHYDRATE,ORAL,TABLET,77938637.0,,,11.0,mg,
QTT17582CB,0409-0528,"LEVOFLOXACIN 5 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION",HYDROCHLORIC ACID,HYDROCHLORIC ACID,ORAL,TABLET,7647010.0,2.32,mg,,,
55X04QC32I,0409-2220,"Levofloxacin 250 mg in 50 mL INTRAVENOUS INJECTION, SOLUTION",Sodium hydroxide,SODIUM HYDROXIDE,ORAL,TABLET,1310732.0,,,10.0,mg,
LX22YL083G,0409-2220,"Levofloxacin 250 mg in 50 mL INTRAVENOUS INJECTION, SOLUTION",Dextrose monohydrate,DEXTROSE MONOHYDRATE,ORAL,TABLET,77938637.0,,,11.0,mg,
QTT17582CB,0409-2220,"Levofloxacin 250 mg in 50 mL INTRAVENOUS INJECTION, SOLUTION",Hydrochloric acid,HYDROCHLORIC ACID,ORAL,TABLET,7647010.0,2.32,mg,,,
55X04QC32I,0409-3330,"Levofloxacin 500 mg in 100 mL INTRAVENOUS INJECTION, SOLUTION",Sodium hydroxide,SODIUM HYDROXIDE,ORAL,TABLET,1310732.0,,,10.0,mg,
LX22YL083G,0409-3330,"Levofloxacin 500 mg in 100 mL INTRAVENOUS INJECTION, SOLUTION",Dextrose monohydrate,DEXTROSE MONOHYDRATE,ORAL,TABLET,77938637.0,,,11.0,mg,
QTT17582CB,0409-3330,"Levofloxacin 500 mg in 100 mL INTRAVENOUS INJECTION, SOLUTION",Hydrochloric acid,HYDROCHLORIC ACID,ORAL,TABLET,7647010.0,2.32,mg,,,
55X04QC32I,0409-4444,"Levofloxacin 750 mg in 150 mL INTRAVENOUS INJECTION, SOLUTION",Sodium hydroxide,SODIUM HYDROXIDE,ORAL,TABLET,1310732.0,,,10.0,mg,
LX22YL083G,0409-4444,"Levofloxacin 750 mg in 150 mL INTRAVENOUS INJECTION, SOLUTION",Dextrose monohydrate,DEXTROSE MONOHYDRATE,ORAL,TABLET,77938637.0,,,11.0,mg,
QTT17582CB,0409-4444,"Levofloxacin 750 mg in 150 mL INTRAVENOUS INJECTION, SOLUTION",Hydrochloric acid,HYDROCHLORIC ACID,ORAL,TABLET,7647010.0,2.32,mg,,,
55X04QC32I,0527-1948,LEVOFLOXACIN 25 mg in 1 mL ORAL SOLUTION,SODIUM HYDROXIDE,SODIUM HYDROXIDE,ORAL,TABLET,1310732.0,,,10.0,mg,
6DC9Q167V3,0527-1948,LEVOFLOXACIN 25 mg in 1 mL ORAL SOLUTION,PROPYLENE GLYCOL,PROPYLENE GLYCOL,ORAL,TABLET,57556.0,,,64.0,mg,
C151H8M554,0527-1948,LEVOFLOXACIN 25 mg in 1 mL ORAL SOLUTION,SUCROSE,SUCROSE,ORAL,TABLET,57501.0,,,4249.0,mg,
H77VEI93A8,0527-1948,LEVOFLOXACIN 25 mg in 1 mL ORAL SOLUTION,FD&C YELLOW NO. 6,FD&C YELLOW NO. 6,ORAL,TABLET,2783940.0,60.02,mg,,,
PDC6A3C0OX,0527-1948,LEVOFLOXACIN 25 mg in 1 mL ORAL SOLUTION,GLYCERIN,GLYCERIN,ORAL,TABLET,56815.0,,,42.0,mg,
QTT17582CB,0527-1948,LEVOFLOXACIN 25 mg in 1 mL ORAL SOLUTION,HYDROCHLORIC ACID,HYDROCHLORIC ACID,ORAL,TABLET,7647010.0,2.32,mg,,,
REK4960K2U,0527-1948,LEVOFLOXACIN 25 mg in 1 mL ORAL SOLUTION,BUTYLATED HYDROXYANISOLE,BUTYLATED HYDROXYANISOLE,ORAL,TABLET,25013165.0,,,8.0,mg,
SB8ZUX40TY,0527-1948,LEVOFLOXACIN 25 mg in 1 mL ORAL SOLUTION,SACCHARIN SODIUM,SACCHARIN SODIUM,ORAL,TABLET,6155573.0,,,43.0,mg,
15FIX9V2JP,0781-5790,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED",TITANIUM DIOXIDE,TITANIUM DIOXIDE,ORAL,TABLET,13463677.0,,,120.0,mg,
36SFW2JZ0W,0781-5790,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED",HYPROMELLOSE 2910 (15 MPA.S),HYPROMELLOSE 2910 (15 MPA.S),ORAL,TABLET,9004653.0,,,360.0,mg,
7SEV7J4R1U,0781-5790,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED",TALC,TALC,ORAL,TABLET,14807966.0,1000.0,mg,,,
9XZ8H6N6OH,0781-5790,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED","HYDROXYPROPYL CELLULOSE, UNSPECIFIED",HYDROXYPROPYL CELLULOSE,ORAL,TABLET,9004642.0,,,128.0,mg,
B697894SGQ,0781-5790,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED",POLYETHYLENE GLYCOL 400,POLYETHYLENE GLYCOL 400,ORAL,TABLET,25322683.0,,,193.0,mg,
ETJ7Z6XBU4,0781-5790,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED",SILICON DIOXIDE,SILICON DIOXIDE,ORAL,TABLET,7631869.0,,,336.0,mg,
EWQ57Q8I5X,0781-5790,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED",LACTOSE MONOHYDRATE,LACTOSE MONOHYDRATE,ORAL,TABLET,64044515.0,,,4384.0,mg,
EX438O2MRT,0781-5790,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED",FERRIC OXIDE YELLOW,FERRIC OXIDE YELLOW,ORAL,TABLET,51274001.0,,,24.0,mg,
M28OL1HH48,0781-5790,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED",CROSCARMELLOSE SODIUM,CROSCARMELLOSE SODIUM,ORAL,TABLET,74811657.0,,,736.0,mg,
R8WTH25YS2,0781-5790,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED",GLYCERYL DIBEHENATE,GLYCERYL DIBEHENATE,ORAL,TABLET,99880645.0,,,148.0,mg,
RFW2ET671P,0781-5790,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED",HYDROXYPROPYL CELLULOSE (TYPE H),HYDROXYPROPYL CELLULOSE (1600000 WAMW),ORAL,TABLET,9004642.0,,,230.0,mg,
U725QWY32X,0781-5790,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED",POVIDONE K30,POVIDONE K30,ORAL,TABLET,9003398.0,,,2828.0,mg,
15FIX9V2JP,0781-5791,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",TITANIUM DIOXIDE,TITANIUM DIOXIDE,ORAL,TABLET,13463677.0,,,120.0,mg,
36SFW2JZ0W,0781-5791,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",HYPROMELLOSE 2910 (15 MPA.S),HYPROMELLOSE 2910 (15 MPA.S),ORAL,TABLET,9004653.0,,,360.0,mg,
7SEV7J4R1U,0781-5791,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",TALC,TALC,ORAL,TABLET,14807966.0,1000.0,mg,,,
9XZ8H6N6OH,0781-5791,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED","HYDROXYPROPYL CELLULOSE, UNSPECIFIED",HYDROXYPROPYL CELLULOSE,ORAL,TABLET,9004642.0,,,128.0,mg,
B697894SGQ,0781-5791,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",POLYETHYLENE GLYCOL 400,POLYETHYLENE GLYCOL 400,ORAL,TABLET,25322683.0,,,193.0,mg,
ETJ7Z6XBU4,0781-5791,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",SILICON DIOXIDE,SILICON DIOXIDE,ORAL,TABLET,7631869.0,,,336.0,mg,
EWQ57Q8I5X,0781-5791,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",LACTOSE MONOHYDRATE,LACTOSE MONOHYDRATE,ORAL,TABLET,64044515.0,,,4384.0,mg,
EX438O2MRT,0781-5791,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",FERRIC OXIDE YELLOW,FERRIC OXIDE YELLOW,ORAL,TABLET,51274001.0,,,24.0,mg,
M28OL1HH48,0781-5791,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",CROSCARMELLOSE SODIUM,CROSCARMELLOSE SODIUM,ORAL,TABLET,74811657.0,,,736.0,mg,
R8WTH25YS2,0781-5791,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",GLYCERYL DIBEHENATE,GLYCERYL DIBEHENATE,ORAL,TABLET,99880645.0,,,148.0,mg,
RFW2ET671P,0781-5791,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",HYDROXYPROPYL CELLULOSE (TYPE H),HYDROXYPROPYL CELLULOSE (1600000 WAMW),ORAL,TABLET,9004642.0,,,230.0,mg,
U725QWY32X,0781-5791,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",POVIDONE K30,POVIDONE K30,ORAL,TABLET,9003398.0,,,2828.0,mg,
15FIX9V2JP,0781-5792,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED",TITANIUM DIOXIDE,TITANIUM DIOXIDE,ORAL,TABLET,13463677.0,,,120.0,mg,
36SFW2JZ0W,0781-5792,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED",HYPROMELLOSE 2910 (15 MPA.S),HYPROMELLOSE 2910 (15 MPA.S),ORAL,TABLET,9004653.0,,,360.0,mg,
7SEV7J4R1U,0781-5792,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED",TALC,TALC,ORAL,TABLET,14807966.0,1000.0,mg,,,
9XZ8H6N6OH,0781-5792,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED","HYDROXYPROPYL CELLULOSE, UNSPECIFIED",HYDROXYPROPYL CELLULOSE,ORAL,TABLET,9004642.0,,,128.0,mg,
B697894SGQ,0781-5792,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED",POLYETHYLENE GLYCOL 400,POLYETHYLENE GLYCOL 400,ORAL,TABLET,25322683.0,,,193.0,mg,
ETJ7Z6XBU4,0781-5792,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED",SILICON DIOXIDE,SILICON DIOXIDE,ORAL,TABLET,7631869.0,,,336.0,mg,
EWQ57Q8I5X,0781-5792,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED",LACTOSE MONOHYDRATE,LACTOSE MONOHYDRATE,ORAL,TABLET,64044515.0,,,4384.0,mg,
EX438O2MRT,0781-5792,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED",FERRIC OXIDE YELLOW,FERRIC OXIDE YELLOW,ORAL,TABLET,51274001.0,,,24.0,mg,
M28OL1HH48,0781-5792,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED",CROSCARMELLOSE SODIUM,CROSCARMELLOSE SODIUM,ORAL,TABLET,74811657.0,,,736.0,mg,
R8WTH25YS2,0781-5792,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED",GLYCERYL DIBEHENATE,GLYCERYL DIBEHENATE,ORAL,TABLET,99880645.0,,,148.0,mg,
RFW2ET671P,0781-5792,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED",HYDROXYPROPYL CELLULOSE (TYPE H),HYDROXYPROPYL CELLULOSE (1600000 WAMW),ORAL,TABLET,9004642.0,,,230.0,mg,
U725QWY32X,0781-5792,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED",POVIDONE K30,POVIDONE K30,ORAL,TABLET,9003398.0,,,2828.0,mg,
15FIX9V2JP,0904-6351,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED",TITANIUM DIOXIDE,TITANIUM DIOXIDE,ORAL,TABLET,13463677.0,,,120.0,mg,
3NXW29V3WO,0904-6351,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED","HYPROMELLOSE, UNSPECIFIED",HYPROMELLOSE,ORAL,TABLET,9004653.0,,,1127.0,mg,
3NXW29V3WO,0904-6351,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED",HYPROMELLOSES,HYPROMELLOSE,ORAL,TABLET,9004653.0,,,1127.0,mg,
70097M6I30,0904-6351,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED",MAGNESIUM STEARATE,MAGNESIUM STEARATE,ORAL,TABLET,557040.0,,,980.0,mg,
ETJ7Z6XBU4,0904-6351,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED",SILICON DIOXIDE,SILICON DIOXIDE,ORAL,TABLET,7631869.0,,,336.0,mg,
O8232NY3SJ,0904-6351,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED","STARCH, CORN","STARCH 1500, PREGELATINIZED",ORAL,TABLET,,,,1116.0,mg,
OP1R32D61U,0904-6351,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED","CELLULOSE, MICROCRYSTALLINE",MICROCRYSTALLINE CELLULOSE,ORAL,TABLET,9004346.0,,,5117.0,mg,
OP1R32D61U,0904-6351,"LEVOFLOXACIN 250 mg ORAL TABLET, FILM COATED",MICROCRYSTALLINE CELLULOSE,MICROCRYSTALLINE CELLULOSE,ORAL,TABLET,9004346.0,,,5117.0,mg,
15FIX9V2JP,0904-6352,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",TITANIUM DIOXIDE,TITANIUM DIOXIDE,ORAL,TABLET,13463677.0,,,120.0,mg,
3NXW29V3WO,0904-6352,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED","HYPROMELLOSE, UNSPECIFIED",HYPROMELLOSE,ORAL,TABLET,9004653.0,,,1127.0,mg,
3NXW29V3WO,0904-6352,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",HYPROMELLOSES,HYPROMELLOSE,ORAL,TABLET,9004653.0,,,1127.0,mg,
70097M6I30,0904-6352,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",MAGNESIUM STEARATE,MAGNESIUM STEARATE,ORAL,TABLET,557040.0,,,980.0,mg,
ETJ7Z6XBU4,0904-6352,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",SILICON DIOXIDE,SILICON DIOXIDE,ORAL,TABLET,7631869.0,,,336.0,mg,
H77VEI93A8,0904-6352,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",FD&C YELLOW NO. 6,FD&C YELLOW NO. 6,ORAL,TABLET,2783940.0,60.02,mg,,,
I753WB2F1M,0904-6352,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",FD&C YELLOW NO. 5,FD&C YELLOW NO. 5,ORAL,TABLET,1934210.0,180.0,mg,,,
O8232NY3SJ,0904-6352,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED","STARCH, CORN","STARCH 1500, PREGELATINIZED",ORAL,TABLET,,,,1116.0,mg,
OP1R32D61U,0904-6352,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED","CELLULOSE, MICROCRYSTALLINE",MICROCRYSTALLINE CELLULOSE,ORAL,TABLET,9004346.0,,,5117.0,mg,
OP1R32D61U,0904-6352,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",MICROCRYSTALLINE CELLULOSE,MICROCRYSTALLINE CELLULOSE,ORAL,TABLET,9004346.0,,,5117.0,mg,
15FIX9V2JP,0904-6353,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED",TITANIUM DIOXIDE,TITANIUM DIOXIDE,ORAL,TABLET,13463677.0,,,120.0,mg,
3NXW29V3WO,0904-6353,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED","HYPROMELLOSE, UNSPECIFIED",HYPROMELLOSE,ORAL,TABLET,9004653.0,,,1127.0,mg,
3NXW29V3WO,0904-6353,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED",HYPROMELLOSES,HYPROMELLOSE,ORAL,TABLET,9004653.0,,,1127.0,mg,
70097M6I30,0904-6353,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED",MAGNESIUM STEARATE,MAGNESIUM STEARATE,ORAL,TABLET,557040.0,,,980.0,mg,
ETJ7Z6XBU4,0904-6353,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED",SILICON DIOXIDE,SILICON DIOXIDE,ORAL,TABLET,7631869.0,,,336.0,mg,
EX438O2MRT,0904-6353,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED",FERRIC OXIDE YELLOW,FERRIC OXIDE YELLOW,ORAL,TABLET,51274001.0,,,24.0,mg,
O8232NY3SJ,0904-6353,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED","STARCH, CORN","STARCH 1500, PREGELATINIZED",ORAL,TABLET,,,,1116.0,mg,
OP1R32D61U,0904-6353,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED","CELLULOSE, MICROCRYSTALLINE",MICROCRYSTALLINE CELLULOSE,ORAL,TABLET,9004346.0,,,5117.0,mg,
OP1R32D61U,0904-6353,"LEVOFLOXACIN 750 mg ORAL TABLET, FILM COATED",MICROCRYSTALLINE CELLULOSE,MICROCRYSTALLINE CELLULOSE,ORAL,TABLET,9004346.0,,,5117.0,mg,
15FIX9V2JP,10544-143,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",TITANIUM DIOXIDE,TITANIUM DIOXIDE,ORAL,TABLET,13463677.0,,,120.0,mg,
1K09F3G675,10544-143,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",FERRIC OXIDE RED,FERRIC OXIDE RED,ORAL,TABLET,1309371.0,,,8.0,mg,
3NXW29V3WO,10544-143,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",HYPROMELLOSES,HYPROMELLOSE,ORAL,TABLET,9004653.0,,,1127.0,mg,
6OZP39ZG8H,10544-143,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",POLYSORBATE 80,POLYSORBATE 80,ORAL,TABLET,9005656.0,,,233.0,mg,
70097M6I30,10544-143,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",MAGNESIUM STEARATE,MAGNESIUM STEARATE,ORAL,TABLET,557040.0,,,980.0,mg,
EX438O2MRT,10544-143,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",FERRIC OXIDE YELLOW,FERRIC OXIDE YELLOW,ORAL,TABLET,51274001.0,,,24.0,mg,
OP1R32D61U,10544-143,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED","CELLULOSE, MICROCRYSTALLINE",MICROCRYSTALLINE CELLULOSE,ORAL,TABLET,9004346.0,,,5117.0,mg,
15FIX9V2JP,10544-245,"Levofloxacin 750 mg ORAL TABLET, FILM COATED",titanium dioxide,TITANIUM DIOXIDE,ORAL,TABLET,13463677.0,,,120.0,mg,
3NXW29V3WO,10544-245,"Levofloxacin 750 mg ORAL TABLET, FILM COATED",HYPROMELLOSES,HYPROMELLOSE,ORAL,TABLET,9004653.0,,,1127.0,mg,
70097M6I30,10544-245,"Levofloxacin 750 mg ORAL TABLET, FILM COATED",magnesium stearate,MAGNESIUM STEARATE,ORAL,TABLET,557040.0,,,980.0,mg,
ETJ7Z6XBU4,10544-245,"Levofloxacin 750 mg ORAL TABLET, FILM COATED",SILICON DIOXIDE,SILICON DIOXIDE,ORAL,TABLET,7631869.0,,,336.0,mg,
EX438O2MRT,10544-245,"Levofloxacin 750 mg ORAL TABLET, FILM COATED",FERRIC OXIDE YELLOW,FERRIC OXIDE YELLOW,ORAL,TABLET,51274001.0,,,24.0,mg,
O8232NY3SJ,10544-245,"Levofloxacin 750 mg ORAL TABLET, FILM COATED","STARCH, CORN","STARCH 1500, PREGELATINIZED",ORAL,TABLET,,,,1116.0,mg,
OP1R32D61U,10544-245,"Levofloxacin 750 mg ORAL TABLET, FILM COATED","CELLULOSE, MICROCRYSTALLINE",MICROCRYSTALLINE CELLULOSE,ORAL,TABLET,9004346.0,,,5117.0,mg,
15FIX9V2JP,10544-451,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",TITANIUM DIOXIDE,TITANIUM DIOXIDE,ORAL,TABLET,13463677.0,,,120.0,mg,
30IQX730WE,10544-451,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",POLYETHYLENE GLYCOL 6000,POLYETHYLENE GLYCOL 6000,ORAL,TABLET,25322683.0,,,750.0,mg,
3NXW29V3WO,10544-451,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",HYPROMELLOSES,HYPROMELLOSE,ORAL,TABLET,9004653.0,,,1127.0,mg,
70097M6I30,10544-451,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",MAGNESIUM STEARATE,MAGNESIUM STEARATE,ORAL,TABLET,557040.0,,,980.0,mg,
7SEV7J4R1U,10544-451,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED",TALC,TALC,ORAL,TABLET,14807966.0,1000.0,mg,,,
OP1R32D61U,10544-451,"LEVOFLOXACIN 500 mg ORAL TABLET, FILM COATED","CELLULOSE, MICROCRYSTALLINE",MICROCRYSTALLINE CELLULOSE,ORAL,TABLET,9004346.0,,,5117.0,mg,
15FIX9V2JP,10544-558,"Levofloxacin 500 mg ORAL TABLET, FILM COATED",titanium dioxide,TITANIUM DIOXIDE,ORAL,TABLET,13463677.0,,,120.0,mg,
3NXW29V3WO,10544-558,"Levofloxacin 500 mg ORAL TABLET, FILM COATED",HYPROMELLOSES,HYPROMELLOSE,ORAL,TABLET,9004653.0,,,1127.0,mg,
70097M6I30,10544-558,"Levofloxacin 500 mg ORAL TABLET, FILM COATED",magnesium stearate,MAGNESIUM STEARATE,ORAL,TABLET,557040.0,,,980.0,mg,
ETJ7Z6XBU4,10544-558,"Levofloxacin 500 mg ORAL TABLET, FILM COATED",SILICON DIOXIDE,SILICON DIOXIDE,ORAL,TABLET,7631869.0,,,336.0,mg,
H77VEI93A8,10544-558,"Levofloxacin 500 mg ORAL TABLET, FILM COATED",FD&C YELLOW NO. 6,FD&C YELLOW NO. 6,ORAL,TABLET,2783940.0,60.02,mg,,,
I753WB2F1M,10544-558,"Levofloxacin 500 mg ORAL TABLET, FILM COATED",FD&C YELLOW NO. 5,FD&C YELLOW NO. 5,ORAL,TABLET,1934210.0,180.0,mg,,,
