id	compound_id	pk_adm_other_routes	pk_age_group	pk_analyte_cid	pk_analyte_mw	pk_analyte_pt	pk_analyte_query	pk_analyte_smiles	pk_analyte_tissue	pk_analyte_unii	pk_application_cid	pk_application_mw	pk_application_pt	pk_application_query	pk_application_smiles	pk_application_unii	pk_auc_hours	pk_auc_other_units	pk_auc_type	pk_auc_units	pk_auc_value	pk_cmax_other_units	pk_cmax_units	pk_cmax_value	pk_dose_other_types	pk_dose_other_units	pk_dose_type	pk_dose_units	pk_dose_value	pk_exp_other_types	pk_experiment_type	pk_food_status	pk_frequency_other_period	pk_frequency_period	pk_frequency_times	pk_funbound_comment	pk_funbound_value	pk_health_status	pk_routes	pk_sex	pk_source_type	pk_source_uri	pk_species	pk_thalf_other_units	pk_thalf_units	pk_thalf_value	pk_application_comment	pk_population_comment	pk_application_combo_comment	pk_population_size	pk_annotated_form	pk_analyte_other_tissue	pkappcombo
11	7		ADULT	56640146	493.575	DASABUVIR	DASABUVIR	COC1=C(C=C(C=C1C2=CC3=C(C=C2)C=C(NS(C)(=O)=O)C=C3)N4C=CC(=O)NC4=O)C(C)(C)C	PLASMA	DE54EQW8T1							12		t	ng × h/mL	2620		ng/mL	320			UNKNOWN	mg	200		MULTIPLE	UNKNOWN		day	2	Dasabuvir is >99.9% bound to human plasma proteins over a concentration range of 0.1–10 uM (0.05–5 ug/mL)	0.1	HEALTHY	Oral	UNKNOWN	REVIEW	https://pubmed.ncbi.nlm.nih.gov/28258380/	Homo sapiens										false
12	7		ADULT	56640146	493.575	DASABUVIR	DASABUVIR	COC1=C(C=C(C=C1C2=CC3=C(C=C2)C=C(NS(C)(=O)=O)C=C3)N4C=CC(=O)NC4=O)C(C)(C)C	PLASMA	DE54EQW8T1							12		t	ng × h/mL	7050		ng/mL	912			UNKNOWN	mg	400		MULTIPLE	UNKNOWN		day	2	Dasabuvir is >99.9% bound to human plasma proteins over a concentration range of 0.1–10 uM (0.05–5 ug/mL)	0.1	HEALTHY	Oral	UNKNOWN	REVIEW	https://pubmed.ncbi.nlm.nih.gov/28258380/	Homo sapiens		h	6.87							false
13	7		ADULT	56640146	493.575	DASABUVIR	DASABUVIR	COC1=C(C=C(C=C1C2=CC3=C(C=C2)C=C(NS(C)(=O)=O)C=C3)N4C=CC(=O)NC4=O)C(C)(C)C	PLASMA	DE54EQW8T1							12		t	ng × h/mL	8800		ng/mL	1130			UNKNOWN	mg	600		MULTIPLE	UNKNOWN		day	2	Dasabuvir is >99.9% bound to human plasma proteins over a concentration range of 0.1–10 uM (0.05–5 ug/mL)	0.1	HEALTHY	Oral	UNKNOWN	REVIEW	https://pubmed.ncbi.nlm.nih.gov/28258380/	Homo sapiens		h	6.87							false
14	7		ADULT	56640146	493.575	DASABUVIR	DASABUVIR	COC1=C(C=C(C=C1C2=CC3=C(C=C2)C=C(NS(C)(=O)=O)C=C3)N4C=CC(=O)NC4=O)C(C)(C)C	PLASMA	DE54EQW8T1							12		t	ng × h/mL	15800		ng/mL	2110			UNKNOWN	mg	1000		MULTIPLE	UNKNOWN		day	2	Dasabuvir is >99.9% bound to human plasma proteins over a concentration range of 0.1–10 uM (0.05–5 ug/mL)	0.1	HEALTHY	Oral	UNKNOWN	REVIEW	https://pubmed.ncbi.nlm.nih.gov/28258380/	Homo sapiens		h	6.52							false
15	8			23725625	434.4628	OLAPARIB	OLAPARIB	FC1=C(C=C(CC2=NNC(=O)C3=C2C=CC=C3)C=C1)C(=O)N4CCN(CC4)C(=O)C5CC5	PLASMA	WOH1JD9AR8							12		t	μg × h/mL	43.95							mg	300		SINGLE			day	2			UNHEALTHY	Oral		EXPERIMENT	https://clinicaltrials.gov/ct2/show/NCT02430311	Homo sapiens										false
16	8			23725625	434.4628	OLAPARIB	OLAPARIB	FC1=C(C=C(CC2=NNC(=O)C3=C2C=CC=C3)C=C1)C(=O)N4CCN(CC4)C(=O)C5CC5	PLASMA	WOH1JD9AR8							12		t	μg × h/mL	43.91							mg	300		SINGLE			day	2			UNHEALTHY	Oral		EXPERIMENT	https://clinicaltrials.gov/ct2/show/NCT02430311	Homo sapiens										false
17	8			23725625	434.4628	OLAPARIB	OLAPARIB	FC1=C(C=C(CC2=NNC(=O)C3=C2C=CC=C3)C=C1)C(=O)N4CCN(CC4)C(=O)C5CC5	PLASMA	WOH1JD9AR8													μg/mL	6.875				mg	300		SINGLE							UNHEALTHY	Oral		EXPERIMENT	https://clinicaltrials.gov/ct2/show/NCT02430311	Homo sapiens										false
18	8			23725625	434.4628	OLAPARIB	OLAPARIB	FC1=C(C=C(CC2=NNC(=O)C3=C2C=CC=C3)C=C1)C(=O)N4CCN(CC4)C(=O)C5CC5	PLASMA	WOH1JD9AR8							12		t	μg × h/mL	31.68							mg	300		SINGLE							UNHEALTHY	Oral		EXPERIMENT	https://clinicaltrials.gov/ct2/show/NCT02430311	Homo sapiens										false
19	8			23725625	434.4628	OLAPARIB	OLAPARIB	FC1=C(C=C(CC2=NNC(=O)C3=C2C=CC=C3)C=C1)C(=O)N4CCN(CC4)C(=O)C5CC5	PLASMA	WOH1JD9AR8							48		t	μg × h/mL	36.37							mg	300		SINGLE							UNHEALTHY	Oral		EXPERIMENT	https://clinicaltrials.gov/ct2/show/NCT02430311	Homo sapiens										false
20	8			23725625	434.4628	OLAPARIB	OLAPARIB	FC1=C(C=C(CC2=NNC(=O)C3=C2C=CC=C3)C=C1)C(=O)N4CCN(CC4)C(=O)C5CC5	PLASMA	WOH1JD9AR8									?	μg × h/mL	36.53							mg	300		SINGLE							UNHEALTHY	Oral		EXPERIMENT	https://clinicaltrials.gov/ct2/show/NCT02430311	Homo sapiens										false
21	8		UNKNOWN	23725625	434.4628	OLAPARIB	OLAPARIB	FC1=C(C=C(CC2=NNC(=O)C3=C2C=CC=C3)C=C1)C(=O)N4CCN(CC4)C(=O)C5CC5	PLASMA	WOH1JD9AR8																						UNKNOWN				The in vitro protein binding of olaparib is approximately 82%	18	UNKNOWN		UNKNOWN	DRUG LABEL	https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/208558s001lbl.pdf	Homo sapiens										false
22	8		ADULT	23725625	434.4628	OLAPARIB	OLAPARIB	FC1=C(C=C(CC2=NNC(=O)C3=C2C=CC=C3)C=C1)C(=O)N4CCN(CC4)C(=O)C5CC5	BLOOD	WOH1JD9AR8							12		t	μg × h/mL	31.7		μg/mL	6.88			UNKNOWN	mg	300		SINGLE	UNKNOWN						UNHEALTHY	Oral	FEMALE / MALE	EXPERIMENT	https://www.ncbi.nlm.nih.gov/pubmed/30887180	Homo sapiens		h	6.52							false
23	8		ADULT	23725625	434.4628	OLAPARIB	OLAPARIB	FC1=C(C=C(CC2=NNC(=O)C3=C2C=CC=C3)C=C1)C(=O)N4CCN(CC4)C(=O)C5CC5	BLOOD	WOH1JD9AR8							12		t	μg × h/mL	10.9		μg/mL	2.97			UNKNOWN	mg	100		MULTIPLE	UNKNOWN		day	2			UNHEALTHY	Oral	FEMALE / MALE	EXPERIMENT	https://www.ncbi.nlm.nih.gov/pubmed/30887180	Homo sapiens		h	7.17							false
24	8		ADULT	23725625	434.4628	OLAPARIB	OLAPARIB	FC1=C(C=C(CC2=NNC(=O)C3=C2C=CC=C3)C=C1)C(=O)N4CCN(CC4)C(=O)C5CC5	BLOOD	WOH1JD9AR8									∞	μg × h/mL	44		μg/mL	8.27			UNKNOWN	mg	300		STEADY-STATE	UNKNOWN		day	2			UNHEALTHY	Oral	FEMALE / MALE	EXPERIMENT	https://www.ncbi.nlm.nih.gov/pubmed/30887180	Homo sapiens										false
25	8		ADULT	23725625	434.4628	OLAPARIB	OLAPARIB	FC1=C(C=C(CC2=NNC(=O)C3=C2C=CC=C3)C=C1)C(=O)N4CCN(CC4)C(=O)C5CC5	BLOOD	WOH1JD9AR8									∞	μg × h/mL	16.7		μg/mL	3.75			UNKNOWN	mg	100		STEADY-STATE	UNKNOWN		day	2			UNHEALTHY	Oral	FEMALE / MALE	EXPERIMENT	https://www.ncbi.nlm.nih.gov/pubmed/30887180	Homo sapiens										false
26	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R									∞	mg × h/L	1.26		mg/L	0.44			UNKNOWN	mg	50		SINGLE	FASTED						HEALTHY	Oral	MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/21709093/	Homo sapiens		h	3.8							false
27	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R									∞	mg × h/L	4.08		mg/L	1.9			UNKNOWN	mg	200		SINGLE	FASTED						HEALTHY	Oral	FEMALE / MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/21709093/	Homo sapiens		h	4.06							false
28	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R									∞	mg × h/L	29.2		mg/L	11.1			UNKNOWN	mg	800		SINGLE	FASTED						HEALTHY	Oral	FEMALE / MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/21709093/	Homo sapiens		h	10.5							false
29	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R							24		t	mg × h/L	3.76		mg/L	1.69			UNKNOWN	mg	150		SINGLE	FASTED						HEALTHY	Oral	FEMALE / MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/21709093/	Homo sapiens										false
30	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R							24		t	mg × h/L	4.01		mg/L	1.5			UNKNOWN	mg	150		MULTIPLE	FASTED		day	1			HEALTHY	Oral	FEMALE / MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/21709093/	Homo sapiens		h	5.3							false
31	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R							24		t	mg × h/L	8.75		mg/L	2.96			UNKNOWN	mg	300		SINGLE	FASTED						HEALTHY	Oral	FEMALE / MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/21709093/	Homo sapiens										false
32	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R							24		t	mg × h/L	9.09		mg/L	4.15			UNKNOWN	mg	300		MULTIPLE	FASTED		day	1			HEALTHY	Oral	FEMALE / MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/21709093/	Homo sapiens		h	6.5							false
33	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R							24		t	mg × h/L	18.7		mg/L	7.67			UNKNOWN	mg	600		SINGLE	FASTED						HEALTHY	Oral	MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/21709093/	Homo sapiens										false
34	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R							24		t	mg × h/L	19.2		mg/L	6.76			UNKNOWN	mg	600		MULTIPLE	FASTED		day	1			HEALTHY	Oral	MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/21709093/	Homo sapiens		h	8.8							false
35	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R							24		t	mg × h/L	20.8		mg/L	8.68			UNKNOWN	mg	800		SINGLE	FASTED						HEALTHY	Oral	MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/21709093/	Homo sapiens										false
36	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R							24		t	mg × h/L	26.1		mg/L	8.95			UNKNOWN	mg	800		MULTIPLE	FASTED		day	1			HEALTHY	Oral	MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/21709093/	Homo sapiens		h	14							false
37	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R									∞	mg × h/L	6.85		mg/L	2.56			UNKNOWN	mg	200		SINGLE	UNKNOWN						HEALTHY	Intravenous	MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/28784673/	Homo sapiens		h	10.6							false
38	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R									∞	mg × h/L	14.7		mg/L	6			UNKNOWN	mg	400		SINGLE	UNKNOWN						HEALTHY	Intravenous	MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/28784673/	Homo sapiens		h	12.1							false
39	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R									∞	mg × h/L	21.8		mg/L	8			UNKNOWN	mg	600		SINGLE	UNKNOWN						HEALTHY	Intravenous	MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/28784673/	Homo sapiens		h	11.7							false
40	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R									∞	mg × h/L	31.7		mg/L	13.3			UNKNOWN	mg	800		SINGLE	UNKNOWN						HEALTHY	Intravenous	FEMALE / MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/28784673/	Homo sapiens		h	15.3							false
41	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R									∞	mg × h/L	46.9		mg/L	20.2			UNKNOWN	mg	1000		SINGLE	UNKNOWN						HEALTHY	Intravenous	FEMALE / MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/28784673/	Homo sapiens		h	17.1							false
42	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R							24		t	mg × h/L	21.8		mg/L	8.84			UNKNOWN	mg	600		SINGLE	UNKNOWN						HEALTHY	Intravenous	FEMALE / MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/28784673/	Homo sapiens										false
43	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R							24		t	mg × h/L	24.3		mg/L	9.15			UNKNOWN	mg	600		MULTIPLE	UNKNOWN		day	1			HEALTHY	Intravenous	FEMALE / MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/28784673/	Homo sapiens		h	11.9							false
44	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R							24		t	mg × h/L	32		mg/L	11.5			UNKNOWN	mg	800		SINGLE	UNKNOWN						HEALTHY	Intravenous	MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/28784673/	Homo sapiens										false
45	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R							24		t	mg × h/L	35.4		mg/L	37.8			UNKNOWN	mg	800		MULTIPLE	UNKNOWN		day	1			HEALTHY	Intravenous	MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/28784673/	Homo sapiens		h	15							false
46	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R							24		t	mg × h/L	49.8		mg/L	17.1			UNKNOWN	mg	1000		SINGLE	UNKNOWN						HEALTHY	Intravenous	FEMALE / MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/28784673/	Homo sapiens										false
47	9		ADULT	11567473	398.3877	FINAFLOXACIN	FINAFLOXACIN	OC(=O)C1=CN(C2CC2)C3=C(C#N)C(N4C[C@@H]5NCCO[C@H]5C4)=C(F)C=C3C1=O	PLASMA	D26OSN9Q4R							24		t	mg × h/L	64.1		mg/L	18.1			UNKNOWN	mg	1000		MULTIPLE	UNKNOWN		day	1			HEALTHY	Intravenous	FEMALE / MALE	EXPERIMENT	https://pubmed.ncbi.nlm.nih.gov/28784673/	Homo sapiens		h	16.9							false
48	10		UNKNOWN	40632	185.2218	PIRFENIDONE	PIRFENIDONE	CC1=CN(C(=O)C=C1)C2=CC=CC=C2	PLASMA	D7NLD2JX7U																						UNKNOWN				binds to human plasma proteins, primarily to serum albumin, in a concentration-independent manner over the range of concentrations observed in clinical trials. The overall mean binding was 58% at concentrations observed in clinical studies (1 to 10 ug/mL).	42	HEALTHY		UNKNOWN	DRUG LABEL	https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/022535s000lbl.pdf	Homo sapiens		h	3							false
49	10		ADULT	40632	185.2218	PIRFENIDONE	PIRFENIDONE	CC1=CN(C(=O)C=C1)C2=CC=CC=C2	PLASMA	D7NLD2JX7U									∞	ng × h/mL	98000		ng/mL	6560			RECOMMENDED	mg	801		SINGLE	HIGH-FAT						HEALTHY	Oral	FEMALE / MALE	EXPERIMENT	https://www.ncbi.nlm.nih.gov/pubmed/28808905	Homo sapiens		h	2.75							false
50	11		UNKNOWN	9809715	539.6248	NINTEDANIB	NINTEDANIB	COC(=O)C1=CC2=C(C=C1)\\C(C(=O)N2)=C(\\NC3=CC=C(C=C3)N(C)C(=O)CN4CCN(C)CC4)C5=CC=CC=C5	PLASMA	G6HRD2P839																						UNKNOWN				The in vitro protein binding of nintedanib in human plasma was high, with a bound fraction of 97.8%	2.2	UNKNOWN		UNKNOWN	DRUG LABEL	https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/205832s000lbl.pdf	Homo sapiens										false
51	11		ADULT	9809715	539.2533	NINTEDANIB	NINTEDANIB	COC(=O)C1=CC2=C(C=C1)\\C(C(=O)N2)=C(\\NC3=CC=C(C=C3)N(C)C(=O)CN4CCN(C)CC4)C5=CC=CC=C5	PLASMA	G6HRD2P839									∞	ng × h/mL	56.2		ng/mL	8.4			UNKNOWN	mg	100		SINGLE	FASTED						HEALTHY	Oral	MALE	EXPERIMENT	https://www.ncbi.nlm.nih.gov/pubmed/27093880	Homo sapiens		h	11.7							false
