domain	field	field name in merged curated file	field type	data type	dictionary	format	description
toxicity	toxicity_sex	sex	main	dictionary	toxicity_sex		Sex of studied population
toxicity	toxicity_age_group_median	age_med	main	double			Median age of the studied population
toxicity	toxicity_age_group_from	age_min	main	double			Youngest age of the studied patients
toxicity	toxicity_age_group_to	age_max	main	double			Oldest age of the studied patients
toxicity	toxicity_age_group	age	main	string			Age group of studied population (adult, children, adolescent etc)
toxicity	toxicity_food_status		main	string			How the drug was administered in relation to food (e.g patient was fed, fasted, food status unknown). Note that in current version food status was not curated
toxicity	toxicity_health_status	health_status	main	dictionary	toxicity_health_status		Health status of Tox population (healthy, unhealthy, pregnant, unknown)
toxicity	toxicity_do	disease	main	string			Name of the disease for unhealthy population
toxicity	toxicity_do_id		main	string		DOID	DOID for diseases
toxicity	toxicity_experiment_type	adm_type	main	dictionary	toxicity_experiment_type		How many times the drug was administered (single, steady-state, multiple)
toxicity	toxicity_exp_other_types		technical	string			Technical fields to store non-standard experiment types
toxicity	toxicity_routes	route	main	dictionary	toxicity_routes		Route of administration (oral, intravenous etc)
toxicity	toxicity_adm_other_routes		technical	string			Technical fields to store non-standard administration routes
toxicity	toxicity_dose_type	dose_type	main	dictionary	toxicity_dose_type		Type of the dose administered (recommended, MTD, max daily etc)
toxicity	toxicity_dose_other_types		technical	string			Technical fields to store non-standard type of administered dose
toxicity	toxicity_dose_value	dose_value	main	integer			Dose value
toxicity	toxicity_dose_units	dose_units	main	dictionary	toxicity_dose_units	dose	Dose units
toxicity	toxicity_dose_other_units		technical	string			Technical field to store dose units
toxicity	toxicity_diff_dose_type	diff_dose_type	main	dictionary	toxicity_diff_dose_type		For the cases when different doses were administered to different patients or at different times - type of the provided dose
toxicity	toxicity_dose_comment	dosing_comment	main	string			Curator comments on dosing regimen
toxicity	toxicity_duration	adm_duration	main	string			Duration of the drug administration
toxicity	toxicity_duration_units	adm_duration_units	main	dictionary	toxicity_duration_units		Units of drug administration duration
toxicity	toxicity_frequency_times	adm_frequency	main	integer			Administration frequency: how many times the drug was administered in a specified period of time
toxicity	toxicity_frequency_period	adm_period	main	dictionary	toxicity_frequency_period		Administration frequency: what's time period corresponding to the frequency
toxicity	toxicity_frequency_other_period		technical	string			Technical field for storing other periods
toxicity	toxicityappcombo		technical	boolean			Technical field that gets enabled when drug was used in combination
toxicity	tox_application_query	coadm_1_drug	main	string			Name of the 1st combination drug
toxicity	tox_application_pt		technical	string			Standard name for the 1st combination drug
toxicity	tox_application_mw		technical	double			Mw for the 1st combination drug
toxicity	tox_application_smiles		technical	string		SMILES	SMILES for the 1st combination drug
toxicity	tox_application_cid		technical	string		PubChem ID	PubChem ID for the 1st combination drug
toxicity	tox_application_unii		technical	string		UNII	UNII for the 1st combination drug
toxicity	tox_application_dosing_comment	coadm_1_frequency	main	string			Information about administration of the 1st combination drug
toxicity	tox_application_query_2	coadm_2_drug	main	string			Name of the 2nd combination drug
toxicity	tox_application_pt_2		technical	string			Standard name for the 2nd combination drug
toxicity	tox_application_dosing_comment_2	coadm_2_frequency	main	string			Information about administration of the 2nd combination drug
toxicity	tox_application_query_3	coadm_3_drug	main	string			Name of the 3rd combination drug
toxicity	tox_application_pt_3		technical	string			Standard name for the 3rd combination drug
toxicity	tox_application_dosing_comment_3	coadm_3_frequency	main	string			Information about administration of the 3rd combination drug
adverseevents	id		PK	integer			ID of the adverse event
adverseevents	tox_id		FK	integer			ID of the toxicity study where AE was observed
adverseevents	adverseevents_liability	ae	main	string		MedDRA	Name of the adverse event. In current FRDB release AEs are normalized using MedDRA dictionary
adverseevents	adverseevents_frequency	ae_frequency	main	string		ae_frequency	Frequency of the adverse event can be provided in % or in number of patients with AE.
adverseevents	adverseevents_frequency_units		technical	string			Units for the adverse event frequency. Note that this field is not populated
adverseevents	adverseevents_severity	ae_grade	main	dictionary	adverseevents_severity		Severity of the adverse events
adverseevents	adverseevents_type	ae_is_disc	main	dictionary	adverseevents_type		Does AE lead to treatment discontinuation or dose reduction?
adverseevents	adverseevents_dlt	ae_is_dlt	main	dictionary	ae_is_dlt		Is AE a DLT?
adverseevents	adverseevents_comment	ae_comment	main	string			Curator comments about adverse events
ddi	id		PK	integer			Id of the DDI record
ddi	compound_id		FK	integer			Compound ID
ddi	ddi_metabolyte	metabolite	main	string			Name of the metabolite (empty for the parent drug)
ddi	ddi_url	url	main	string		URL	URL of the data source
ddi	ddi_page	page	main	string			Page of the source document, or study identifier
ddi	ddi_target	target	main	string			Target for DDI interaction
ddi	ddi_relation	relation	main	dictionary	ddi_relation		Relation between drug and target (substrate, inhibitor, activator etc)
ddi	ddi_reported_magnitude	reported_magnitude	main	string			Reported magnitude of relationship between the drug and target
ddi	ddi_magnitude	magnitude	main	dictionary	ddi_magnitude		Standardized magnitude of relatioship between the drug and target
ddi	ddi_type	type	main	dictionary	ddi_type		Type of the measurement characterizing relationship between the drug and target (IC50, Ki etc)
ddi	ddi_activity	activity	main	double			For the activity or inhibition measured in % - the value of activity at specified concentration
ddi	ddi_concentration	value	main	double			Value of IC50/Ki in uM, or concentration (in uM) at which activity was reported
ddi	ddi_comment	comment	technical	string			Curator comments on the in vitro / preclinical measurements
ddi	ddi_clin_support	clinical_support	main	dictionary	ddi_clin_support		Does clinical investigation support interaction between drug and its DDI target? (yes, no, weak, likely, unlikely)
ddi	ddi_clin_evidence	clinical_evidence	main	dictionary	ddi_clin_evidence		What type of clinical experiment was done to show support / lack of support for DDI interaction?
ddi	ddi_clin_comment	clinical_comment	main	string			Curator comment on ddi interaction, and summary of clinical experiment
sourcing	id		PK	integer			ID of the sourcing record
sourcing	compound_id		FK	integer			Compound ID
sourcing	sourcing_vendor_type	vendor_type	main	dictionary	sourcing_vendor_type		Vendor type (database, aggregator)
sourcing	sourcing_vendor_name	vendor_name	main	string			Name of the vendor
sourcing	sourcing_vendor_substance_id	vendor_id	main	string			Id of the compound on the vendor's page
sourcing	sourcing_vendor_substance_url	vendor_url	main	string		URL	URL to the page with compound
compound	compound_id		PK	integer			Compound ID
compound	compound_name	drug	main	string			Compound name
compound	compound_unii		main	string		UNII	Compound UNII
