id	compound_id	toxicity_adm_other_routes	toxicity_age_group	toxicity_dose_other_types	toxicity_dose_other_units	toxicity_dose_type	toxicity_dose_units	toxicity_dose_value	toxicity_exp_other_types	toxicity_experiment_type	toxicity_food_status	toxicity_frequency_other_period	toxicity_frequency_period	toxicity_frequency_times	toxicity_health_status	toxicity_routes	toxicity_sex	toxicity_source_type	toxicity_source_uri	toxicity_species	tox_application_smiles	toxicity_do_id	tox_application_pt_3	tox_application_cid	tox_application_unii	toxicity_age_group_median	toxicity_diff_dose_type	tox_application_dosing_comment_2	tox_application_pt_2	toxicity_dose_comment	toxicityappcombo	toxicity_age_group_to	toxicity_population_size	toxicity_do	tox_application_dosing_comment	tox_application_mw	tox_application_query_3	tox_application_query	toxicity_age_group_from	tox_application_pt	tox_application_dosing_comment_3	toxicity_duration	toxicity_duration_units	tox_application_query_2	toxicity_source_page
18	4						mg	130		single					healthy	intravenous	M		https://pubmed.ncbi.nlm.nih.gov/18508948	Homo sapiens						30.5						45	17						18						
19	5		adult			Highest studied dose	mg	400		multiple			day	2	healthy	intravenous	M		https://pubmed.ncbi.nlm.nih.gov/27805571/	Homo sapiens																						8	day		
20	5		adult			Highest studied dose	mg	400		multiple			day	2	healthy	intravenous	M+F		https://pubmed.ncbi.nlm.nih.gov/27317305/	Homo sapiens																						6	day		
21	5		adult			Highest studied dose	mg	600		multiple			day	1	healthy	intramuscular	unknown		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/206426Orig1s000ClinPharmR.pdf	Homo sapiens																									60
22	5		adult			Highest studied dose	mg	800		multiple			day	1	healthy	intravenous	M		https://pubmed.ncbi.nlm.nih.gov/27805571/	Homo sapiens																						8	day		
23	5		adult			Highest studied dose	mg	800		multiple			day	1	healthy	intravenous	M+F		https://pubmed.ncbi.nlm.nih.gov/27317305/	Homo sapiens																						6	day		
24	5		adult			Minumum effective dose	mg	300		multiple			day	1	unhealthy	intravenous	unknown		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/206426Orig1s000ClinPharmR.pdf	Homo sapiens													363	acute uncomplicated influenza											98
25	5		adult			Recommended	mg	600		multiple			day	1	unhealthy	intravenous	unknown		https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/206426lbl.pdf	Homo sapiens													654	H1N1											4
26	5		adult			Recommended	mg	600		multiple			day	1	unhealthy	intravenous	unknown		https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/206426lbl.pdf	Homo sapiens													660	H1N1											4
27	5		adult			Recommended	mg	600		multiple			day	1	unhealthy	intravenous	unknown		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/206426Orig1s000ClinPharmR.pdf	Homo sapiens													365	acute uncomplicated influenza											98
28	5		adult				mg	600		single					unhealthy	intramuscular	M+F		https://clinicaltrials.gov/ct2/show/NCT00705406	Homo sapiens													200	Influenza											
29	5					Studied dose	mg/kg	11.4		steady			day	1	unhealthy	intravenous	M+F		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6836703/	Homo sapiens							median					9.8	7	H1N1					2.4			11	day		500
30	6					Highest studied dose	mg	1000		steady			day	3	healthy	intravenous	M+F		https://pubmed.ncbi.nlm.nih.gov/20457817	Homo sapiens						33				infused over 1 h every 8 h			6						33			10	day		
31	6					Highest studied dose	mg	1500		steady			day	2	healthy	intravenous	M+F		https://pubmed.ncbi.nlm.nih.gov/20457817	Homo sapiens						33				received 1,500 mg infused over 1 h every 12 h			6						33			10	day		
32	6					Highest studied dose	mg	2000		single					healthy	intravenous	M+F		https://pubmed.ncbi.nlm.nih.gov/20457817	Homo sapiens						29.5				CXA-101 was given as a 1-hour intravenous infusion at dose of 2,000 mg			6						29.5			1	hour		
33	7		adult			Highest studied dose	mg	1600		multiple			day	2	healthy	oral			https://pubmed.ncbi.nlm.nih.gov/28258380	Homo sapiens																						7	day		
34	7		adult			Highest studied dose	mg	2000		single					healthy	oral			https://pubmed.ncbi.nlm.nih.gov/28258380	Homo sapiens																									
35	7		adult				mg	600		multiple			day	2	unhealthy	oral			https://pubmed.ncbi.nlm.nih.gov/28258380	Homo sapiens														hepatitis C virus								2	day		
36	8					Highest studied dose	mg	600		steady			day	2	unhealthy	oral			https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/206162Orig1s000ClinPharmR.pdf	Homo sapiens													52	advanced solid tumors								14	day		p. 8
37	8					Recommended	mg	300		steady			day	2	unhealthy	oral			https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208558s000lbl.pdf	Homo sapiens													195	gBRCAm ovarian cancer								19.4	month		
38	8					Recommended	mg	300		steady			day	2	unhealthy	oral			https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208558s000lbl.pdf |https://www.accessdata.fda.gov/drugsatfda_docs/nda/2017/208558Orig1s000MultidisciplineR.pdf	Homo sapiens													195	gBRCAm ovarian cancer								19.4	month		p. 99
39	8					Recommended	mg	300		steady			day	2	unhealthy	oral			https://www.accessdata.fda.gov/drugsatfda_docs/nda/2017/208558Orig1s000MultidisciplineR.pdf	Homo sapiens													195	gBRCAm ovarian cancer								19.4	month		p. 99
40	8					Recommended|MTD	mg	400		steady			day	2	unhealthy	oral			https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/206162lbl.pdf	Homo sapiens										400 mg BID was the MTD for the capsule formulation			223	gBRCA-mutated advanced ovarian cancer								158	day		
41	8					Recommended|MTD	mg	400		steady			day	2	unhealthy	oral			https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/206162lbl.pdf	Homo sapiens										400 mg BID was the MTD for the capsule formulation			2618	gBRCA-mutated advanced ovarian cancer								158	day		
42	8					Recommended|MTD	mg	400		steady			day	2	unhealthy	oral			https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/206162lbl.pdf	Homo sapiens										400 mg BID was the MTD for the capsule formulation				gBRCA-mutated advanced ovarian cancer								158	day		
43	8					Recommended|MTD	mg	400		steady			day	2	unhealthy	oral			https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/206162lbl.pdf |https://www.accessdata.fda.gov/drugsatfda_docs/nda/2017/208558Orig1s000MultidisciplineR.pdf	Homo sapiens										400 mg BID was the MTD for the capsule formulation			223	gBRCA-mutated advanced ovarian cancer								158	day		p. 101
44	9					Highest studied dose	mg	1000		multiple			day	1	healthy	intravenous	M+F		https://pubmed.ncbi.nlm.nih.gov/28784673	Homo sapiens													8									7	day		p.4
45	9					Highest studied dose	mg	800		multiple			day	1	healthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/21709093	Homo sapiens													6									7	day		p.4390
46	9					Recommended	%	0.3		multiple			day	2	unhealthy	topical	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/206307Orig1s000CrossR.pdf	Homo sapiens										4 drops in the affected ear			618	Acute otitis externa								7	day		p.18, p.21
47	9					Recommended	%	0.3		multiple			day	2	unhealthy	topical			https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/206307s000lbl.pdf	Homo sapiens										4 drops in the affected ear. Prolonged use				Acute otitis externa								7	day		p.1
48	10		adult				mg	800		steady			day	3	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT03099187	Homo sapiens										Participants will receive pirfenidone 267 mg capsule three times a day from Day 1 to 7 followed by 2 capsules three times a day from Day 8 to 14 then 3 capsules three times a day from Day 15 up to Week 24.			127	Interstitial Lung Disease								24	week		
49	10		adult				mg	801		steady			day	3	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT00001596	Homo sapiens													23	Pulmonary Fibrosis of Hermansky-Pudlak Syndrome								36	month		
50	10		adult				mg	801		steady			day	3	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT01366209	Homo sapiens													278	Idiopathic Pulmonary Fibrosis								52	week		
51	10					Recommended	mg	2403		steady			day	1	unhealthy	oral	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/022535s000lbl.pdf	Homo sapiens						67						80	623	idiopathic pulmonary fibrosis					40			62	week		
52	10					Recommended	mg	2403		steady			day	1	unhealthy	oral	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/022535Orig1s000CrossR.pdf	Homo sapiens						67						80	623	idiopathic pulmonary fibrosis					40			62	week		p. 23
53	11		adult			MTD	mg	250		steady			day	2	unhealthy	oral			https://pubmed.ncbi.nlm.nih.gov/25795637	Homo sapiens													11	advanced solid tumors								28	day		
54	11		adult			Overdose	mg	600		multiple			day	1	unhealthy	oral			https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/205832s000lbl.pdf	Homo sapiens													1	idiopathic pulmonary fibrosis								21	day		
55	11		adult			Overdose	mg	600		multiple			day	2	unhealthy	oral			https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/205832s000lbl.pdf	Homo sapiens													2	cancer								8	day		
56	11		adult				mg	150		steady			day	2	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT01979952	Homo sapiens													56	Idiopathic Pulmonary Fibrosis								6	month		
57	11		adult				mg	150		steady			day	2	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT02597933	Homo sapiens							max			Patients were administered orally 150 milligram (mg) soft gelatin capsules, twice daily with a possibility to interrupt treatment or to reduce to 100mg to manage adverse events.			288	Systemic Sclerosis								52	week		
58	11		adult				mg	150		steady			day	2	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT02999178	Homo sapiens													332	Interstitial Lung Disease								52	week		
59	11					Recommended	mg	150		steady			day	2	unhealthy	oral	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/205832s000lbl.pdf	Homo sapiens						67				equivalent to 180.60 mg nintedanib ethanesulfonate		89	723	idiopathic pulmonary fibrosis					42			10	month		
60	11					Recommended	mg	150		steady			day	2	unhealthy	oral	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/205832Orig1s000CrossR.pdf	Homo sapiens						67				equivalent to 180.60 mg nintedanib ethanesulfonate		89	723	idiopathic pulmonary fibrosis					42			10	month		p. 15
61	11					Recommended	mg	150		steady			day	2	unhealthy	oral	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/205832Orig1s000MedR.pdf	Homo sapiens						67				equivalent to 180.60 mg nintedanib ethanesulfonate		89	723	idiopathic pulmonary fibrosis					42			10	month		p. 87
62	11					Recommended	mg	150		steady			day	2	unhealthy	oral	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/205832Orig1s000MedR.pdf	Homo sapiens						67				equivalent to 180.60 mg nintedanib ethanesulfonate		89	723	idiopathic pulmonary fibrosis					42			10	month		p. 88
63	11						mg	200		steady			day	1	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/19846979	Homo sapiens						61							6						61			28	day		
64	11						mg	250		steady			day	1	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/19846979	Homo sapiens						61							4						61			28	day		
65	13					Highest studied dose	mg	90		multiple			day	1	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/22314425	Homo sapiens						49							10	genotype 1 hepatitis C					49			3	day		
66	14		adult			Recommended	mg	25		steady			day	1	unhealthy	oral	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/204760Orig1s000MedR.pdf	Homo sapiens													446									12	week		p. 83
67	14		adult				mg	12.5		steady			day	1	unhealthy	oral	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/204760Orig1s000MedR.pdf	Homo sapiens													441									12	week		p. 83
68	14		adult				mg	25		multiple			day	1	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT02839889	Homo sapiens													3	Opioid-Induced Constipation								2	week		
69	14					Highest studied dose	mg	1000		single					healthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/27137715	Homo sapiens												45	6						18						
70	14					Highest studied dose	mg	250		steady			day	2	healthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/27137716	Homo sapiens						59						65	6						18			7	day		
71	15					Highest studied dose	mg/kg	30		single			day	1	healthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/20864621/	Homo sapiens						26							74									1	day		
72	15					MTD	mg	200		multiple			day	2	healthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/20864621/	Homo sapiens						28							24									21	day		
73	15					MTD	mg/kg	20		single			day	1	healthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/20864621/	Homo sapiens						26							74									1	day		
74	15					Studied dose	mg	100		multiple			day	2	unhealthy	oral	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/205494Orig1s000MedR.pdf	Homo sapiens						37.1	mean			Among these 393 patients, 349/393 patients (89%) received eliglustat for at least 6 months, 204/393 patients (52%) received eliglustat for at least 12 months 62/393 patients (16%) have received eliglustat for at least 24 months, and 19/393 (5%) have received eliglustat for at least 60 months.			393	Gaucher disease type 1								6	month		nda/2014/205494Orig1s000MedR.pdf - p.135
75	15					Studied dose	mg	100		multiple			day	2	unhealthy	oral	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/205494Orig1s000MedR.pdf	Homo sapiens						37.1	mean			Among these 393 patients, 349/393 patients (89%) received eliglustat for at least 6 months, 204/393 patients (52%) received eliglustat for at least 12 months 62/393 patients (16%) have received eliglustat for at least 24 months, and 19/393 (5%) have received eliglustat for at least 60 months.			393	Gaucher disease type 1								6	month		nda/2014/205494Orig1s000MedR.pdf - p.140
76	15					Studied dose	mg	350		multiple			day	2	healthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/20864621/	Homo sapiens						28							24									21	day		
77	16		adult				mg	20		steady			day	1	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT01097616	Homo sapiens										After a 2-week single-blind placebo Run-in, participants received suvorexant LD (20 mg for participants aged 18 to <65 years; and 15 mg for participants aged ≥65 years) daily before bedtime during the 3-month DB TRT Phase, and could continue on same dose during the optional 3-month DB EXT Phase.			254	Insomnia								3	month		
78	16		adult				mg	20		steady			day	1	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT01097629	Homo sapiens										After a 2-week single-blind placebo Run-in, participants received suvorexant LD (20 mg for participants aged 18 to <65 years; and 15 mg for participants aged ≥65 years) daily before bedtime during the 3-month DB TRT Phase, and could continue on same dose during the optional 3-month DB EXT Phase.			239	Insomnia								3	month		
79	16		adult				mg	20		steady			day	1	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT02750306	Homo sapiens							max						142	Insomnia								4	week		
80	16		adult				mg	40		steady			day	1	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT01097616	Homo sapiens										After a 2-week single-blind placebo Run-in, participants received suvorexant HD (40 mg for participants aged 18 to <65 years; and 30 mg for participants aged ≥65 years) daily before bedtime during the 3-month DB TRT Phase, and could continue on same dose during the optional 3-month DB EXT Phase.			383	Insomnia								3	month		
81	16		adult				mg	40		steady			day	1	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT01097629	Homo sapiens										After a 2-week single-blind placebo Run-in, participants received suvorexant HD (40 mg for participants aged 18 to <65 years; and 30 mg for participants aged ≥65 years) daily before bedtime during the 3-month DB TRT Phase, and could continue on same dose during the optional 3-month DB EXT Phase.			387	Insomnia								3	month		
82	16					Highest studied dose	mg	100		steady			day	1	healthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/29705869	Homo sapiens						34.3				The dosing period (19 days in total) consisted of the following 3 parts: administration of a single suvorexant dose, a 120 h (5 day) washout period, and administration of a once nightly suvorexant dose for 14 consecutive days			6						34.3			14	day		
83	19		adult			Recommended	mg	150		steady			day	2	unhealthy	oral			https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/205858lbl.pdf	Homo sapiens																						5	month		
84	19					Highest studied dose	mg	350		multiple			day	2	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/24615776	Homo sapiens						64						91	4	non-Hodgkin lymphoma					32			28	day		
85	19					Recommended	mg	150		steady			day	2	unhealthy	oral	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/205858lbl.pdf	Homo sapiens						71						92	110	Relapsed Chronic Lymphocytic Leukemia					47			5	month		
86	20					Highest studied dose	%	7.5		multiple			day	1	unhealthy	topical	M+F		https://pubmed.ncbi.nlm.nih.gov/24894552/ | https://pubmed.ncbi.nlm.nih.gov/25226015/ | https://pubmed.ncbi.nlm.nih.gov/27224843/	Homo sapiens										Study 200/200A had 6 months duration and 60 participants		65	15	onychomycosis					18			28	day		
87	20					Recommended	%	5		multiple			day	1	unhealthy	topical	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/204427Orig1s000MedR.pdf	Homo sapiens						55							194	onychomycosis								336	day		nda/2014/204427Orig1s000MedR.pdf - p.79
88	20					Recommended	%	5		multiple			day	1	unhealthy	topical	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/204427Orig1s000MedR.pdf	Homo sapiens						55							194	onychomycosis								52	week		nda/2014/204427Orig1s000MedR.pdf - p.78
89	20					Recommended	%	5		multiple			day	1	unhealthy	topical	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/204427Orig1s000MedR.pdf	Homo sapiens						55							205	onychomycosis								336	day		nda/2014/204427Orig1s000MedR.pdf - p.79
90	20					Recommended	%	5		multiple			day	1	unhealthy	topical	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/204427Orig1s000MedR.pdf	Homo sapiens						55							791	onychomycosis								336	day		nda/2014/204427Orig1s000MedR.pdf - p.83
91	20					Recommended	%	5		multiple			day	1	unhealthy	topical	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/204427Orig1s000MedR.pdf	Homo sapiens						55							791	onychomycosis								336	day		nda/2014/204427Orig1s000MedR.pdf - p.85
92	21					Highest studied dose	mg/m2	1200		steady			day	1	unhealthy	intravenous	M+F		https://pubmed.ncbi.nlm.nih.gov/18245542	Homo sapiens						58.5				Belinostat was administered i.v. as a 30-min nfusion daily on days 1 to 5 of a 21-day cycle.		74	5	advanced malignancy refractory					25			5	day		
93	21					Recommended|MTD	mg/m2	1000		steady			day	1	unhealthy	intravenous	M+F		https://pubmed.ncbi.nlm.nih.gov/18245542	Homo sapiens						58.5				Belinostat was administered i.v. as a 30-min nfusion daily on days 1 to 5 of a 21-day cycle.		74	18	advanced malignancy refractory					25			5	day		
94	21					Recommended|MTD	mg/m2	1000		steady			day	1	unhealthy	intravenous	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/206256lbl.pdf	Homo sapiens						64				1,000 mg/m2 administered over 30 minutes by IV infusion once daily on Days 1-5 of a 21-day cycle.		81	129	relapsed or refractory peripheral T-cell lymphoma					29			5	day		
95	21						mg/m2	600		steady			day	1	unhealthy	intravenous	M+F		https://pubmed.ncbi.nlm.nih.gov/18245542	Homo sapiens						58.5				Belinostat was administered i.v. as a 30-min nfusion daily on days 1 to 5 of a 21-day cycle.		74	6	advanced malignancy refractory					25			5	day		
96	22		ADULT			Highest studied dose	mg	1200		single					healthy	oral	unknown		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/205435Orig1s000MedR.pdf	Homo sapiens													46									1	day		229
97	22		ADULT			Highest studied dose	mg	400		multiple			day	1	healthy	oral	unknown		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/205435Orig1s000MedR.pdf	Homo sapiens							total daily dose						8									21	day		229
98	22		ADULT			Studied dose	mg	200		multiple			day	1	unhealthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/32064090/	Homo sapiens						34	total daily dose						1	bacterial infectious disease	25mg per day		paroxetine	enalapril			40mg per day	4	day	amitriptyline	52-4
99	22		ADULT			Studied dose	mg	200		multiple			day	1	unhealthy	oral	M		https://pubmed.ncbi.nlm.nih.gov/33884276/	Homo sapiens						64				median duration			14	bacterial infectious disease								48	day		ofab093
100	23		adult			Recommended	%	10		multiple			day	1	healthy	topical			https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/203567Orig1s000MedR.pdf	Homo sapiens													239									8	week		/nda/2014/203567Orig1s000MedR.pdf - p.108
101	23					Recommended	%	10		multiple			day	1	unhealthy	topical	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/203567Orig1s000MedR.pdf	Homo sapiens						51							1227	onychomycosis								52	week		/nda/2014/203567Orig1s000MedR.pdf - p.103
102	23					Recommended	%	10		multiple			day	1	unhealthy	topical	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/203567Orig1s000MedR.pdf	Homo sapiens						51							1227	onychomycosis								52	week		/nda/2014/203567Orig1s000MedR.pdf - p.104
103	23					Recommended	%	10		multiple			day	1	unhealthy	topical	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/203567Orig1s000MedR.pdf	Homo sapiens						51							1227	onychomycosiss								52	week		/nda/2014/203567Orig1s000MedR.pdf - p.103
104	24		adult			Recommended	mg	2.5		multiple			day	1	unhealthy	oral	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/204886Orig1s000MedR.pdf	Homo sapiens										2.08 mg of vorapaxar, which is equivalent to 2.5 mg of vorapaxar sulfate			13186									30	day		p. 142
105	24		adult			Recommended	mg	2.5		multiple			day	1	unhealthy	oral			https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/204886s000lbl.pdf	Homo sapiens										2.08 mg of vorapaxar, which is equivalent to 2.5 mg of vorapaxar sulfate				intracranial hemorrhage | transient ischemic attack								30	day		
106	24					Highest studied dose	mg	40		single					unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/19286091	Homo sapiens						63.5	starting						173	coronary artery disease					63.5						
107	25					MTD	mg	750		steady			day	1	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/26020125 | https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/211225s000lbl.pdf	Homo sapiens						54						81	189	ALK-positive NSCLC patients					22			18	month		
108	25					MTD	mg	750		steady			day	1	unhealthy	oral	M+F		https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/211225s000lbl.pdf	Homo sapiens						53							255	ALK-positive NSCLC patients					53			18	month		
109	25					Recommended	mg	450		steady			day	1	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/26020125	Homo sapiens						37							6	ALK-positive NSCLC patients					37						
110	25					Recommended	mg	450		steady			day	1	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/26020125 |https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/211225s000lbl.pdf	Homo sapiens						37							6	ALK-positive NSCLC patients					37			32.1	week		
111	25					Recommended	mg	450		steady			day	1	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/26020125 |https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/211225s000lbl.pdf	Homo sapiens						37							6	ALK-positive NSCLC patients					37						
112	25						mg	600		steady			day	1	unhealthy	oral	M+F		https://pubmed.ncbi.nlm.nih.gov/26020125/	Homo sapiens						39							4	ALK-positive NSCLC patients					39						
113	27		adult				mg	150		steady			day	1	unhealthy	oral	M+F		https://clinicaltrials.gov/ct2/show/NCT01170949	Homo sapiens							max|total daily dose			50 or 100 or 150mg per day			50	Chronic Urticaria								28	day		
114	27					MTD	mg	300		multiple			week	1	unhealthy	oral	M+F		https://www.karger.com/Article/Abstract/217014	Homo sapiens													15	cancer								8	week		
