id	adverseevents_frequency	adverseevents_frequency_units	adverseevents_liability	adverseevents_severity	adverseevents_type	adverseevents_comment	adverseevents_dlt	tox_id
55	20		Drowsiness					6
56	20		Language disorder					6
57			Tachycardia			OVERDOSAGE		9
58			Mental status changes			OVERDOSAGE		8
59			Thought disorder					4
60			Mental concentration difficult					4
61	75		Dry mouth					7
62	68.8		Sleepiness					7
63	25		Dizziness					7
64	18.8		Constipation					7
65	6.3		Palpitations					7
66	6.3		Malaise					7
67	51.8		Drowsiness					5
68	7.4		Nausea					5
69	7.4		Headache					5
70	63		Dry mouth					5
71	7.4		Thirst					5
72	7.4		Tiredness					5
73	18.5		Bad taste					5
74	7.4		Attention concentration difficulty					5
75	3.7		Hyperglycaemia					5
76	10		Drowsiness		discontinuation			5
77	10		Dry mouth		discontinuation			5
78						No AEs are reported		18
79	1 pts		Nausea					15
80	1 pts		Vomiting					15
81	1 pts		Fanconi syndrome					15
82	40		Gastrointestinal symptom NOS	mild				11
83	18		Skin rash					11
84			ALT increased					11
85			AST increased					11
86			Toxicity renal			WARNING		16
87			Hepatotoxicity			WARNING		16
88			Gastrointestinal hemorrhage			WARNING		16
89	2 pts		Abnormal liver function tests		discontinuation	leads to discontinuation		17
90	2 pts		Drug-induced hepatitis		discontinuation	leads to discontinuation		17
91	1 pts		Skin rash		discontinuation	leads to discontinuation		17
92	1 pts		Glycosuria		discontinuation	leads to discontinuation		17
93	1 pts		Proteinuria		discontinuation	leads to discontinuation		17
94	1 pts		Henoch-Schonlein purpura		discontinuation	leads to discontinuation		17
95	1 pts		Hyperactivity		discontinuation	leads to discontinuation		17
96	1 pts		Insomnia		discontinuation	leads to discontinuation		17
97	1 pts		Drug fever		discontinuation	leads to discontinuation		17
98	1 pts		Cataract		discontinuation	leads to discontinuation		17
99	1 pts		Hepatitis		discontinuation	leads to dose interruption		13
100	1 pts		Nausea					14
101	1 pts		Diarrhea					14
102						No AEs are reported		12
103	4 pts		Vomiting	below serious				28
104	11 pts		Blood creatine phosphokinase increased	below serious				28
105	4 pts		Injection site pain	below serious				28
106						No information on AE is provided. Multiple intravenous infusions of peramivir were well tolerated up to 800 mg once a day and 400 mg twice daily for 6 days.		23
107						No information on AE is provided. Multiple intravenous infusions of peramivir were well tolerated up to 800 mg once a day and 400 mg twice daily for 6 days.		20
108						No information on AE is provided.		22
109						No information on AE is provided.		19
110	3		Alanine aminotransferase	grade 2-4				25
111	5		Serum glucose	grade 2-4				26
112	4		Creatine phosphokinase	grade 2-4				25
113	8		Neutrophils	grade 2-4				25
114						No information on AE is provided		21
115	<1		Lymphadenopathy		discontinuation	leads to discontinuation		24
116	<1		Gingival pain		discontinuation	leads to discontinuation		24
117	<1		Salivary gland pain		discontinuation	leads to discontinuation		24
118	<1		Rash		discontinuation	leads to discontinuation		24
119	<1		Abdominal pain upper		discontinuation	leads to discontinuation		27
120	<1		Arthralgia		discontinuation	leads to discontinuation		27
121	<1		Drug eruption		discontinuation	leads to discontinuation		27
122	<1		Eczema		discontinuation	leads to discontinuation		27
123	<1		Rash		discontinuation	leads to discontinuation		27
124	42.9		Leukopenia					29
125	14.3		Neutropenia					29
126	42.9		Hyperglycemia					29
127	28.6		Hypertension					29
128	14.3		AST increased					29
129	14.3		ALT increased					29
130	14.3		Diarrhea					29
131						No AEs are reported		32
132	1 pts		Flushing					30
133						No AEs are reported		31
134						No AEs are reported		33
135						No AEs are reported		34
136						No AEs are reported		35
137	<1		Myelodysplastic syndrome	grade 5	discontinuation	WARNING		41
138	<1		Acute myeloid leukemia	grade 5	discontinuation	WARNING		41
139	<1		Pneumonitis	grade 5	discontinuation	WARNING		42
140	16		Anemia	grade 1-2				40
141	18		Anemia	grade 3-4				40
142	35		Abdominal discomfort	grade 1-2				40
143	8		Abdominal discomfort	grade 3-4				40
144	21		Decreased appetite	grade 1-2				40
145	1		Decreased appetite	grade 3-4				40
146	30		Diarrhea	grade 1-2				40
147	1		Diarrhea	grade 3-4				40
148	25		Dyspepsia	grade 1-4				40
149	58		Asthenia	grade 1-2				40
150	8		Asthenia	grade 3-4				40
151	26		Nasopharyngitis	grade 1-4				40
152	21		Arthralgia	grade 1-4				40
153	21		Musculoskeletal pain	grade 1-4				40
154	22		Myalgia	grade 1-4				40
155	18		Neutropenia	grade 1-2				40
156	7		Neutropenia	grade 3-4				40
157	39		Lymphopenia	grade 1-2				40
158	17		Lymphopenia	grade 3-4				40
159	57		Mean corpuscular volume increased	grade 1-4				40
160	28		Creatinine increased	grade 1-2				40
161	2		Creatinine increased	grade 3-4				40
162	10-20		Cough					40
163	10-20		Constipation					40
164	10-20		Dysgeusia					40
165	10-20		Peripheral edema					40
166	10-20		Back pain					40
167	10-20		Dizziness					40
168	10-20		Headache					40
169	10-20		Urinary tract infection					40
170	10-20		Dyspnea					40
171	10-20		Rash					40
172	1-10		Leukopenia					40
173	1-10		Stomatitis					40
174	1-10		Peripheral neuropathy					40
175	1-10		Pyrexia					40
176	1-10		Hypomagnesemia					40
177	1-10		Hyperglycemia					40
178	1-10		Anxiety					40
179	1-10		Depression					40
180	1-10		Insomnia					40
181	1-10		Dysuria					40
182	1-10		Urinary incontinence					40
183	1-10		Vulvovaginal disorder					40
184	1-10		Dry skin					40
185	1-10		Eczema					40
186	1-10		Pruritis					40
187	1-10		Hypertension					40
188	1-10		Venous thrombosis					40
189	1-10		Hot flush					40
190	61		Nausea	grade 1-2	discontinuation	leads to dose reduction or interruption		43
191	3		Nausea	grade 3-4	discontinuation	leads to dose reduction or interruption		43
192	39		Vomiting	grade 1-2	discontinuation	leads to dose reduction or interruption		43
193	4		Vomiting	grade 3-4	discontinuation	leads to dose reduction or interruption		43
194	58		Fatigue	grade 1-2	discontinuation	leads to dose reduction or interruption		43
195	8		Fatigue	grade 3-4	discontinuation	leads to dose reduction or interruption		43
196	75		Anemia	grade 1-2	discontinuation	leads to dose reduction or interruption		43
197	15		Anemia	grade 3-4	discontinuation	leads to dose reduction or interruption		43
198	27		Thrombocytopenia	grade 1-2	discontinuation	leads to dose interruption		43
199	3		Thrombocytopenia	grade 3-4	discontinuation	leads to dose interruption		43
200	62		Fatigue	grade 1-2	discontinuation	leads to dose interruption or reduction		37
201	4		Fatigue	grade 3-4	discontinuation	leads to dose interruption or reduction		37
202	31		Diarrhea	grade 1-2				37
203	2		Diarrhea	grade 3-4				37
204	19		Abscess oral	grade 1-2				37
205	19		Aphthous ulcer	grade 1-2				37
206	19		Gingival abscess	grade 1-2				37
207	19		Gingival disorder	grade 1-2				37
208	19		Gingival pain	grade 1-2				37
209	19		Gingivitis	grade 1-2				37
210	19		Mouth ulceration	grade 1-2				37
211	19		Mucosal infection	grade 1-2				37
212	19		Mucosal inflammation	grade 1-2				37
213	19		Oral candidiasis	grade 1-2				37
214	19		Oral discomfort	grade 1-2				37
215	19		Oral herpes	grade 1-2				37
216	19		Oral infection	grade 1-2				37
217	19		Oral mucosal erythema	grade 1-2				37
218	19		Oral pain	grade 1-2				37
219	19		Oropharyngeal discomfort	grade 1-2				37
220	19		Oropharyngeal pain	grade 1-2				37
221	1		Abscess oral	grade 3-4				37
222	1		Aphthous ulcer	grade 3-4				37
223	1		Gingival abscess	grade 3-4				37
224	1		Gingival disorder	grade 3-4				37
225	1		Gingival pain	grade 3-4				37
226	1		Gingivitis	grade 3-4				37
227	1		Mouth ulceration	grade 3-4				37
228	1		Mucosal infection	grade 3-4				37
229	1		Mucosal inflammation	grade 3-4				37
230	1		Oral candidiasis	grade 3-4				37
231	1		Oral discomfort	grade 3-4				37
232	1		Oral herpes	grade 3-4				37
233	1		Oral infection	grade 3-4				37
234	1		Oral mucosal erythema	grade 3-4				37
235	1		Oral pain	grade 3-4				37
236	1		Oropharyngeal discomfort	grade 3-4				37
237	1		Oropharyngeal pain	grade 3-4				37
238	36		Nasopharyngitis	grade 1-4				37
239	36		Sinusitis	grade 1-4				37
240	36		Rhinitis	grade 1-4				37
241	36		Influenza	grade 1-4				37
242	22		Decreased appetite	grade 1-4				37
243	30		Arthralgia	grade 1-4				37
244	30		Myalgia	grade 1-4				37
245	27		Dysgeusia	grade 1-4				37
246	25		Headache	grade 1-2				37
247	1		Headache	grade 3-4				37
248	<20		Rash					37
249	<20		Cough					37
250	<20		Dyspepsia					37
251	<20		Leukopenia					37
252	<20		Hypomagnesemia					37
253	<20		Dizziness					37
254	<20		Thrombocytopenia					37
255	<20		Creatinine increased					37
256	<20		Lymphopenia					37
257	<20		Edema					37
258	89		Mean corpuscular volume increased	grade 1-4				37
259	66		Decreased hemoglobin	grade 1-2				37
260	17		Decreased hemoglobin	grade 3-4				37
261	64		Leukocyte count decreased	grade 1-2				37
262	5		Leukocyte count decreased	grade 3-4				37
263	56		Lymphocyte count low	grade 1-2				37
264	11		Lymphocyte count low	grade 3-4				37
265	44		Absolute neutrophil count decreased	grade 1-2				37
266	7		Absolute neutrophil count decreased	grade 3-4				37
267	44		Creatinine serum increased	grade 1-4				37
268	40		Platelets decreased	grade 1-2				37
269	2		Platelets decreased	grade 3-4				37
270	24		Anemia	grade 1-2	discontinuation	leads to dose interruption or reduction |leads to discontinuation		38
271	20		Anemia	grade 3-4	discontinuation	leads to dose interruption or reduction |leads to discontinuation		38
272	9		Neutropenia		discontinuation	leads to dose interruption or reduction |leads to discontinuation		38
273	73		Nausea	grade 1-2	discontinuation	leads to dose interruption		38
274	3		Nausea	grade 3-4	discontinuation	leads to dose interruption		38
275	34		Vomiting	grade 1-2	discontinuation	leads to dose interruption		38
276	3		Vomiting	grade 3-4	discontinuation	leads to dose interruption		38
277						No information on AEs is available		36
278	9 pts		Thrombocytopenia		discontinuation	leads to discontinuation | leads to dose interruption		39
279	2 pts		Myelodysplastic syndrome		discontinuation	leads to discontinuation		39
280	2 pts		Acute myeloid leukemia		discontinuation	leads to discontinuation		39
281						AEs not specified		45
282						AEs not specified		44
283			Overgrowth of nonsusceptible organisms					47
284			Allergic reaction					47
285	1.3		Ear pruritus					46
286	1.1		Nausea					46
287	2 pts		Chest pain	serious				49
288	1 pts		Deep vein thrombosis	serious				49
289	1 pts		Haematochezia	serious				49
290	2 pts		Respiratory failure	serious				49
291	1 pts		Arthralgia	below serious				49
292	3 pts		Chest pain	below serious				49
293	4 pts		Dizziness	below serious				49
294	2 pts		Drug eruption	below serious				49
295	12 pts		Dyspepsia	below serious				49
296	2 pts		Fatigue	below serious				49
297	4 pts		Nausea	below serious				49
298	3 pts		Palpitations	below serious				49
299	2 pts		Photosensitivity reaction	below serious				49
300	1 pts		Somnolence	below serious				49
301	1 pts		Transaminases increased	below serious				49
302	1 pts		Vertigo	below serious				49
303	1 pts		Thrombocytopenia	serious				50
304	1 pts		Acute myocardial infarction	serious				50
305	3 pts		Angina pectoris	serious				50
306	1 pts		Arrhythmia	serious				50
307	1 pts		Cardiac arrest	serious				50
308	2 pts		Cardiac failure congestive	serious				50
309	1 pts		Mitral valve incompetence	serious				50
310	1 pts		Myocardial ischaemia	serious				50
311	1 pts		Sick sinus syndrome	serious				50
312	1 pts		Abdominal pain	serious				50
313	1 pts		Gastrointestinal haemorrhage	serious				50
314	1 pts		Ileus	serious				50
315	1 pts		Melaena	serious				50
316	3 pts		Nausea	serious				50
317	1 pts		Peptic ulcer haemorrhage	serious				50
318	1 pts		Umbilical hernia, obstructive	serious				50
319	1 pts		Volvulus	serious				50
320	1 pts		Vomiting	serious				50
321	1 pts		Hepatitis	serious				50
322	1 pts		Lower respiratory tract infection	serious				50
323	1 pts		Urinary tract infection	serious				50
324	1 pts		Viral upper respiratory tract infection	serious				50
325	1 pts		Ankle fracture	serious				50
326	1 pts		Hand fracture	serious				50
327	2 pts		Fracture rib	serious				50
328	1 pts		Road traffic accident	serious				50
329	1 pts		Traumatic brain injury	serious				50
330	1 pts		Alanine aminotransferase increased	serious				50
331	1 pts		Aspartate aminotransferase increased	serious				50
332	1 pts		Weight decreased	serious				50
333	1 pts		Arthritis	serious				50
334	1 pts		Cervical spinal stenosis	serious				50
335	1 pts		Intervertebral disc protrusion	serious				50
336	1 pts		Osteoarthritis	serious				50
337	1 pts		Rotator cuff syndrome	serious				50
338	1 pts		Gastric cancer	serious				50
339	1 pts		Hepatic neoplasm malignant	serious				50
340	1 pts		Hypopharyngeal cancer	serious				50
341	1 pts		Ischaemic stroke	serious				50
342	1 pts		Spinal cord compression	serious				50
343	1 pts		Psychotic disorder	serious				50
344	1 pts		Urethral pain	serious				50
345	1 pts		Urinary retention	serious				50
346	1 pts		Benign prostatic hyperplasia	serious				50
347	1 pts		Cough	serious				50
348	1 pts		Hypoxia	serious				50
349	1 pts		Interstitial lung disease	serious				50
350	20 pts		Abdominal pain upper	below serious				50
351	62 pts		Diarrhoea	below serious				50
352	49 pts		Dyspepsia	below serious				50
353	33 pts		Gastrooesophageal reflux	below serious				50
354	100 pts		Nausea	below serious				50
355	24 pts		Stomach discomfort	below serious				50
356	36 pts		Vomiting	below serious				50
357	16 pts		Asthenia	below serious				50
358	38 pts		Bronchitis	below serious				50
359	14 pts		Influenza	below serious				50
360	33 pts		Nasopharyngitis	below serious				50
361	61 pts		Upper respiratory tract infection	below serious				50
362	35 pts		Weight decreased	below serious				50
363	44 pts		Anorexia	below serious				50
364	20 pts		Decreased appetite	below serious				50
365	26 pts		Arthralgia	below serious				50
366	14 pts		Musculoskeletal pain	below serious				50
367	49 pts		Dizziness	below serious				50
368	25 pts		Dysgeusia	below serious				50
369	72 pts		Headache	below serious				50
370	31 pts		Insomnia	below serious				50
371	70 pts		Cough	below serious				50
372	16 pts		Photosensitivity reaction	below serious				50
373	27 pts		Pruritis	below serious				50
374	78 pts		Rash	below serious				50
375	58 pts		Fatigue	below serious				50
376	1 pts		Cardiac failure	serious				48
377	1 pts		Cardiac failure congestive	serious				48
378	1 pts		Retinal detachment	serious				48
379	1 pts		Campylobacter gastroenteritis	serious				48
380	1 pts		Gastroenteritis	serious				48
381	1 pts		Influenza	serious				48
382	1 pts		Respiratory tract infection	serious				48
383	1 pts		Respiratory tract infection bacterial	serious				48
384	1 pts		Urinary tract infection	serious				48
385	1 pts		Urosepsis	serious				48
386	1 pts		Procedural pain	serious				48
387	1 pts		Spinal fracture	serious				48
388	1 pts		Wrist fracture	serious				48
389	1 pts		Decreased appetite	serious				48
390	1 pts		Gout	serious				48
391	1 pts		Hyponatraemia	serious				48
392	1 pts		Musculoskeletal pain	serious				48
393	1 pts		Prostate cancer	serious				48
394	1 pts		Loss of consciousness	serious				48
395	1 pts		Chronic obstructive pulmonary disease	serious				48
396	1 pts		Cough	serious				48
397	1 pts		Pulmonary embolism	serious				48
398	1 pts		Respiratory disorder	serious				48
399	7 pts		Constipation	below serious				48
400	23 pts		Diarrhoea	below serious				48
401	17 pts		Dyspepsia	below serious				48
402	10 pts		Gastrooesophageal reflux disease	below serious				48
403	40 pts		Nausea	below serious				48
404	14 pts		Vomiting	below serious				48
405	21 pts		Fatigue	below serious				48
406	10 pts		Bronchitis	below serious				48
407	7 pts		Nasopharyngitis	below serious				48
408	11 pts		Respiratory tract infection	below serious				48
409	12 pts		Upper respiratory tract infection	below serious				48
410	11 pts		Weight decreased	below serious				48
411	18 pts		Decreased appetite	below serious				48
412	8 pts		Back pain	below serious				48
413	13 pts		Headache	below serious				48
414	7 pts		Depression	below serious				48
415	19 pts		Cough	below serious				48
416	8 pts		Photosensitivity reaction	below serious				48
417	9 pts		Rash	below serious				48
418	1.3		Rash		discontinuation	leads to discontinuation		51
419	1.1		Nausea		discontinuation	leads to discontinuation		51
420	3		Rash		discontinuation	leads to dose reduction or interruption		51
421	3		Nausea		discontinuation	leads to dose reduction or interruption		51
422	3		Diarrhea		discontinuation	leads to dose reduction or interruption		51
423	3		Photosensitivity reaction		discontinuation	leads to dose reduction or interruption		51
424	0.8		Weight decreased		discontinuation	leads to discontinuation		52
425	0.6		Photosensitivity reaction		discontinuation	leads to discontinuation		52
426	0.5		Respiratory failure		discontinuation	leads to discontinuation		52
427	0.5		Hepatic enzyme increased		discontinuation	leads to discontinuation		52
428	0.5		Bladder cancer		discontinuation	leads to discontinuation		52
429	0.3		Vomiting		discontinuation	leads to discontinuation		52
430	0.3		GERD		discontinuation	leads to discontinuation		52
431	0.3		Malaise		discontinuation	leads to discontinuation		52
432	0.3		Dysgeusia		discontinuation	leads to discontinuation		52
433	1 pts		Cardiogenic shock	serious				56
434	1 pts		Myocardial infarction	serious				56
435	1 pts		Intestinal infarction	serious				56
436	1 pts		Clostridium difficile infection	serious				56
437	1 pts		Influenza	serious				56
438	1 pts		Lyme disease	serious				56
439	1 pts		Sepsis	serious				56
440	1 pts		Vascular graft complication	serious				56
441	1 pts		Liver function test increased	serious				56
442	1 pts		Hypocalcaemia	serious				56
443	1 pts		Hypokalaemia	serious				56
444	1 pts		Hyponatraemia	serious				56
445	1 pts		Polymyalgia rheumatica	serious				56
446	1 pts		Spinal column stenosis	serious				56
447	1 pts		Osteoarthritis spinal	serious				56
448	1 pts		Adenocarcinoma	serious				56
449	1 pts		Benign neoplasm of adrenal gland	serious				56
450	1 pts		Squamous cell carcinoma	serious				56
451	1 pts		Ataxia	serious				56
452	1 pts		Chronic obstructive pulmonary disease	serious				56
453	1 pts		Hypoxia	serious				56
454	1 pts		Pulmonary hypertension	serious				56
455	1 pts		Pulmonary oedema	serious				56
456	2 pts		Respiratory failure	serious				56
457	43 pts		Diarrhoea	below serious				56
458	5 pts		Gastrooesophageal reflux disease	below serious				56
459	10 pts		Vomiting	below serious				56
460	11 pts		Fatigue	below serious				56
461	8 pts		Influenza	below serious				56
462	3 pts		Lower respiratory tract infection	below serious				56
463	4 pts		Respiratory tract infection	below serious				56
464	3 pts		Tooth abscess	below serious				56
465	4 pts		Eosinophil count increased	below serious				56
466	3 pts		International normalised ratio increased	below serious				56
467	3 pts		Prothrombin time prolonged	below serious				56
468	13 pts		Weight decreased	below serious				56
469	12 pts		Decreased appetite	below serious				56
470	5 pts		Dizziness	below serious				56
471	5 pts		Idiopathic pulmonary fibrosis	below serious				56
472	3 pts		Oropharyngeal pain	below serious				56
473	1 pts		Leukopenia	serious				57
474	1 pts		Thrombotic microangiopathy	serious				57
475	1 pts		Arrhythmia	serious				57
476	1 pts		Atrioventricular block complete	serious				57
477	1 pts		Cardiac failure	serious				57
478	1 pts		Cardiac failure congestive	serious				57
479	1 pts		Palpitations	serious				57
480	1 pts		Pericardial effusion	serious				57
481	1 pts		Pleuropericarditis	serious				57
482	1 pts		Ventricular fibrillation	serious				57
483	1 pts		Vertigo	serious				57
484	1 pts		Glaucoma	serious				57
485	1 pts		Retinal detachment	serious				57
486	1 pts		Colitis	serious				57
487	1 pts		Gastrointestinal disorder	serious				57
488	1 pts		Haematochezia	serious				57
489	1 pts		Ileus	serious				57
490	1 pts		Ileus paralytic	serious				57
491	1 pts		Intestinal pseudo-obstruction	serious				57
492	1 pts		Lower gastrointestinal haemorrhage	serious				57
493	1 pts		Pancreatitis acute	serious				57
494	1 pts		Rectal haemorrhage	serious				57
495	1 pts		Upper gastrointestinal haemorrhage	serious				57
496	1 pts		Multiple organ dysfunction syndrome	serious				57
497	1 pts		Systemic inflammatory response syndrome	serious				57
498	1 pts		Bile duct stone	serious				57
499	1 pts		Cholecystitis	serious				57
500	1 pts		Hepatocellular injury	serious				57
501	1 pts		Liver disorder	serious				57
502	1 pts		Liver injury	serious				57
503	2 pts		Anti-neutrophil cytoplasmic antibody positive vasculitis	serious				57
504	1 pts		Adenovirus infection	serious				57
505	1 pts		Appendicitis	serious				57
506	1 pts		Device related infection	serious				57
507	2 pts		Diverticulitis	serious				57
508	2 pts		Gangrene	serious				57
509	1 pts		Gastroenteritis	serious				57
510	1 pts		Influenza	serious				57
511	2 pts		Lower respiratory tract infection	serious				57
512	10 pts		Pneumonia	serious				57
513	1 pts		Pneumonia bacterial	serious				57
514	1 pts		Pyelonephritis	serious				57
515	3 pts		Respiratory tract infection	serious				57
516	2 pts		Sepsis	serious				57
517	1 pts		Septic shock	serious				57
518	1 pts		Skin infection	serious				57
519	1 pts		Systemic candida	serious				57
520	1 pts		Urinary tract infection	serious				57
521	1 pts		Urosepsis	serious				57
522	1 pts		Femur fracture	serious				57
523	1 pts		Joint dislocation	serious				57
524	1 pts		Postoperative ileus	serious				57
525	1 pts		Forced vital capacity decreased	serious				57
526	1 pts		Haemoglobin decreased	serious				57
527	1 pts		Neutrophil count decreased	serious				57
528	1 pts		White blood cell count decreased	serious				57
529	1 pts		Hypokalaemia	serious				57
530	1 pts		Arthritis	serious				57
531	1 pts		Musculoskeletal pain	serious				57
532	1 pts		Osteonecrosis	serious				57
533	1 pts		Polymyalgia rheumatica	serious				57
534	1 pts		Scleroderma	serious				57
535	1 pts		Basal cell carcinoma	serious				57
536	1 pts		Benign mesothelioma	serious				57
537	1 pts		Adenocarcinoma lung	serious				57
538	1 pts		Malignant melanoma	serious				57
539	1 pts		Mesothelioma malignant	serious				57
540	2 pts		Squamous cell carcinoma of skin	serious				57
541	1 pts		Sweat gland tumour	serious				57
542	1 pts		Cerebral amyloid angiopathy	serious				57
543	1 pts		Cerebral microhaemorrhage	serious				57
544	1 pts		Cerebrovascular disorder	serious				57
545	1 pts		Depressed level of consciousness	serious				57
546	1 pts		Seizure	serious				57
547	1 pts		Haemorrhage subarachnoid	serious				57
548	1 pts		Syncope	serious				57
549	1 pts		Delirium	serious				57
550	1 pts		Major depression	serious				57
551	3 pts		Acute kidney injury	serious				57
552	1 pts		Scleroderma renal crisis	serious				57
553	1 pts		Benign prostatic hyperplasia	serious				57
554	3 pts		Ovarian cyst	serious				57
555	1 pts		Acute lung injury	serious				57
556	1 pts		Hypoxia	serious				57
557	10 pts		Interstitial lung disease	serious				57
558	1 pts		Painful respiration	serious				57
559	2 pts		Pleural effusion	serious				57
560	2 pts		Aspiration pneumonia	serious				57
561	1 pts		Pneumothorax spontaneous	serious				57
562	5 pts		Pulmonary hypertension	serious				57
563	1 pts		Actinic keratosis	serious				57
564	1 pts		Digital pitting scar	serious				57
565	1 pts		Deep vein thrombosis	serious				57
566	2 pts		Extremity necrosis	serious				57
567	1 pts		Hypertensive crisis	serious				57
568	1 pts		Peripheral arterial occlusive disease	serious				57
569	1 pts		Peripheral artery occlusion	serious				57
570	1 pts		Vena cava thrombosis	serious				57
571	36 pts		Abdominal pain	below serious				57
572	21 pts		Abdominal pain upper	below serious				57
573	218 pts		Diarrhoea	below serious				57
574	96 pts		Nausea	below serious				57
575	78 pts		Vomiting	below serious				57
576	33 pts		Fatigue	below serious				57
577	20 pts		Pyrexia	below serious				57
578	16 pts		Influenza	below serious				57
579	22 pts		Alanine aminotransferase increased	below serious				57
580	16 pts		Aspartate aminotransferase increased	below serious				57
581	19 pts		Gamma-glutamyltransferase increased	below serious				57
582	39 pts		Weight decreased	below serious				57
583	28 pts		Decreased appetite	below serious				57
584	20 pts		Back pain	below serious				57
585	16 pts		Myalgia	below serious				57
586	15 pts		Pain in extremity	below serious				57
587	19 pts		Dizziness	below serious				57
588	34 pts		Headache	below serious				57
589	56 pts		Skin ulcer	below serious				57
590	1 pts		Blood loss anaemia	serious				58
591	3 pts		Acute myocardial infarction	serious				58
592	1 pts		Arteriosclerosis coronary artery	serious				58
593	5 pts		Atrial fibrillation	serious				58
594	1 pts		Bradycardia	serious				58
595	1 pts		Cardiac arrest	serious				58
596	3 pts		Cardiac failure	serious				58
597	1 pts		Cardiac failure chronic	serious				58
598	1 pts		Coronary artery occlusion	serious				58
599	1 pts		Supraventricular tachycardia	serious				58
600	1 pts		Mixed deafness	serious				58
601	1 pts		Retinal vascular thrombosis	serious				58
602	1 pts		Colitis ischaemic	serious				58
603	1 pts		Constipation	serious				58
604	3 pts		Diarrhoea	serious				58
605	1 pts		Dyspepsia	serious				58
606	3 pts		Gastrointestinal haemorrhage	serious				58
607	1 pts		Gastrooesophageal reflux disease	serious				58
608	1 pts		Haematemesis	serious				58
609	1 pts		Haemorrhoids	serious				58
610	1 pts		Pancreatitis	serious				58
611	1 pts		Pancreatitis acute	serious				58
612	1 pts		Rectal prolapse	serious				58
613	1 pts		Asthenia	serious				58
614	2 pts		Condition aggravated	serious				58
615	1 pts		Death	serious				58
616	1 pts		Cholecystitis acute	serious				58
617	6 pts		Drug-induced liver injury	serious				58
618	3 pts		Liver injury	serious				58
619	2 pts		Appendicitis	serious				58
620	1 pts		Atypical pneumonia	serious				58
621	1 pts		Bacterial sepsis	serious				58
622	1 pts		Clostridium difficile colitis	serious				58
623	2 pts		Diverticulitis	serious				58
624	1 pts		Gastroenteritis norovirus	serious				58
625	1 pts		Herpes zoster oticus	serious				58
626	1 pts		Infection localised	serious				58
627	1 pts		Meningitis aseptic	serious				58
628	1 pts		Orchitis	serious				58
629	24 pts		Pneumonia	serious				58
630	1 pts		Pneumonia legionella	serious				58
631	1 pts		Pseudomembranous colitis	serious				58
632	1 pts		Pulmonary sepsis	serious				58
633	1 pts		Pyelonephritis acute	serious				58
634	2 pts		Septic shock	serious				58
635	1 pts		Skin infection	serious				58
636	1 pts		Staphylococcal sepsis	serious				58
637	2 pts		Urinary tract infection	serious				58
638	1 pts		Viral infection	serious				58
639	1 pts		Viral upper respiratory tract infection	serious				58
640	1 pts		Coronary artery restenosis	serious				58
641	2 pts		Spinal fracture	serious				58
642	1 pts		Thoracic vertebral fracture	serious				58
643	2 pts		Alanine aminotransferase increased	serious				58
644	2 pts		Aspartate aminotransferase increased	serious				58
645	1 pts		Rotavirus test positive	serious				58
646	1 pts		Transaminases increased	serious				58
647	1 pts		Hypokalaemia	serious				58
648	2 pts		Osteoarthritis	serious				58
649	1 pts		Polymyositis	serious				58
