Brand Name,Generic Name,Approval Date,Manufacturer,Drug Class
['Dove'],EVEN TONE PLUS NIACINAMIDE SHEA BUTTER AND VANILLA ANTIPERSPIRANT DEODORANT,20241106,['Conopco Inc. d/b/a/ Unilever'],N/A
['Acetaminophen'],ACETAMINOPHEN,20240124,['WALMART INC.'],N/A
['Dove'],EVEN TONE PLUS NIACINAMIDE ROSEWOOD AND POWDER ANTIPERSPIRANT DEODORANT,20241106,['Conopco Inc. d/b/a/ Unilever'],N/A
N/A,N/A,20211018,N/A,N/A
N/A,N/A,20150630,N/A,N/A
['Lamotrigine'],LAMOTRIGINE,20211031,"['Endo USA, Inc.']",N/A
['My Black is Beautiful Cooling Scalp Serum'],PYRITHIONE ZINC,20240703,['The Procter & Gamble Manufacturing Company'],N/A
N/A,N/A,20221214,N/A,N/A
N/A,N/A,20231201,N/A,N/A
N/A,N/A,20130516,N/A,N/A
N/A,N/A,20150529,N/A,N/A
N/A,N/A,20191030,N/A,N/A
['Dragon Pain Relieving Balm'],"CAMPHOR, MENTHOL",20230711,"['Americanna Wellness, Inc.']",N/A
['Dragon Pain Relieving Balm'],"CAMPHOR, MENTHOL",20230711,"['Americanna Wellness, Inc.']",N/A
['Dragon Pain Relieving Balm'],"CAMPHOR, MENTHOL",20230711,"['Americanna Wellness, Inc.']",N/A
['First Aid Burn Cream'],FIRST AID BURN CREAM,20230711,['ProStat First Aid LLC'],N/A
['Senna S'],"DOCUSATE SODIUM, SENNOSIDES",20221026,"['EQUATE (Wal-Mart Stores, Inc.) (see also WAL-MART INC)']",N/A
N/A,N/A,20191223,N/A,N/A
['allergy relief'],LORATADINE,20240822,['CVS Pharmacy'],N/A
N/A,N/A,20150320,N/A,N/A
['Cisplatin'],CISPLATIN,20240120,['Sagent Pharmaceuticals'],N/A
['Low Dose Aspirin Enteric Safety-Coated'],ASPIRIN,20240416,"['P & L Development, LLC']",N/A
['Artistry Youth Xtend Lifting Smoothing Foundation Shade Chiffon L2C1'],"OCTINOXATE, OXYBENZONE",20231023,['Amway Corp'],N/A
N/A,N/A,20160315,N/A,N/A
['Hydrocodone Bitartrate and Acetaminophen'],HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20241106,"['Northwind Pharmaceuticals, LLC']",N/A
N/A,N/A,20200917,N/A,N/A
N/A,N/A,20130912,N/A,N/A
['Equate SF Menthol Cough Drops'],MENTHOL,20230711,['WalMart'],N/A
['MILK OF MAGNESIA'],MAGNESIUM HYDROXIDE,20231108,['Strategic Sourcing Services LLC'],N/A
N/A,N/A,20201106,N/A,N/A
N/A,N/A,20211115,N/A,N/A
N/A,N/A,20161021,N/A,N/A
N/A,N/A,20211227,N/A,N/A
['Nicotine Polacrilex'],NICOTINE POLACRILEX,20240704,"[""Dr. Reddy's Laboratories Inc.""]",N/A
N/A,N/A,20190619,N/A,N/A
['Head and Shoulders Bare Minimal Ingredients'],PYRITHIONE ZINC,20240924,['The Procter & Gamble Manufacturing Company'],N/A
N/A,N/A,20210216,N/A,N/A
['Head and Shoulders Bare Minimal Ingredients Soothing Hydration'],PYRITHIONE ZINC,20240924,['The Procter & Gamble Manufacturing Company'],N/A
N/A,N/A,20210629,N/A,N/A
N/A,N/A,20130516,N/A,N/A
['NAIL RENU Antifungal'],MICONAZOLE NITRATE 2%,20230724,"['RENU LABORATORIES, INC.']",N/A
['Bismatrol'],BISMUTH SUBSALICYLATE,20240101,['Proficient Rx LP'],N/A
['Amlodipine Besylate'],AMLODIPINE BESYLATE,20240827,"['Lupin Pharmaceuticals, Inc.']",N/A
N/A,N/A,20200528,N/A,N/A
N/A,N/A,20210623,N/A,N/A
['Private Label Moisturizing Oil Free Paraben Free SPF43'],SUNSCREEN,20231107,"['Swiss-American CDMO, LLC']",N/A
N/A,N/A,20241023,N/A,N/A
N/A,N/A,20230712,N/A,N/A
['Aluminium Phosphoricum'],ALUMINIUM PHOSPHORICUM,20230711,"['Hahnemann Laboratories, INC.']",N/A
N/A,N/A,20201203,N/A,N/A
N/A,N/A,20181213,N/A,N/A
N/A,N/A,20230301,N/A,N/A
['perphenazine'],PERPHENAZINE,20230930,['Zydus Lifesciences Limited'],N/A
N/A,N/A,20200210,N/A,N/A
['Quick-Acting Wart Removal'],QUICK-ACTING WART REMOVAL,20230711,"['Shenzhenshi Liuxiang Yuntian Network Technology Co., Ltd.']",N/A
N/A,N/A,20191209,N/A,N/A
N/A,N/A,20210122,N/A,N/A
N/A,N/A,20221129,N/A,N/A
['Power Stick For Her Roll- On Antiperspirant Deodorant Powder Fresh'],ALUMINUM SESQUICHLOROHYDRATE,20240715,"['A.P. Deauville, LLC']",N/A
['Naproxen'],NAPROXEN,20240905,['Bryant Ranch Prepack'],N/A
N/A,N/A,20170810,N/A,N/A
['Foster and Thrive Lubricating Tears Lubricant Eye Drops'],"POLYETHYLENE GLYCOL 400, PROPYLENE GLYCOL",20231223,['Strategic Sourcing Services LLC'],N/A
N/A,N/A,20201002,N/A,N/A
N/A,N/A,20181220,N/A,N/A
N/A,N/A,20230711,N/A,N/A
['Foster and Thrive Redness Relief Eye Drops'],"GLYCERIN, NAPHAZOLINE HCL",20231223,['Strategic Sourcing Services LLC'],N/A
"['Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate']","BUTALBITAL, ACETAMINOPHEN, CAFFEINE, AND CODEINE PHOSPHATE",20200923,['Bryant Ranch Prepack'],N/A
N/A,N/A,20201127,N/A,N/A
['Daytime Cold and Flu'],"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL",20240327,['Family Dollar (FAMILY WELLNESS)'],N/A
N/A,N/A,20180625,N/A,N/A
N/A,N/A,20181205,N/A,N/A
N/A,N/A,20171121,N/A,N/A
['Rivastigmine Tartrate'],RIVASTIGMINE TARTRATE,20220321,['Alembic Pharmaceuticals Inc.'],N/A
['Ketorolac Tromethamine'],KETOROLAC TROMETHAMINE,20221012,"['Asclemed USA, Inc.']",N/A
N/A,N/A,20130408,N/A,N/A
N/A,N/A,20190815,N/A,N/A
N/A,N/A,20201126,N/A,N/A
N/A,N/A,20180214,N/A,N/A
N/A,N/A,20210510,N/A,N/A
['Histastat Pollen'],"BAPTISIA TINCTORIA, ECHINACEA (ANGUSTIFOLIA), ADRENALINUM, ALLIUM CEPA, AMBROSIA ARTEMISIAEFOLIA, ARSENICUM ALBUM, EUPHRASIA OFFICINALIS, HISTAMINUM HYDROCHLORICUM, NATRUM MURIATICUM, NATRUM SULPHURICUM, NUX VOMICA, PHOSPHORUS, PULSATILLA (PRATENSIS), SABADILLA, SINAPIS NIGRA, SOLIDAGO VIRGAUREA, SULPHUR, WYETHIA HELENIOIDES",20230512,"['Energique, Inc.']",N/A
N/A,N/A,20141207,N/A,N/A
N/A,N/A,20241024,N/A,N/A
N/A,N/A,20161117,N/A,N/A
N/A,N/A,20240528,N/A,N/A
N/A,N/A,20150216,N/A,N/A
N/A,N/A,20100322,N/A,N/A
N/A,N/A,20171128,N/A,N/A
N/A,N/A,20240925,N/A,N/A
['Dove'],TEENS STRAWBERRY SPARKLE 48H ANTIPERSPIRANT,20241106,"['Conopco, Inc. d/b/a Unilever']",N/A
['Dove'],ADVANCED COCONUT WATER AND LIME DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,20241106,"['Conopco, Inc. d/b/a Unilever']",N/A
"['Burn Ease, 3.5g']","BURN EASE, 3.5G",20230712,['ProStat First Aid LLC'],N/A
N/A,N/A,20200428,N/A,N/A
['Dipyridamole'],DIPYRIDAMOLE,20230916,['Zydus Pharmaceuticals USA Inc.'],N/A
['Naproxen'],NAPROXEN,20230727,['TruPharma LLC'],N/A
['Zolpidem'],ZOLPIDEM TARTRATE,20231206,"['NuCare Pharmaceuticals,Inc.']",N/A
['Degasa Hand Sanitizer Lemon Lime Scent'],ALCOHOL,20231105,"['Degasa, S.A. de C.V.']",N/A
['Acetaminophen'],ACETAMINOPHEN,20230928,"['NuCare Pharmaceuticals,Inc.']",N/A
N/A,N/A,20190923,N/A,N/A
['PROMETHAZINE HYDROCHLORIDE'],PROMETHAZINE HYDROCHLORIDE,20220421,['Quality Care Products LLC'],N/A
"['PS-3885 Burn Ease, 3.5g']","PS-3885 BURN EASE, 3.5G",20230712,['ProStat First Aid LLC'],N/A
N/A,N/A,20210318,N/A,N/A
"['PS-3866 Burn Ease, 0.9g']","PS-3866 BURN EASE, 0.9G",20230712,['ProStat First Aid LLC'],N/A
['Rompe Pechito DM for Kids'],"DEXTROMETHORPHAN HBR, GUAIFENESIN",20241107,['Efficient Laboratories Inc'],N/A
['Foster and Thrive Castor Oil'],CASTOR OIL,20230712,"['Strategic Sourcing Services, LLC']",N/A
N/A,N/A,20211214,N/A,N/A
N/A,N/A,20180418,N/A,N/A
['loratadine'],LORATADINE,20231109,['Rite Aid Corporation'],N/A
['TRAMADOL HYDROCHLORIDE'],TRAMADOL HYDROCHLORIDE,20231212,"['Sun Pharmaceutical Industries, Inc.']",N/A
['Triple Prep SPF 40'],"AVOBENZONE, OCTISALATE, OCTOCRYLENE, HOMOSALATE",20230712,"['Supergoop, LLC']",N/A
['Lorbrena'],LORLATINIB,20230322,['U.S. Pharmaceuticals'],N/A
N/A,N/A,20190820,N/A,N/A
N/A,N/A,20190624,N/A,N/A
N/A,N/A,20150617,N/A,N/A
['Allopurinol'],ALLOPURINOL,20240708,['Bryant Ranch Prepack'],N/A
N/A,N/A,20161010,N/A,N/A
['MeaStem First Aid and Antibiotic'],TETRACYCLINE HYDROCHLORIDE,20231202,"['MATRIX MIXOLOGY, INC']",N/A
['DCH Hemorrhoidal'],"GLYCERIN 14.4%, LIDOCAINE 5%, PETROLATUM 15%, PHENYLEPHRINE HCL 0.25%",20230712,"['Derma Care Research Labs, LLC']",N/A
['Gas Relief Ultra Strength'],SIMETHICONE,20240626,['Walgreens'],N/A
['Lidocaine Hydrochloride'],LIDOCAINE HYDROCHLORIDE,20240208,"['NuCare Pharmaceuticals,Inc.']",N/A
['Aluminium Sulphuricum'],ALUMINIUM SULPHURICUM,20230712,"['Hahnemann Laboratories, INC.']",N/A
"['PS - 2895 Triple Antibiotic , 0.5g']","PS - 2895 TRIPLE ANTIBIOTIC , 0.5G",20230712,['Prostat First Aid LLC'],N/A
N/A,N/A,20151105,N/A,N/A
N/A,N/A,20100325,N/A,N/A
['Amanita Pantherina'],AMANITA PANTHERINA,20230712,"['Hahnemann Laboratories, INC.']",N/A
N/A,N/A,20220407,N/A,N/A
['Diclofenac Sodium'],DICLOFENAC SODIUM,20240729,"['NuCare Pharmaceuticals,Inc.']",N/A
['Tofidence'],TOCILIZUMAB,20240729,['Biogen MA Inc.'],N/A
N/A,N/A,20230614,N/A,N/A
['Ammonium Bromatum'],AMMONIUM BROMATUM,20230712,"['Hahnemann Laboratories, INC.']",N/A
N/A,N/A,20151111,N/A,N/A
N/A,N/A,20200709,N/A,N/A
['KIZO LAB UV DEFENSE CLEAR SUNSCREN SPF50'],"AVOBENZONE,HOMOSALATE,OCTISALATE,OCTOCRYLENE",20240223,['YB CHEMIA LLC'],N/A
['Ammonium Carbonicum'],AMMONIUM CARBONICUM,20230712,"['Hahnemann Laboratories, INC.']",N/A
['Foster and Thrive Long Lasting Lubricant Eye Drops'],"POLYETHYLENE GLYCOL 400, PROPYLENE GLYCOL",20231223,['Strategic Sourcing Services LLC'],N/A
N/A,N/A,20231003,N/A,N/A
['Healing Support'],"BETULA (PENDULA) CORTEX, CALTHA PALUSTRIS, GALIUM APARINE, THUJA OCCIDENTALIS, URTICA URENS, CLEMATIS ERECTA, HEDERA HELIX, JUNIPERUS COMMUNIS, QUILLAJA SAPONARIA, SEMPERVIVUM TECTORUM, ECHINACEA (ANGUSTIFOLIA), ARGENTUM METALLICUM, CALCAREA FLUORICA, NITRICUM ACIDUM, SEDUM ACRE, PHOSPHORUS, APIS MELLIFICA, PYROGENIUM, ONONIS SPINOSA",20210114,"['Deseret Biologicals, Inc.']",N/A
N/A,N/A,20230105,N/A,N/A
N/A,N/A,20141212,N/A,N/A
N/A,N/A,20120719,N/A,N/A
['Mentholatum Pain Relieving'],"MENTHOL, METHYL SALICYLATE",20230207,['The Mentholatum Company'],N/A
N/A,N/A,20181031,N/A,N/A
N/A,N/A,20191104,N/A,N/A
N/A,N/A,20240919,N/A,N/A
['Omeprazole'],OMEPRAZOLE,20241110,['Chain Drug Marketing Association INC'],N/A
['Low Dose Aspirin'],ASPIRIN,20240416,"['P & L Development, LLC']",N/A
N/A,N/A,20220816,N/A,N/A
['On The Go HAND SANITIZER Blushing Rose with Vitamin E'],ALCOHOL,20200925,"['Ganzhou Olivee Cosmetic Co., Ltd.']",N/A
N/A,N/A,20170706,N/A,N/A
N/A,N/A,20120810,N/A,N/A
['WART REMOVER'],WART REMOVER,20230713,['Consilii LLC'],N/A
N/A,N/A,20130327,N/A,N/A
N/A,N/A,20201126,N/A,N/A
